 Calculated Flow and Sedi at section of Ics=           6
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         89.03          801.06          2.09           0.464       0.108       0.048       1.834          0.0613       86.9439             0.000           100.000          0.16         0.30       0.050          0.280        -0.00049349            0.30822751
        1080           12.000         89.05          812.19          2.11           0.466       0.108       0.048       1.831          0.0615       86.9448             0.000           100.000          0.15         0.28       0.051          0.280        -0.00075735            0.94604486
        2160           24.000         89.08          827.81          2.14           0.468       0.108       0.048       1.817          0.0617       86.9463             0.000           100.000          0.15         0.25       0.053          0.280        -0.00123299            0.31738281
        3240           36.000         89.12          848.31          2.18           0.471       0.107       0.048       1.803          0.0620       86.9481             0.000           100.000          0.15         0.25       0.054          0.280        -0.00123665            0.94604486
        4320           48.000         89.17          871.91          2.22           0.474       0.107       0.048       1.784          0.0623       86.9503             0.000           100.000          0.15         0.27       0.053          0.280        -0.00098958            0.31127930
        5400           60.000         89.18          874.28          2.23           0.473       0.106       0.048       1.765          0.0621       86.9522             0.000           100.000          0.15         0.28       0.051          0.280        -0.00071556            0.16479491
        6480           72.000         89.17          866.59          2.22           0.472       0.106       0.048       1.769          0.0620       86.9502             0.000           100.000          0.16         0.31       0.050          0.280        -0.00036506           -0.30822751
        7560           84.000         89.16          862.78          2.21           0.471       0.106       0.048       1.775          0.0620       86.9498             0.000           100.000          0.16         0.32       0.049          0.280        -0.00005973           -0.79345697
        8640           96.000         89.15          861.03          2.20           0.471       0.106       0.048       1.777          0.0620       86.9496             0.000           100.000          0.16         0.34       0.049          0.280         0.00017704           -0.46386716
        9720          108.000         89.15          856.50          2.20           0.470       0.106       0.048       1.778          0.0619       86.9492             0.000           100.000          0.16         0.34       0.049          0.280         0.00088627            0.47607419
       10800          120.000         89.14          850.88          2.19           0.470       0.107       0.048       1.783          0.0618       86.9487             0.000           100.000          0.16         0.32       0.049          0.280         0.00060402           -0.79650873
       11880          132.000         89.13          847.53          2.18           0.469       0.107       0.048       1.788          0.0618       86.9483             0.000           100.000          0.16         0.30       0.050          0.280         0.00028430            0.61950684
       12960          144.000         89.12          844.47          2.17           0.469       0.107       0.048       1.791          0.0618       86.9480             0.000           100.000          0.16         0.29       0.050          0.280         0.00002990           -0.63476562
