 Calculated Flow and Sedi at section of Ics=          49
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         72.66          800.72          1.91           0.480       0.114       0.027       0.724          0.0368       70.7560             0.000           100.000          0.22         0.57       0.094          0.175         0.00862706           -0.33569333
        1080           12.000         72.67          801.08          1.91           0.480       0.114       0.027       0.721          0.0367       70.7572             0.000           100.000          0.22         0.57       0.093          0.175         0.00864222           -0.17089842
        2160           24.000         72.67          802.33          1.91           0.480       0.114       0.027       0.721          0.0367       70.7579             0.000           100.000          0.22         0.57       0.093          0.175         0.00864653            0.65917963
        3240           36.000         72.68          812.77          1.92           0.482       0.115       0.027       0.717          0.0367       70.7662             0.000           100.000          0.22         0.57       0.094          0.175         0.00872351            2.89001465
        4320           48.000         72.71          827.83          1.85           0.485       0.117       0.026       0.710          0.0359       70.8524             0.000           100.000          0.22         0.56       0.095          0.175         0.00904709            0.58288568
        5400           60.000         72.74          847.36          1.79           0.488       0.120       0.025       0.701          0.0351       70.9425             0.000           100.000          0.23         0.56       0.098          0.175         0.00944252            0.35095212
        6480           72.000         72.77          866.95          1.82           0.491       0.120       0.025       0.692          0.0351       70.9427             0.000           100.000          0.23         0.56       0.098          0.175         0.00966443            0.37841797
        7560           84.000         72.77          871.72          1.83           0.492       0.120       0.025       0.689          0.0351       70.9427             0.000           100.000          0.23         0.58       0.097          0.175         0.00980617            0.93688959
        8640           96.000         72.77          869.47          1.83           0.492       0.120       0.025       0.690          0.0351       70.9427             0.000           100.000          0.23         0.58       0.095          0.175         0.00976560           -0.37841797
        9720          108.000         72.76          865.55          1.82           0.491       0.120       0.025       0.692          0.0351       70.9427             0.000           100.000          0.24         0.59       0.093          0.175         0.00970921            0.17700194
       10800          120.000         72.76          863.00          1.82           0.491       0.120       0.025       0.694          0.0351       70.9426             0.000           100.000          0.24         0.60       0.092          0.175         0.00964217           -0.37231442
       11880          132.000         72.75          859.06          1.81           0.490       0.120       0.025       0.695          0.0351       70.9426             0.000           100.000          0.24         0.60       0.091          0.175         0.00957029           -0.38452145
       12960          144.000         72.75          854.08          1.80           0.489       0.120       0.025       0.698          0.0351       70.9425             0.000           100.000          0.24         0.60       0.091          0.175         0.00953290           -0.00915527
       14040          156.000         72.74          850.16          1.80           0.489       0.120       0.025       0.700          0.0351       70.9425             0.000           100.000          0.24         0.59       0.092          0.175         0.00949086           -0.01831055
       15120          168.000         72.73          845.83          1.79           0.488       0.120       0.025       0.702          0.0351       70.9424             0.000           100.000          0.24         0.58       0.093          0.175         0.00945138           -1.10473621
       16200          180.000         72.72          835.94          1.80           0.487       0.119       0.026       0.707          0.0353       70.9165             0.000           100.000          0.23         0.57       0.094          0.175         0.00928242           -0.18920898
       17280          192.000         72.70          823.55          1.89           0.485       0.116       0.027       0.713          0.0363       70.8132             0.000           100.000          0.22         0.57       0.095          0.175         0.00891597           -0.21057127
       18360          204.000         72.67          808.17          1.91           0.482       0.114       0.027       0.720          0.0367       70.7609             0.000           100.000          0.22         0.56       0.096          0.175         0.00867929            0.18310545
       19440          216.000         72.66          802.25          1.91           0.481       0.115       0.027       0.726          0.0368       70.7561             0.000           100.000          0.22         0.55       0.095          0.175         0.00841712           -0.15563965
       20520          228.000         72.66          805.81          1.91           0.483       0.115       0.027       0.729          0.0369       70.7567             0.000           100.000          0.22         0.57       0.093          0.175         0.00862111            0.99487299
       21600          240.000         72.70          826.33          1.88           0.486       0.116       0.027       0.717          0.0364       70.8132             0.000           100.000          0.23         0.59       0.092          0.175         0.00894784            1.46789551
       22680          252.000         72.73          847.42          1.79           0.490       0.121       0.025       0.707          0.0352       70.9424             0.000           100.000          0.24         0.60       0.090          0.175         0.00947223           -0.37841797
       23760          264.000         72.75          860.33          1.81           0.492       0.121       0.025       0.700          0.0352       70.9426             0.000           100.000          0.24         0.62       0.089          0.175         0.00959395           -0.18005370
       24840          276.000         72.75          862.61          1.81           0.492       0.120       0.025       0.699          0.0352       70.9426             0.000           100.000          0.25         0.62       0.088          0.175         0.00960527            0.54626465
       25920          288.000         72.74          853.53          1.80           0.490       0.120       0.025       0.702          0.0352       70.9425             0.000           100.000          0.24         0.61       0.089          0.175         0.00953319           -1.11694336
       27000          300.000         72.72          839.72          1.78           0.488       0.120       0.025       0.708          0.0351       70.9424             0.000           100.000          0.24         0.60       0.091          0.175         0.00941274            0.00610352
       28080          312.000         72.70          825.00          1.88           0.486       0.116       0.027       0.715          0.0363       70.8132             0.000           100.000          0.23         0.58       0.093          0.175         0.00891885            0.52490228
       29160          324.000         72.68          811.00          1.91           0.483       0.115       0.027       0.723          0.0368       70.7612             0.000           100.000          0.22         0.56       0.095          0.175         0.00868860           -1.33361804
       30240          336.000         72.67          773.98          1.91           0.463       0.110       0.028       0.729          0.0369       70.7574             0.000           100.000          0.20         0.54       0.096          0.175         0.00876839            2.32543945
       31320          348.000         72.67          791.27          1.91           0.473       0.112       0.028       0.719          0.0367       70.7589             0.000           100.000          0.21         0.53       0.097          0.175         0.00837650           -0.00305176
       32400          360.000         72.65          773.48          1.90           0.467       0.111       0.028       0.750          0.0373       70.7504             0.000           100.000          0.20         0.52       0.097          0.175         0.00826090           -0.00915527
       33480          372.000         72.66          793.92          1.91           0.476       0.113       0.027       0.723          0.0367       70.7569             0.000           100.000          0.21         0.51       0.096          0.175         0.00771125          -10.34240723
       34560          384.000         72.67          736.66          1.91           0.440       0.105       0.030       0.733          0.0370       70.7587             0.000           100.000          0.18         0.51       0.094          0.175         0.00811909            4.34570312
       35640          396.000         72.65          750.00          1.90           0.454       0.108       0.029       0.759          0.0375       70.7492             0.000           100.000          0.20         0.51       0.093          0.175         0.00771628            1.50146472
       36720          408.000         72.66          797.98          1.91           0.478       0.114       0.027       0.722          0.0367       70.7566             0.000           100.000          0.22         0.51       0.093          0.175         0.00729676           -7.68127394
