 Calculated Flow and Sedi at section of Ics=          17
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         84.74          801.02          2.04           0.554       0.139       0.036       1.563          0.0558       82.7031             0.000           100.000          0.25         0.37       0.073          0.246         0.00154533            0.27160645
        1080           12.000         84.75          804.34          2.04           0.555       0.139       0.036       1.565          0.0559       82.7033             0.000           100.000          0.25         0.37       0.074          0.246         0.00154472            1.35192871
        2160           24.000         84.77          817.08          2.07           0.556       0.139       0.036       1.562          0.0562       82.7039             0.000           100.000          0.25         0.35       0.077          0.246         0.00149887            0.81176752
        3240           36.000         84.80          833.41          2.10           0.559       0.138       0.037       1.558          0.0566       82.7046             0.000           100.000          0.24         0.33       0.083          0.246         0.00145461            0.54016107
        4320           48.000         84.85          855.27          2.14           0.562       0.138       0.037       1.552          0.0570       82.7057             0.000           100.000          0.24         0.34       0.083          0.246         0.00147030            0.80566400
        5400           60.000         84.88          872.50          2.18           0.564       0.137       0.037       1.541          0.0573       82.7066             0.000           100.000          0.24         0.35       0.079          0.246         0.00147939            0.40588376
        6480           72.000         84.88          871.58          2.18           0.563       0.136       0.037       1.536          0.0572       82.7066             0.000           100.000          0.25         0.36       0.076          0.246         0.00152766           -0.54931635
        7560           84.000         84.87          865.77          2.17           0.562       0.137       0.037       1.537          0.0571       82.7063             0.000           100.000          0.25         0.37       0.072          0.246         0.00159177           -0.13732909
        8640           96.000         84.87          862.91          2.16           0.562       0.137       0.037       1.540          0.0570       82.7062             0.000           100.000          0.25         0.39       0.070          0.246         0.00165151            0.27465817
        9720          108.000         84.86          860.53          2.16           0.561       0.137       0.037       1.540          0.0570       82.7061             0.000           100.000          0.26         0.39       0.068          0.246         0.00169113           -0.68664545
       10800          120.000         84.85          855.38          2.15           0.560       0.137       0.037       1.540          0.0569       82.7058             0.000           100.000          0.26         0.39       0.069          0.246         0.00166906           -0.68664545
       11880          132.000         84.84          850.62          2.14           0.560       0.137       0.037       1.543          0.0568       82.7056             0.000           100.000          0.25         0.38       0.071          0.246         0.00162636           -0.41809079
       12960          144.000         84.84          847.28          2.13           0.559       0.137       0.037       1.545          0.0567       82.7054             0.000           100.000          0.25         0.37       0.073          0.246         0.00158293            0.00305176
       14040          156.000         84.83          842.14          2.12           0.558       0.137       0.037       1.544          0.0566       82.7052             0.000           100.000          0.25         0.36       0.076          0.246         0.00153921           -0.81787109
       15120          168.000         84.80          831.38          2.10           0.557       0.138       0.037       1.547          0.0564       82.7047             0.000           100.000          0.24         0.35       0.077          0.246         0.00149123           -0.81176752
       16200          180.000         84.78          818.47          2.08           0.555       0.138       0.036       1.550          0.0561       82.7041             0.000           100.000          0.24         0.35       0.079          0.246         0.00146389           -0.00915527
       17280          192.000         84.75          801.77          2.04           0.553       0.139       0.036       1.555          0.0557       82.7033             0.000           100.000          0.25         0.35       0.077          0.246         0.00148466           -1.36108398
       18360          204.000         84.72          791.95          2.02           0.552       0.139       0.036       1.568          0.0557       82.7028             0.000           100.000          0.25         0.37       0.073          0.246         0.00153629            0.54626465
       19440          216.000         84.76          811.05          2.05           0.556       0.139       0.036       1.569          0.0561       82.7035             0.000           100.000          0.26         0.39       0.070          0.246         0.00166094            0.94604486
       20520          228.000         84.81          835.66          2.10           0.559       0.138       0.037       1.559          0.0566       82.7047             0.000           100.000          0.26         0.41       0.067          0.246         0.00177180            0.13122557
       21600          240.000         84.84          853.75          2.14           0.561       0.137       0.037       1.549          0.0569       82.7057             0.000           100.000          0.26         0.42       0.064          0.246         0.00182773            0.26550293
       22680          252.000         84.87          864.73          2.16           0.562       0.137       0.037       1.542          0.0571       82.7062             0.000           100.000          0.26         0.43       0.063          0.246         0.00185422           -0.93994135
