 Calculated Flow and Sedi at section of Ics=           9
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         87.77          801.11          1.77           0.621       0.166       0.041       3.092          0.0733       85.9980             0.000           100.000          0.27         0.34       0.061          0.271        -0.00409209            0.13732909
        1080           12.000         87.79          810.00          1.79           0.623       0.166       0.042       3.089          0.0735       85.9986             0.000           100.000          0.27         0.33       0.063          0.271        -0.00421824           -0.27160645
        2160           24.000         87.82          825.33          1.82           0.624       0.165       0.042       3.065          0.0738       86.0000             0.000           100.000          0.27         0.30       0.068          0.271        -0.00444293            1.28173816
        3240           36.000         87.85          844.36          1.85           0.626       0.164       0.042       3.037          0.0741       86.0075             0.000           100.000          0.26         0.28       0.071          0.271        -0.00459371            0.81481928
        4320           48.000         87.90          867.58          1.84           0.628       0.164       0.041       2.999          0.0734       86.0625             0.000           100.000          0.27         0.30       0.068          0.271        -0.00464474            0.99487299
        5400           60.000         87.92          875.00          1.81           0.627       0.165       0.041       2.964          0.0724       86.1089             0.000           100.000          0.27         0.32       0.065          0.271        -0.00467281           -0.14343262
        6480           72.000         87.91          867.83          1.82           0.625       0.164       0.041       2.966          0.0728       86.0816             0.000           100.000          0.27         0.33       0.061          0.271        -0.00429067            0.43945312
        7560           84.000         87.90          863.48          1.84           0.625       0.164       0.041       2.978          0.0732       86.0586             0.000           100.000          0.27         0.35       0.059          0.271        -0.00409064            0.43029782
        8640           96.000         87.89          861.36          1.84           0.625       0.163       0.041       2.983          0.0734       86.0478             0.000           100.000          0.27         0.36       0.058          0.271        -0.00384838            0.01220703
        9720          108.000         87.89          857.83          1.87           0.625       0.162       0.042       2.987          0.0738       86.0192             0.000           100.000          0.27         0.37       0.057          0.271        -0.00369927           -1.68151855
       10800          120.000         87.88          852.16          1.86           0.624       0.163       0.042       2.995          0.0738       86.0148             0.000           100.000          0.27         0.35       0.058          0.271        -0.00386225            0.13732909
       11880          132.000         87.87          847.98          1.86           0.624       0.163       0.042       3.003          0.0739       86.0097             0.000           100.000          0.27         0.34       0.060          0.271        -0.00401791            0.55847168
       12960          144.000         87.86          845.12          1.85           0.624       0.163       0.042       3.009          0.0738       86.0088             0.000           100.000          0.27         0.33       0.062          0.271        -0.00418613           -0.27770993
       14040          156.000         87.85          836.89          1.84           0.623       0.163       0.042       3.015          0.0737       86.0062             0.000           100.000          0.27         0.31       0.064          0.271        -0.00422320           -0.27160645
       15120          168.000         87.82          825.12          1.82           0.622       0.164       0.042       3.036          0.0735       86.0021             0.000           100.000          0.27         0.31       0.065          0.271        -0.00431513           -0.40893555
       16200          180.000         87.79          810.17          1.80           0.620       0.165       0.042       3.057          0.0733       85.9990             0.000           100.000          0.27         0.31       0.065          0.271        -0.00428765           -0.97656244
       17280          192.000         87.76          791.84          1.76           0.618       0.166       0.041       3.090          0.0730       85.9974             0.000           100.000          0.27         0.33       0.062          0.271        -0.00414160           -0.83007807
       18360          204.000         87.76          797.95          1.77           0.622       0.167       0.041       3.111          0.0733       85.9976             0.000           100.000          0.28         0.35       0.059          0.271        -0.00396484            0.55236810
       19440          216.000         87.81          824.81          1.81           0.625       0.165       0.042       3.079          0.0739       85.9998             0.000           100.000          0.28         0.37       0.057          0.271        -0.00370152            1.41296375
       20520          228.000         87.86          846.78          1.85           0.626       0.163       0.042       3.031          0.0741       86.0084             0.000           100.000          0.28         0.39       0.055          0.271        -0.00341450            1.00707996
       21600          240.000         87.89          862.55          1.85           0.627       0.164       0.042       2.998          0.0736       86.0436             0.000           100.000          0.28         0.40       0.054          0.271        -0.00339889            0.14038086
       22680          252.000         87.90          864.72          1.84           0.626       0.164       0.041       2.977          0.0731       86.0637             0.000           100.000          0.28         0.40       0.054          0.271        -0.00344135           -0.72021478
       23760          264.000         87.88          855.48          1.86           0.624       0.162       0.042       2.986          0.0738       86.0177             0.000           100.000          0.27         0.38       0.056          0.271        -0.00355100           -0.55541986
       24840          276.000         87.86          841.72          1.85           0.623       0.163       0.042       3.004          0.0737       86.0081             0.000           100.000          0.27         0.35       0.058          0.271        -0.00386072           -0.16174315
       25920          288.000         87.83          826.11          1.82           0.622       0.164       0.042       3.031          0.0735       86.0026             0.000           100.000          0.27         0.33       0.062          0.271        -0.00419368           -1.23596179
       27000          300.000         87.80          811.94          1.80           0.621       0.165       0.042       3.058          0.0734       85.9991             0.000           100.000          0.27         0.30       0.066          0.271        -0.00441346           -0.83312988
       28080          312.000         87.77          798.19          1.77           0.620       0.166       0.041       3.082          0.0731       85.9978             0.000           100.000          0.27         0.28       0.071          0.271        -0.00462154           -0.27770993
       29160          324.000         87.75          789.56          1.76           0.619       0.166       0.041       3.104          0.0730       85.9971             0.000           100.000          0.27         0.28       0.074          0.271        -0.00468755            0.13122557
       30240          336.000         87.74          784.73          1.75           0.618       0.167       0.041       3.109          0.0729       85.9967             0.000           100.000          0.27         0.29       0.071          0.271        -0.00454894           -0.00610352
       31320          348.000         87.73          775.09          1.73           0.616       0.167       0.041       3.120          0.0727       85.9959             0.000           100.000          0.27         0.30       0.068          0.271        -0.00437089           -0.28076172
       32400          360.000         87.70          762.00          1.71           0.614       0.168       0.041       3.140          0.0725       85.9949             0.000           100.000          0.27         0.31       0.065          0.271        -0.00426918           -0.27770993
       33480          372.000         87.69          753.70          1.69           0.613       0.168       0.041       3.159          0.0723       85.9942             0.000           100.000          0.27         0.32       0.064          0.271        -0.00424288           -0.28076172
       34560          384.000         87.68          749.02          1.69           0.613       0.168       0.041       3.167          0.0723       85.9938             0.000           100.000          0.27         0.31       0.066          0.271        -0.00435570            0.55847168
       35640          396.000         87.70          764.48          1.71           0.617       0.169       0.041       3.171          0.0728       85.9948             0.000           100.000          0.27         0.30       0.069          0.271        -0.00456671            1.65710437
       36720          408.000         87.76          797.97          1.76           0.623       0.167       0.041       3.124          0.0734       85.9974             0.000           100.000          0.27         0.27       0.075          0.271        -0.00498471            0.97351068
       37800          420.000         87.79          807.08          1.79           0.621       0.165       0.042       3.079          0.0734       85.9985             0.000           100.000          0.26         0.26       0.081          0.271        -0.00523431           -0.27160645
       38880          432.000         87.76          795.62          1.77           0.619       0.166       0.041       3.090          0.0731       85.9976             0.000           100.000          0.26         0.24       0.087          0.271        -0.00549054           -0.41809079
       39960          444.000         87.74          778.67          1.74           0.617       0.167       0.041       3.111          0.0728       85.9963             0.000           100.000          0.26         0.23       0.093          0.271        -0.00587415           -1.52587879
       41040          456.000         87.70          758.11          1.70           0.613       0.168       0.041       3.139          0.0723       85.9946             0.000           100.000          0.26         0.23       0.097          0.271        -0.00602028           -1.11083972
       42120          468.000         87.69          757.28          1.70           0.615       0.168       0.041       3.167          0.0725       85.9943             0.000           100.000          0.26         0.23       0.097          0.271        -0.00607581            0.00000000
       43200          480.000         87.72          773.98          1.73           0.618       0.168       0.041       3.148          0.0729       85.9956             0.000           100.000          0.26         0.24       0.089          0.271        -0.00583943            0.14038086
       44280          492.000         87.73          776.45          1.73           0.617       0.167       0.041       3.124          0.0728       85.9960             0.000           100.000          0.26         0.25       0.082          0.271        -0.00547767           -0.28076172
       45360          504.000         87.71          765.83          1.72           0.615       0.167       0.041       3.135          0.0725       85.9952             0.000           100.000          0.26         0.27       0.075          0.271        -0.00498085            0.41198727
