 Calculated Flow and Sedi at section of Ics=          30
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         78.82          801.02          1.99           0.826       0.238       0.029       2.321          0.0670       76.8295             0.000           100.000          0.52         0.52       0.095          0.208        -0.00232611            0.00000000
        1080           12.000         78.82          801.36          1.99           0.827       0.238       0.029       2.321          0.0670       76.8303             0.000           100.000          0.52         0.52       0.095          0.208        -0.00232809            0.08697510
        2160           24.000         78.83          808.45          1.97           0.830       0.239       0.029       2.333          0.0669       76.8528             0.000           100.000          0.52         0.52       0.095          0.208        -0.00263517            0.41351315
        3240           36.000         78.85          822.77          1.96           0.836       0.242       0.029       2.349          0.0669       76.8880             0.000           100.000          0.53         0.51       0.098          0.208        -0.00359877            0.13427733
        4320           48.000         78.87          840.98          1.93           0.844       0.245       0.028       2.371          0.0668       76.9392             0.000           100.000          0.54         0.50       0.101          0.208        -0.00443387            0.09918212
        5400           60.000         78.90          863.06          1.90           0.851       0.250       0.028       2.389          0.0664       77.0079             0.000           100.000          0.55         0.50       0.101          0.208        -0.00546291            0.20294188
        6480           72.000         78.92          872.41          1.88           0.854       0.251       0.027       2.394          0.0662       77.0375             0.000           100.000          0.57         0.51       0.099          0.208        -0.00590823           -0.72021478
        7560           84.000         78.92          869.91          1.88           0.852       0.251       0.027       2.387          0.0661       77.0336             0.000           100.000          0.57         0.52       0.096          0.208        -0.00579961           -0.10375976
        8640           96.000         78.91          865.47          1.89           0.851       0.250       0.028       2.382          0.0662       77.0218             0.000           100.000          0.57         0.53       0.094          0.208        -0.00555097           -0.30670163
        9720          108.000         78.91          862.77          1.89           0.850       0.249       0.028       2.379          0.0662       77.0144             0.000           100.000          0.58         0.54       0.092          0.208        -0.00539096            0.41198727
       10800          120.000         78.90          859.75          1.90           0.848       0.249       0.028       2.375          0.0662       77.0064             0.000           100.000          0.58         0.55       0.091          0.208        -0.00524214            0.00000000
       11880          132.000         78.90          854.44          1.91           0.846       0.248       0.028       2.370          0.0663       76.9913             0.000           100.000          0.57         0.54       0.091          0.208        -0.00501196            0.20141600
       12960          144.000         78.89          850.20          1.91           0.845       0.247       0.028       2.367          0.0663       76.9780             0.000           100.000          0.56         0.53       0.093          0.208        -0.00481873           -0.79803461
       14040          156.000         78.89          846.89          1.92           0.844       0.246       0.028       2.364          0.0664       76.9674             0.000           100.000          0.56         0.53       0.095          0.208        -0.00469061           -0.19989012
       15120          168.000         78.87          839.30          1.93           0.841       0.245       0.028       2.358          0.0666       76.9428             0.000           100.000          0.55         0.52       0.096          0.208        -0.00438215            0.10223389
       16200          180.000         78.86          827.28          1.95           0.836       0.242       0.028       2.345          0.0667       76.9039             0.000           100.000          0.54         0.51       0.097          0.208        -0.00382491            0.40130615
       17280          192.000         78.84          812.98          1.97           0.830       0.240       0.029       2.325          0.0667       76.8723             0.000           100.000          0.52         0.51       0.098          0.208        -0.00330529           -0.09918212
       18360          204.000         78.81          792.75          1.99           0.820       0.235       0.029       2.313          0.0669       76.8184             0.000           100.000          0.51         0.51       0.096          0.208        -0.00229139            0.09613036
       19440          216.000         78.82          800.19          1.99           0.826       0.237       0.029       2.320          0.0670       76.8265             0.000           100.000          0.53         0.53       0.094          0.208        -0.00246520            0.36926267
       20520          228.000         78.84          819.50          1.96           0.835       0.241       0.029       2.347          0.0669       76.8794             0.000           100.000          0.55         0.54       0.091          0.208        -0.00336527            1.52893066
       21600          240.000         78.87          842.48          1.93           0.844       0.246       0.028       2.374          0.0668       76.9432             0.000           100.000          0.57         0.56       0.089          0.208        -0.00431312           -0.29449463
       22680          252.000         78.90          859.25          1.90           0.850       0.249       0.028       2.383          0.0664       76.9987             0.000           100.000          0.59         0.57       0.087          0.208        -0.00508860           -0.19989012
       23760          264.000         78.91          863.95          1.89           0.850       0.250       0.028       2.383          0.0662       77.0160             0.000           100.000          0.59         0.57       0.086          0.208        -0.00533048            0.10375976
       24840          276.000         78.90          856.89          1.90           0.847       0.248       0.028       2.370          0.0662       76.9998             0.000           100.000          0.58         0.56       0.088          0.208        -0.00506621           -0.20141600
       25920          288.000         78.88          843.94          1.92           0.842       0.246       0.028       2.357          0.0664       76.9620             0.000           100.000          0.56         0.54       0.091          0.208        -0.00451298            0.29754636
       27000          300.000         78.86          829.17          1.95           0.837       0.243       0.028       2.346          0.0667       76.9126             0.000           100.000          0.55         0.53       0.094          0.208        -0.00387838           -0.38604736
       28080          312.000         78.84          814.62          1.96           0.831       0.240       0.029       2.328          0.0667       76.8754             0.000           100.000          0.53         0.51       0.097          0.208        -0.00297521           -0.93994135
       29160          324.000         78.82          799.31          1.99           0.824       0.237       0.029       2.312          0.0668       76.8306             0.000           100.000          0.51         0.50       0.100          0.208        -0.00252100           -0.64392084
       30240          336.000         78.81          790.31          2.00           0.818       0.235       0.029       2.312          0.0670       76.8101             0.000           100.000          0.50         0.49       0.101          0.208        -0.00225124           -0.17089842
       31320          348.000         78.81          784.84          2.00           0.814       0.233       0.029       2.308          0.0670       76.8045             0.000           100.000          0.49         0.48       0.101          0.208        -0.00220921            0.29754636
       32400          360.000         78.80          773.42          2.01           0.806       0.230       0.030       2.300          0.0670       76.7886             0.000           100.000          0.49         0.48       0.099          0.208        -0.00208981           -0.18005370
       33480          372.000         78.79          761.19          2.02           0.796       0.227       0.030       2.291          0.0670       76.7720             0.000           100.000          0.48         0.48       0.096          0.208        -0.00190356           -0.27008054
       34560          384.000         78.78          754.27          2.02           0.791       0.226       0.030       2.285          0.0670       76.7622             0.000           100.000          0.47         0.49       0.095          0.208        -0.00135779            0.08850097
       35640          396.000         78.78          750.42          2.03           0.788       0.225       0.030       2.283          0.0670       76.7563             0.000           100.000          0.47         0.48       0.095          0.208        -0.00130244           -0.08850097
       36720          408.000         78.79          769.89          2.01           0.803       0.230       0.030       2.300          0.0671       76.7819             0.000           100.000          0.48         0.48       0.097          0.208        -0.00204700            0.18310545
       37800          420.000         78.82          799.56          1.99           0.826       0.237       0.029       2.320          0.0670       76.8256             0.000           100.000          0.50         0.49       0.101          0.208        -0.00245985            0.09460449
       38880          432.000         78.82          805.16          1.98           0.828       0.239       0.029       2.327          0.0669       76.8459             0.000           100.000          0.50         0.48       0.105          0.208        -0.00272609            1.03912354
       39960          444.000         78.81          793.69          1.99           0.821       0.236       0.029       2.314          0.0669       76.8194             0.000           100.000          0.48         0.47       0.106          0.208        -0.00198577           -0.27618405
       41040          456.000         78.80          775.86          2.01           0.807       0.231       0.030       2.303          0.0670       76.7912             0.000           100.000          0.46         0.45       0.108          0.208        -0.00170118           -0.72631836
       42120          468.000         78.79          757.72          2.02           0.793       0.227       0.030       2.288          0.0670       76.7674             0.000           100.000          0.44         0.43       0.108          0.208        -0.00156726           -0.08544921
       43200          480.000         78.79          759.95          2.02           0.796       0.227       0.030       2.292          0.0671       76.7689             0.000           100.000          0.44         0.43       0.109          0.208        -0.00165937            0.09307861
       44280          492.000         78.80          774.61          2.01           0.807       0.231       0.030       2.303          0.0671       76.7888             0.000           100.000          0.46         0.44       0.108          0.208        -0.00221286            0.08850097
       45360          504.000         78.80          775.23          2.01           0.807       0.231       0.030       2.302          0.0670       76.7905             0.000           100.000          0.46         0.45       0.106          0.208        -0.00183746            0.36773679
       46440          516.000         78.79          766.83          2.01           0.801       0.229       0.030       2.296          0.0670       76.7793             0.000           100.000          0.46         0.45       0.103          0.208        -0.00172450            0.09002685
       47520          528.000         78.80          782.16          2.00           0.813       0.233       0.030       2.309          0.0671       76.7996             0.000           100.000          0.48         0.47       0.101          0.208        -0.00225312            1.42822254
       48600          540.000         78.82          804.80          1.98           0.829       0.239       0.029       2.330          0.0669       76.8430             0.000           100.000          0.51         0.50       0.100          0.208        -0.00262604            1.44348133
       49680          552.000         78.84          814.03          1.97           0.832       0.240       0.029       2.335          0.0668       76.8695             0.000           100.000          0.51         0.50       0.098          0.208        -0.00293673            0.28533933
       50760          564.000         78.83          809.95          1.97           0.830       0.239       0.029       2.327          0.0668       76.8612             0.000           100.000          0.51         0.50       0.098          0.208        -0.00282897           -0.18615721
       51840          576.000         78.81          792.20          1.99           0.820       0.235       0.029       2.312          0.0669       76.8176             0.000           100.000          0.49         0.49       0.098          0.208        -0.00185919           -0.45776364
       52920          588.000         78.80          774.88          2.01           0.807       0.231       0.030       2.302          0.0670       76.7902             0.000           100.000          0.48         0.48       0.098          0.208        -0.00166195            0.09307861
       54000          600.000         78.79          768.50          2.01           0.802       0.229       0.030       2.298          0.0671       76.7811             0.000           100.000          0.47         0.47       0.098          0.208        -0.00171669            0.08850097
       55080          612.000         78.79          765.92          2.02           0.800       0.229       0.030       2.296          0.0671       76.7774             0.000           100.000          0.47         0.46       0.099          0.208        -0.00167855           -0.26855466
       56160          624.000         78.80          781.44          2.00           0.812       0.233       0.030       2.309          0.0671       76.7984             0.000           100.000          0.48         0.47       0.100          0.208        -0.00222521            0.04425048
       57240          636.000         78.82          801.39          1.99           0.827       0.238       0.029       2.323          0.0670       76.8288             0.000           100.000          0.49         0.48       0.101          0.208        -0.00247211            0.36621091
       58320          648.000         78.83          807.44          1.97           0.829       0.239       0.029       2.329          0.0669       76.8519             0.000           100.000          0.50         0.49       0.101          0.208        -0.00274927            0.54931635
       59400          660.000         78.82          797.08          1.99           0.823       0.236       0.029       2.314          0.0669       76.8250             0.000           100.000          0.49         0.49       0.100          0.208        -0.00232943            0.00152588
       60480          672.000         78.80          776.98          2.01           0.808       0.231       0.030       2.303          0.0670       76.7950             0.000           100.000          0.47         0.48       0.099          0.208        -0.00163252            1.43280017
       61560          684.000         78.79          756.05          2.02           0.792       0.226       0.030       2.287          0.0670       76.7649             0.000           100.000          0.46         0.47       0.097          0.208        -0.00141556           -0.72021478
       62640          696.000         78.78          746.98          2.04           0.785       0.223       0.031       2.278          0.0672       76.7425             0.000           100.000          0.45         0.47       0.095          0.208        -0.00123258            0.53710932
       63720          708.000         78.78          744.19          2.04           0.783       0.223       0.031       2.277          0.0671       76.7402             0.000           100.000          0.45         0.47       0.094          0.208        -0.00117641           -0.08850097
       64800          720.000         78.78          752.56          2.02           0.790       0.225       0.030       2.286          0.0671       76.7586             0.000           100.000          0.46         0.48       0.092          0.208        -0.00137157            0.26550293
       65880          732.000         78.79          765.86          2.02           0.800       0.229       0.030       2.296          0.0671       76.7772             0.000           100.000          0.48         0.49       0.091          0.208        -0.00157777           -0.09002685
       66960          744.000         78.79          758.80          2.02           0.794       0.227       0.030       2.288          0.0670       76.7692             0.000           100.000          0.47         0.50       0.089          0.208        -0.00138530            0.54321289
