 Calculated Flow and Sedi at section of Ics=           1
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         90.41          802.00          2.38           0.531       0.120       0.047       1.992          0.0681       88.0278             0.000           100.000          0.17         0.33       0.054          0.287        -0.00128077            0.59814447
        1080           12.000         90.43          817.50          2.40           0.536       0.120       0.047       2.009          0.0687       88.0300             0.000           100.000          0.17         0.29       0.054          0.287        -0.00238054           -0.13122557
        2160           24.000         90.46          833.00          2.43           0.540       0.120       0.047       2.016          0.0692       88.0328             0.000           100.000          0.17         0.24       0.054          0.287        -0.00363295            0.71411127
        3240           36.000         90.50          856.50          2.45           0.546       0.121       0.047       2.033          0.0698       88.0486             0.000           100.000          0.18         0.27       0.054          0.287        -0.00316938            1.08642578
        4320           48.000         90.54          880.00          2.48           0.552       0.121       0.047       2.045          0.0703       88.0661             0.000           100.000          0.18         0.29       0.054          0.287        -0.00267633            0.49133295
        5400           60.000         90.54          871.50          2.47           0.547       0.121       0.047       2.018          0.0698       88.0639             0.000           100.000          0.18         0.32       0.054          0.287        -0.00186172            0.13122557
        6480           72.000         90.52          863.00          2.46           0.545       0.120       0.047       2.012          0.0696       88.0574             0.000           100.000          0.18         0.35       0.054          0.287        -0.00111995            0.00305176
        7560           84.000         90.52          861.50          2.46           0.545       0.121       0.047       2.017          0.0696       88.0571             0.000           100.000          0.19         0.37       0.054          0.287        -0.00104366            0.10986328
        8640           96.000         90.51          860.00          2.46           0.545       0.121       0.047       2.016          0.0696       88.0570             0.000           100.000          0.19         0.39       0.054          0.287        -0.00062884            1.13525379
        9720          108.000         90.50          854.00          2.45           0.543       0.120       0.047       2.010          0.0694       88.0505             0.000           100.000          0.18         0.37       0.054          0.287        -0.00101472           -0.35705563
       10800          120.000         90.49          848.00          2.45           0.542       0.120       0.047       2.006          0.0693       88.0464             0.000           100.000          0.18         0.35       0.054          0.287        -0.00141700            0.34179685
       11880          132.000         90.49          845.50          2.44           0.541       0.120       0.047       2.007          0.0693       88.0443             0.000           100.000          0.18         0.33       0.054          0.287        -0.00190415            0.22888182
       12960          144.000         90.48          843.00          2.44           0.541       0.120       0.047       2.007          0.0692       88.0424             0.000           100.000          0.18         0.30       0.054          0.287        -0.00238785            0.13122557
       14040          156.000         90.46          831.00          2.43           0.537       0.120       0.047       1.996          0.0689       88.0329             0.000           100.000          0.18         0.29       0.054          0.287        -0.00252510           -1.06506336
       15120          168.000         90.44          819.00          2.41           0.534       0.120       0.047       1.989          0.0685       88.0310             0.000           100.000          0.18         0.28       0.054          0.287        -0.00270426           -0.23803709
       16200          180.000         90.41          800.50          2.38           0.529       0.119       0.047       1.974          0.0678       88.0282             0.000           100.000          0.18         0.31       0.054          0.287        -0.00190934           -1.81274402
       17280          192.000         90.38          782.00          2.35           0.524       0.119       0.047       1.963          0.0672       88.0252             0.000           100.000          0.18         0.34       0.054          0.287        -0.00113048            0.35400388
       18360          204.000         90.42          811.00          2.39           0.535       0.120       0.047       2.013          0.0686       88.0287             0.000           100.000          0.18         0.38       0.054          0.287        -0.00063659            0.60119623
       19440          216.000         90.47          840.00          2.44           0.542       0.121       0.047       2.030          0.0695       88.0330             0.000           100.000          0.19         0.41       0.054          0.287        -0.00002044            0.55541986
       20520          228.000         90.50          855.00          2.45           0.545       0.121       0.047       2.027          0.0697       88.0486             0.000           100.000          0.19         0.43       0.054          0.287         0.00031772            0.36926267
       21600          240.000         90.53          870.00          2.47           0.548       0.121       0.047       2.033          0.0700       88.0577             0.000           100.000          0.19         0.44       0.054          0.287         0.00063144            0.48522946
       22680          252.000         90.52          860.00          2.46           0.544       0.120       0.047       2.011          0.0695       88.0571             0.000           100.000          0.19         0.41       0.054          0.287        -0.00010304            0.39062497
       23760          264.000         90.50          850.00          2.45           0.542       0.120       0.047       2.005          0.0693       88.0482             0.000           100.000          0.18         0.37       0.054          0.287        -0.00088309           -0.43945312
       24840          276.000         90.47          834.00          2.43           0.538       0.120       0.047       1.995          0.0689       88.0372             0.000           100.000          0.18         0.33       0.054          0.287        -0.00172201            0.12207031
       25920          288.000         90.44          818.00          2.41           0.534       0.119       0.047       1.987          0.0684       88.0309             0.000           100.000          0.18         0.29       0.054          0.287        -0.00257299           -0.35705563
       27000          300.000         90.42          804.50          2.39           0.530       0.119       0.047       1.979          0.0680       88.0287             0.000           100.000          0.17         0.26       0.054          0.287        -0.00283231           -0.11596679
       28080          312.000         90.39          791.00          2.37           0.527       0.119       0.047       1.971          0.0675       88.0265             0.000           100.000          0.17         0.24       0.054          0.287        -0.00348417           -0.72631836
       29160          324.000         90.38          786.50          2.36           0.526       0.119       0.047       1.975          0.0675       88.0256             0.000           100.000          0.17         0.25       0.054          0.287        -0.00298173            0.00915527
       30240          336.000         90.37          782.00          2.35           0.525       0.119       0.047       1.972          0.0673       88.0249             0.000           100.000          0.17         0.27       0.054          0.287        -0.00252762           -0.96740717
       31320          348.000         90.35          768.50          2.33           0.521       0.119       0.047       1.957          0.0668       88.0229             0.000           100.000          0.17         0.29       0.054          0.287        -0.00195190           -0.61035150
       32400          360.000         90.33          755.00          2.31           0.517       0.119       0.047       1.948          0.0663       88.0208             0.000           100.000          0.17         0.31       0.054          0.287        -0.00138903           -0.48217770
       33480          372.000         90.32          750.50          2.30           0.517       0.119       0.047       1.951          0.0662       88.0198             0.000           100.000          0.17         0.30       0.054          0.287        -0.00177934           -0.36010739
       34560          384.000         90.31          746.00          2.29           0.515       0.119       0.047       1.948          0.0660       88.0191             0.000           100.000          0.17         0.28       0.054          0.287        -0.00214680           -0.24108885
       35640          396.000         90.36          780.50          2.34           0.527       0.120       0.047       1.997          0.0676       88.0237             0.000           100.000          0.17         0.25       0.053          0.287        -0.00329203            1.44958484
       36720          408.000         90.42          815.00          2.39           0.536       0.121       0.047       2.019          0.0687       88.0291             0.000           100.000          0.17         0.21       0.053          0.287        -0.00439363            1.58081043
       37800          420.000         90.41          802.00          2.38           0.530       0.119       0.047       1.981          0.0679       88.0282             0.000           100.000          0.16         0.19       0.052          0.287        -0.00476842            0.36010739
       38880          432.000         90.39          789.00          2.36           0.526       0.119       0.047       1.971          0.0675       88.0262             0.000           100.000          0.16         0.17       0.052          0.287        -0.00526103           -0.84533685
       39960          444.000         90.35          768.00          2.33           0.520       0.119       0.047       1.952          0.0667       88.0230             0.000           100.000          0.16         0.16       0.051          0.287        -0.00540955           -0.24414061
       41040          456.000         90.31          747.00          2.29           0.515       0.119       0.047       1.938          0.0659       88.0197             0.000           100.000          0.16         0.15       0.051          0.287        -0.00557571           -0.97351068
       42120          468.000         90.34          765.00          2.32           0.522       0.120       0.047       1.977          0.0669       88.0216             0.000           100.000          0.16         0.17       0.050          0.287        -0.00522782            0.96435541
       43200          480.000         90.37          783.00          2.34           0.527       0.120       0.047       1.989          0.0675       88.0244             0.000           100.000          0.16         0.19       0.050          0.287        -0.00477070           -0.25024414
       44280          492.000         90.36          771.50          2.33           0.522       0.119       0.047       1.961          0.0669       88.0233             0.000           100.000          0.16         0.22       0.049          0.287        -0.00399017            0.00610352
       45360          504.000         90.34          760.00          2.31           0.519       0.119       0.047       1.953          0.0665       88.0215             0.000           100.000          0.16         0.24       0.049          0.287        -0.00328696           -0.22888182
       46440          516.000         90.38          791.50          2.36           0.530       0.120       0.047       2.003          0.0679       88.0255             0.000           100.000          0.17         0.26       0.049          0.287        -0.00316792            0.12817383
       47520          528.000         90.44          823.00          2.41           0.538       0.121       0.047       2.022          0.0690       88.0305             0.000           100.000          0.17         0.28       0.048          0.287        -0.00297080            1.07727051
       48600          540.000         90.43          813.00          2.40           0.533       0.120       0.047       1.990          0.0683       88.0299             0.000           100.000          0.17         0.27       0.048          0.287        -0.00304056           -0.84533685
       49680          552.000         90.41          803.00          2.39           0.530       0.119       0.047       1.982          0.0680       88.0284             0.000           100.000          0.17         0.26       0.047          0.287        -0.00320382           -0.24414061
       50760          564.000         90.38          785.00          2.36           0.525       0.119       0.047       1.965          0.0673       88.0257             0.000           100.000          0.17         0.25       0.047          0.287        -0.00336340            0.11291503
       51840          576.000         90.35          767.00          2.33           0.520       0.119       0.047       1.953          0.0667       88.0228             0.000           100.000          0.17         0.24       0.046          0.287        -0.00357827           -0.47912595
       52920          588.000         90.34          765.00          2.32           0.521       0.119       0.047       1.962          0.0667       88.0221             0.000           100.000          0.17         0.23       0.046          0.287        -0.00380584           -0.23498534
       54000          600.000         90.34          763.00          2.32           0.520       0.119       0.047       1.961          0.0667       88.0218             0.000           100.000          0.17         0.22       0.045          0.287        -0.00398942            0.00000000
       55080          612.000         90.38          789.50          2.35           0.529       0.120       0.047       1.998          0.0678       88.0253             0.000           100.000          0.17         0.23       0.045          0.287        -0.00417180            0.12207031
       56160          624.000         90.43          816.00          2.40           0.536       0.120       0.047       2.015          0.0687       88.0295             0.000           100.000          0.17         0.23       0.045          0.287        -0.00427883            0.11901855
       57240          636.000         90.42          804.00          2.39           0.531       0.119       0.047       1.982          0.0680       88.0285             0.000           100.000          0.17         0.23       0.044          0.287        -0.00403444           -0.48217770
       58320          648.000         90.39          792.00          2.37           0.527       0.119       0.047       1.974          0.0676       88.0266             0.000           100.000          0.17         0.24       0.044          0.287        -0.00388946            0.12817383
       59400          660.000         90.35          768.50          2.33           0.520       0.119       0.047       1.951          0.0667       88.0232             0.000           100.000          0.17         0.24       0.043          0.287        -0.00354845           -0.36926267
       60480          672.000         90.31          745.00          2.29           0.514       0.118       0.047       1.934          0.0658       88.0194             0.000           100.000          0.16         0.25       0.043          0.287        -0.00328798           -0.85449213
       61560          684.000         90.30          743.50          2.28           0.515       0.119       0.047       1.948          0.0660       88.0187             0.000           100.000          0.17         0.26       0.042          0.287        -0.00304524            0.36010739
       62640          696.000         90.30          742.00          2.28           0.515       0.119       0.047       1.947          0.0659       88.0184             0.000           100.000          0.17         0.28       0.042          0.287        -0.00274644            0.00305176
       63720          708.000         90.32          758.00          2.30           0.520       0.120       0.047       1.971          0.0666       88.0205             0.000           100.000          0.17         0.29       0.042          0.287        -0.00257180           -0.23803709
       64800          720.000         90.35          774.00          2.33           0.524       0.120       0.047       1.983          0.0672       88.0230             0.000           100.000          0.17         0.31       0.041          0.287        -0.00235283            0.84228510
       65880          732.000         90.32          752.00          2.30           0.516       0.119       0.047       1.942          0.0661       88.0204             0.000           100.000          0.17         0.28       0.041          0.287        -0.00270693           -0.96130365
       66960          744.000         90.28          730.00          2.27           0.510       0.118       0.047       1.926          0.0653       88.0170             0.000           100.000          0.16         0.26       0.040          0.287        -0.00314699           -1.44042957
       68040          756.000         90.33          764.50          2.31           0.523       0.120       0.047       1.986          0.0670       88.0212             0.000           100.000          0.17         0.21       0.040          0.287        -0.00461441            0.23498534
       69120          768.000         90.39          799.00          2.37           0.532       0.120       0.047       2.010          0.0682       88.0266             0.000           100.000          0.16         0.16       0.040          0.287        -0.00596939            0.72021478
       70200          780.000         90.36          769.00          2.33           0.520       0.119       0.047       1.948          0.0667       88.0233             0.000           100.000          0.16         0.16       0.039          0.287        -0.00575415           -0.37536618
       71280          792.000         90.30          739.00          2.28           0.512       0.118       0.047       1.926          0.0656       88.0186             0.000           100.000          0.16         0.15       0.039          0.287        -0.00569568           -0.96130365
       72360          804.000         90.32          757.00          2.30           0.520       0.120       0.047       1.971          0.0666       88.0203             0.000           100.000          0.16         0.16       0.038          0.287        -0.00579234            0.11901855
       73440          816.000         90.35          775.00          2.33           0.525       0.120       0.047       1.984          0.0673       88.0232             0.000           100.000          0.16         0.16       0.038          0.287        -0.00576247           -0.12207031
       74520          828.000         90.40          804.00          2.38           0.533       0.120       0.047       2.010          0.0683       88.0275             0.000           100.000          0.16         0.15       0.038          0.287        -0.00636495            1.32446277
       75600          840.000         90.46          833.00          2.42           0.541       0.121       0.047       2.027          0.0693       88.0322             0.000           100.000          0.17         0.13       0.037          0.287        -0.00702950            1.44042957
       76680          852.000         90.46          828.50          2.43           0.537       0.120       0.047       2.000          0.0689       88.0324             0.000           100.000          0.16         0.15       0.037          0.287        -0.00625975            1.25122058
       77760          864.000         90.45          824.00          2.42           0.536       0.120       0.047       1.996          0.0687       88.0320             0.000           100.000          0.16         0.18       0.036          0.287        -0.00570838            1.82495105
       78840          876.000         90.46          829.00          2.42           0.538       0.120       0.047       2.008          0.0690       88.0322             0.000           100.000          0.17         0.19       0.036          0.287        -0.00557241            0.46081540
       79920          888.000         90.46          834.00          2.43           0.539       0.120       0.047       2.011          0.0691       88.0329             0.000           100.000          0.17         0.20       0.036          0.287        -0.00540039            0.62255859
       81000          900.000         90.46          833.50          2.43           0.539       0.120       0.047       2.008          0.0691       88.0329             0.000           100.000          0.17         0.19       0.035          0.287        -0.00546510            0.48217770
       82080          912.000         90.46          833.00          2.43           0.539       0.120       0.047       2.006          0.0691       88.0329             0.000           100.000          0.17         0.19       0.035          0.287        -0.00553313            0.14038086
       83160          924.000         90.45          821.00          2.42           0.535       0.120       0.047       1.990          0.0686       88.0313             0.000           100.000          0.16         0.18       0.034          0.287        -0.00578198           -0.37231442
       84240          936.000         90.43          809.00          2.40           0.532       0.119       0.047       1.983          0.0682       88.0294             0.000           100.000          0.16         0.16       0.034          0.287        -0.00602320           -0.72631836
       85320          948.000         90.45          826.50          2.42           0.538       0.120       0.047       2.013          0.0690       88.0315             0.000           100.000          0.17         0.19       0.034          0.287        -0.00561834            0.36621091
       86400          960.000         90.48          844.00          2.44           0.542       0.121       0.047       2.023          0.0695       88.0406             0.000           100.000          0.17         0.22       0.033          0.287        -0.00511921            0.49438474
       87480          972.000         90.44          813.00          2.41           0.532       0.119       0.047       1.973          0.0682       88.0305             0.000           100.000          0.16         0.16       0.033          0.287        -0.00594094           -0.97656244
       88560          984.000         90.38          782.00          2.36           0.524       0.119       0.047       1.954          0.0671       88.0255             0.000           100.000          0.16         0.11       0.033          0.287        -0.00789557           -1.45263672
       89640          996.000         90.41          806.00          2.38           0.533       0.120       0.047       2.005          0.0683       88.0280             0.000           100.000          0.16         0.13       0.033          0.287        -0.00689802            0.48217770
       90720         1008.000         90.45          830.00          2.42           0.539       0.120       0.047       2.021          0.0692       88.0320             0.000           100.000          0.17         0.15       0.033          0.287        -0.00640876            2.01110816
       91800         1020.000         90.50          857.50          2.45           0.546       0.121       0.047       2.038          0.0699       88.0486             0.000           100.000          0.17         0.20       0.033          0.287        -0.00561830            0.35400388
       92880         1032.000         90.55          885.00          2.48           0.553       0.122       0.047       2.051          0.0705       88.0691             0.000           100.000          0.17         0.25       0.032          0.287        -0.00474972            0.98876947
       93960         1044.000         90.59          910.00          2.51           0.559       0.122       0.047       2.060          0.0710       88.0875             0.000           100.000          0.17         0.21       0.032          0.287        -0.00586458            0.86059564
       95040         1056.000         90.64          935.00          2.53           0.564       0.123       0.047       2.071          0.0716       88.1052             0.000           100.000          0.18         0.17       0.032          0.287        -0.00695376           -0.01220703
       96120         1068.000         90.67          953.50          2.55           0.568       0.123       0.047       2.074          0.0719       88.1191             0.000           100.000          0.18         0.17       0.032          0.287        -0.00710463            0.17089842
       97200         1080.000         90.70          972.00          2.56           0.572       0.123       0.047       2.082          0.0721       88.1418             0.000           100.000          0.18         0.17       0.032          0.287        -0.00731873            0.12512207
       98280         1092.000         90.71          980.00          2.56           0.574       0.124       0.047       2.081          0.0722       88.1517             0.000           100.000          0.18         0.23       0.032          0.287        -0.00614681            0.25939938
       99360         1104.000         90.73          988.00          2.56           0.575       0.124       0.047       2.084          0.0722       88.1710             0.000           100.000          0.18         0.29       0.032          0.287        -0.00497192            0.00305176
