 Calculated Flow and Sedi at section of Ics=          34
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         76.78          800.89          2.06           1.172       0.269       0.034       6.231          0.1122       74.7182             0.000           100.000          0.88         0.57       0.100          0.198        -0.01687648           -0.25176999
        1080           12.000         76.78          801.33          2.06           1.172       0.269       0.034       6.231          0.1122       74.7183             0.000           100.000          0.88         0.57       0.100          0.198        -0.01687598            0.06256104
        2160           24.000         76.79          805.98          2.07           1.175       0.269       0.034       6.236          0.1124       74.7185             0.000           100.000          0.88         0.57       0.100          0.198        -0.01698108            0.37994382
        3240           36.000         76.81          819.23          2.09           1.183       0.270       0.034       6.217          0.1127       74.7195             0.000           100.000          0.88         0.56       0.102          0.198        -0.01729351            0.06408691
        4320           48.000         76.83          836.33          2.11           1.193       0.270       0.034       6.197          0.1132       74.7207             0.000           100.000          0.87         0.55       0.105          0.198        -0.01777407           -0.06256104
        5400           60.000         76.86          858.11          2.14           1.206       0.271       0.034       6.172          0.1138       74.7223             0.000           100.000          0.88         0.54       0.106          0.198        -0.01820170            0.25787354
        6480           72.000         76.88          871.11          2.16           1.213       0.271       0.034       6.134          0.1140       74.7233             0.000           100.000          0.89         0.55       0.104          0.198        -0.01836901            0.12969969
        7560           84.000         76.89          871.09          2.16           1.212       0.271       0.034       6.119          0.1139       74.7234             0.000           100.000          0.90         0.56       0.102          0.198        -0.01822854           -0.06408691
        8640           96.000         76.88          866.67          2.16           1.209       0.271       0.034       6.120          0.1137       74.7231             0.000           100.000          0.90         0.57       0.099          0.198        -0.01807590           -0.31890869
        9720          108.000         76.88          863.45          2.15           1.207       0.271       0.034       6.127          0.1137       74.7228             0.000           100.000          0.91         0.58       0.097          0.198        -0.01797599            0.06408691
       10800          120.000         76.87          861.08          2.15           1.206       0.271       0.034       6.131          0.1136       74.7227             0.000           100.000          0.91         0.59       0.096          0.198        -0.01791496            0.12664793
       11880          132.000         76.87          856.00          2.14           1.203       0.270       0.034       6.132          0.1135       74.7223             0.000           100.000          0.91         0.58       0.096          0.198        -0.01781194            0.06408691
       12960          144.000         76.86          851.30          2.14           1.200       0.270       0.034       6.138          0.1133       74.7220             0.000           100.000          0.90         0.58       0.098          0.198        -0.01772872           -0.50506592
       14040          156.000         76.85          847.98          2.13           1.198       0.270       0.034       6.144          0.1133       74.7217             0.000           100.000          0.90         0.57       0.099          0.198        -0.01771706           -0.12664793
       15120          168.000         76.84          841.23          2.12           1.193       0.270       0.034       6.144          0.1130       74.7213             0.000           100.000          0.89         0.56       0.101          0.198        -0.01759171           -0.12512207
       16200          180.000         76.83          829.91          2.11           1.187       0.269       0.034       6.155          0.1127       74.7205             0.000           100.000          0.88         0.56       0.102          0.198        -0.01739300           -0.37689206
       17280          192.000         76.81          816.55          2.09           1.179       0.269       0.034       6.175          0.1124       74.7195             0.000           100.000          0.87         0.55       0.103          0.198        -0.01717044           -0.19073485
       18360          204.000         76.78          795.00          2.06           1.164       0.267       0.035       6.216          0.1120       74.7181             0.000           100.000          0.86         0.55       0.102          0.198        -0.01663041           -0.18768309
       19440          216.000         76.78          799.34          2.06           1.170       0.269       0.035       6.231          0.1121       74.7182             0.000           100.000          0.87         0.56       0.099          0.198        -0.01688199            0.06256104
       20520          228.000         76.80          814.16          2.08           1.181       0.270       0.034       6.238          0.1127       74.7191             0.000           100.000          0.89         0.58       0.097          0.198        -0.01713782            0.56915283
       21600          240.000         76.83          837.59          2.11           1.195       0.271       0.034       6.202          0.1133       74.7208             0.000           100.000          0.91         0.59       0.095          0.198        -0.01748120            0.00000000
       22680          252.000         76.86          855.69          2.14           1.204       0.271       0.034       6.163          0.1136       74.7221             0.000           100.000          0.92         0.60       0.093          0.198        -0.01770686            0.19226073
       23760          264.000         76.87          863.23          2.15           1.208       0.271       0.034       6.139          0.1137       74.7228             0.000           100.000          0.93         0.61       0.092          0.198        -0.01780286           -0.12664793
       24840          276.000         76.87          859.23          2.15           1.204       0.270       0.034       6.122          0.1135       74.7226             0.000           100.000          0.92         0.60       0.093          0.198        -0.01771186            0.25634766
       25920          288.000         76.85          847.22          2.13           1.197       0.270       0.034       6.132          0.1132       74.7218             0.000           100.000          0.91         0.59       0.095          0.198        -0.01757816            0.06256104
       27000          300.000         76.83          832.86          2.11           1.188       0.269       0.034       6.150          0.1128       74.7207             0.000           100.000          0.89         0.58       0.098          0.198        -0.01735019           -0.37689206
