 Calculated Flow and Sedi at section of Ics=          52
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         71.99          800.63          1.55           0.861       0.249       0.021       1.900          0.0537       70.4446             0.000           100.000          0.73         0.61       0.094          0.172        -0.01149484           -0.00457764
        1080           12.000         71.99          800.92          1.55           0.861       0.249       0.021       1.901          0.0537       70.4446             0.000           100.000          0.73         0.61       0.093          0.172        -0.01147069            0.34484860
        2160           24.000         72.00          801.95          1.55           0.862       0.249       0.021       1.901          0.0537       70.4447             0.000           100.000          0.73         0.61       0.093          0.172        -0.01148512           -0.00305176
        3240           36.000         72.01          811.75          1.56           0.866       0.249       0.021       1.901          0.0539       70.4457             0.000           100.000          0.74         0.62       0.094          0.172        -0.01158032            0.10986328
        4320           48.000         72.02          826.58          1.58           0.872       0.250       0.021       1.899          0.0541       70.4473             0.000           100.000          0.74         0.61       0.095          0.172        -0.01170477            0.46081540
        5400           60.000         72.05          845.56          1.60           0.880       0.251       0.021       1.897          0.0544       70.4494             0.000           100.000          0.73         0.60       0.097          0.172        -0.01188937            0.92315668
        6480           72.000         72.07          866.02          1.62           0.888       0.251       0.021       1.896          0.0548       70.4514             0.000           100.000          0.74         0.60       0.098          0.172        -0.01196209            0.69427484
        7560           84.000         72.07          871.45          1.62           0.891       0.252       0.021       1.896          0.0549       70.4524             0.000           100.000          0.75         0.62       0.096          0.172        -0.01183204           -0.15563965
        8640           96.000         72.07          869.69          1.62           0.890       0.252       0.021       1.897          0.0548       70.4524             0.000           100.000          0.75         0.63       0.095          0.172        -0.01191624            0.56152344
        9720          108.000         72.07          865.94          1.62           0.889       0.252       0.021       1.901          0.0548       70.4513             0.000           100.000          0.76         0.63       0.094          0.172        -0.01199315           -0.46234128
       10800          120.000         72.06          863.17          1.61           0.889       0.252       0.021       1.903          0.0548       70.4509             0.000           100.000          0.76         0.64       0.093          0.172        -0.01206686            0.22888182
       11880          132.000         72.06          859.42          1.61           0.887       0.252       0.021       1.906          0.0548       70.4505             0.000           100.000          0.77         0.65       0.092          0.172        -0.01219452           -0.00152588
       12960          144.000         72.05          854.58          1.60           0.886       0.252       0.021       1.909          0.0547       70.4499             0.000           100.000          0.77         0.64       0.092          0.172        -0.01219863            0.34942624
       14040          156.000         72.05          850.47          1.60           0.885       0.252       0.021       1.912          0.0547       70.4494             0.000           100.000          0.76         0.64       0.093          0.172        -0.01219420           -0.34179685
       15120          168.000         72.04          846.22          1.59           0.883       0.252       0.021       1.914          0.0546       70.4489             0.000           100.000          0.76         0.63       0.093          0.172        -0.01221729           -0.11901855
       16200          180.000         72.03          836.83          1.58           0.880       0.252       0.021       1.917          0.0545       70.4478             0.000           100.000          0.75         0.62       0.094          0.172        -0.01217778           -0.57830805
