 Calculated Flow and Sedi at section of Ics=          47
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         73.09          800.74          1.55           0.636       0.200       0.023       1.205          0.0427       71.5370             0.000           100.000          0.41         0.60       0.096          0.178         0.00455018           -0.46386716
        1080           12.000         73.09          801.03          1.55           0.635       0.200       0.023       1.202          0.0426       71.5381             0.000           100.000          0.41         0.60       0.096          0.178         0.00456922           -0.00610352
        2160           24.000         73.09          802.58          1.55           0.636       0.200       0.023       1.202          0.0426       71.5414             0.000           100.000          0.41         0.60       0.096          0.178         0.00456726            1.06506336
        3240           36.000         73.11          813.72          1.56           0.638       0.200       0.023       1.200          0.0427       71.5463             0.000           100.000          0.41         0.60       0.096          0.178         0.00461736            0.62561029
        4320           48.000         73.13          829.22          1.56           0.641       0.201       0.023       1.190          0.0425       71.5706             0.000           100.000          0.41         0.59       0.098          0.178         0.00470674            0.15869141
        5400           60.000         73.16          848.98          1.57           0.643       0.201       0.023       1.178          0.0424       71.5940             0.000           100.000          0.40         0.59       0.100          0.178         0.00485129            0.63476562
        6480           72.000         73.19          867.72          1.59           0.646       0.200       0.023       1.167          0.0426       71.5943             0.000           100.000          0.40         0.60       0.100          0.178         0.00508206            0.96130365
        7560           84.000         73.19          871.86          1.60           0.647       0.199       0.023       1.164          0.0426       71.5943             0.000           100.000          0.41         0.61       0.099          0.178         0.00517984            0.80566400
        8640           96.000         73.19          868.92          1.60           0.646       0.199       0.023       1.164          0.0426       71.5943             0.000           100.000          0.41         0.62       0.097          0.178         0.00515579           -0.80261230
        9720          108.000         73.18          865.05          1.59           0.645       0.199       0.023       1.166          0.0425       71.5943             0.000           100.000          0.42         0.62       0.095          0.178         0.00511085            0.16784666
       10800          120.000         73.18          862.48          1.59           0.645       0.200       0.023       1.167          0.0425       71.5942             0.000           100.000          0.42         0.63       0.094          0.178         0.00501799            0.16479491
       11880          132.000         73.18          858.38          1.58           0.644       0.200       0.023       1.169          0.0425       71.5942             0.000           100.000          0.42         0.63       0.093          0.178         0.00498592           -0.47912595
