 Calculated Flow and Sedi at section of Ics=          40
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         75.41          800.94          1.97           0.753       0.186       0.029       1.938          0.0611       73.4420             0.000           100.000          0.46         0.51       0.093          0.188        -0.00044915           -0.51574707
        1080           12.000         75.42          801.22          1.97           0.753       0.186       0.029       1.938          0.0611       73.4432             0.000           100.000          0.46         0.51       0.093          0.188        -0.00044993            0.20446777
        2160           24.000         75.42          804.03          1.97           0.754       0.186       0.029       1.940          0.0611       73.4496             0.000           100.000          0.47         0.51       0.093          0.188        -0.00051075            0.51269531
        3240           36.000         75.43          816.22          1.96           0.759       0.188       0.029       1.943          0.0610       73.4720             0.000           100.000          0.47         0.51       0.094          0.188        -0.00074303            0.41198727
        4320           48.000         75.46          832.42          1.98           0.766       0.188       0.029       1.946          0.0614       73.4725             0.000           100.000          0.47         0.50       0.097          0.188        -0.00081168            0.31433102
        5400           60.000         75.48          853.19          2.01           0.775       0.189       0.029       1.949          0.0619       73.4730             0.000           100.000          0.47         0.50       0.099          0.188        -0.00091276            0.20751952
        6480           72.000         75.51          869.59          2.03           0.781       0.190       0.029       1.949          0.0622       73.4734             0.000           100.000          0.48         0.50       0.098          0.188        -0.00083501            0.50048828
        7560           84.000         75.51          871.81          2.04           0.781       0.190       0.029       1.947          0.0622       73.4735             0.000           100.000          0.48         0.51       0.096          0.188        -0.00086117           -0.24414061
        8640           96.000         75.50          867.91          2.03           0.780       0.189       0.029       1.946          0.0621       73.4734             0.000           100.000          0.49         0.52       0.094          0.188        -0.00081658            0.16174315
        9720          108.000         75.50          864.28          2.03           0.778       0.189       0.029       1.945          0.0621       73.4733             0.000           100.000          0.49         0.53       0.092          0.188        -0.00075344           -0.31127930
       10800          120.000         75.50          861.77          2.02           0.777       0.189       0.029       1.945          0.0620       73.4732             0.000           100.000          0.49         0.54       0.090          0.188        -0.00070927           -0.62561029
       11880          132.000         75.49          857.23          2.02           0.775       0.189       0.029       1.944          0.0619       73.4731             0.000           100.000          0.49         0.54       0.090          0.188        -0.00067442            0.51879877
       12960          144.000         75.48          852.59          2.01           0.774       0.189       0.029       1.944          0.0618       73.4730             0.000           100.000          0.49         0.53       0.091          0.188        -0.00065469           -0.21362303
       14040          156.000         75.48          848.98          2.01           0.772       0.189       0.029       1.944          0.0617       73.4729             0.000           100.000          0.48         0.53       0.092          0.188        -0.00065755            0.00000000
       15120          168.000         75.47          843.31          2.00           0.770       0.189       0.029       1.941          0.0616       73.4728             0.000           100.000          0.48         0.52       0.094          0.188        -0.00063578           -0.21057127
       16200          180.000         75.46          832.70          1.99           0.765       0.188       0.029       1.940          0.0614       73.4725             0.000           100.000          0.47         0.51       0.095          0.188        -0.00078679           -0.30822751
       17280          192.000         75.44          819.61          1.97           0.760       0.188       0.029       1.938          0.0611       73.4722             0.000           100.000          0.47         0.50       0.096          0.188        -0.00074462            0.00915527
       18360          204.000         75.42          800.66          1.97           0.751       0.186       0.029       1.931          0.0610       73.4467             0.000           100.000          0.46         0.50       0.096          0.188        -0.00053484           -0.82092279
       19440          216.000         75.41          799.19          1.97           0.751       0.186       0.029       1.938          0.0611       73.4397             0.000           100.000          0.46         0.50       0.094          0.188        -0.00057089            0.10375976
       20520          228.000         75.43          810.17          1.95           0.757       0.188       0.029       1.943          0.0609       73.4715             0.000           100.000          0.47         0.52       0.092          0.188        -0.00060330            1.71813953
       21600          240.000         75.46          832.66          1.98           0.766       0.189       0.029       1.947          0.0614       73.4725             0.000           100.000          0.49         0.54       0.090          0.188        -0.00059597           -0.10681152
       22680          252.000         75.48          852.44          2.01           0.774       0.189       0.029       1.949          0.0618       73.4730             0.000           100.000          0.50         0.55       0.088          0.188        -0.00065868            0.21057127
       23760          264.000         75.50          862.02          2.02           0.778       0.189       0.029       1.947          0.0620       73.4732             0.000           100.000          0.50         0.56       0.087          0.188        -0.00053404            0.20446777
       24840          276.000         75.50          861.25          2.02           0.777       0.189       0.029       1.945          0.0620       73.4732             0.000           100.000          0.50         0.56       0.086          0.188        -0.00055725            0.10375976
       25920          288.000         75.48          850.02          2.01           0.772       0.189       0.029       1.942          0.0617       73.4729             0.000           100.000          0.49         0.55       0.088          0.188        -0.00068200           -0.41503903
       27000          300.000         75.46          835.77          1.99           0.766       0.188       0.029       1.940          0.0614       73.4726             0.000           100.000          0.48         0.53       0.090          0.188        -0.00064345           -0.72937006
       28080          312.000         75.44          820.88          1.97           0.760       0.188       0.029       1.938          0.0611       73.4722             0.000           100.000          0.47         0.52       0.093          0.188        -0.00070421            0.75988764
       29160          324.000         75.42          807.08          1.95           0.755       0.187       0.029       1.936          0.0608       73.4715             0.000           100.000          0.46         0.50       0.096          0.188        -0.00072220            1.21765125
       30240          336.000         75.41          791.17          1.98           0.744       0.184       0.029       1.937          0.0611       73.4374             0.000           100.000          0.44         0.48       0.098          0.188        -0.00038757           -0.41198727
       31320          348.000         75.41          785.73          1.98           0.739       0.182       0.030       1.935          0.0611       73.4370             0.000           100.000          0.43         0.47       0.099          0.188        -0.00035042            0.51574707
