 Calculated Flow and Sedi at section of Ics=          38
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         75.91          800.80          1.65           0.677       0.178       0.027       1.765          0.0535       74.2583             0.000           100.000          0.42         0.53       0.095          0.191         0.00199849           -1.07421863
        1080           12.000         75.91          801.34          1.65           0.677       0.178       0.027       1.765          0.0535       74.2591             0.000           100.000          0.42         0.53       0.095          0.191         0.00199746           -0.53405756
        2160           24.000         75.92          804.62          1.65           0.678       0.178       0.027       1.767          0.0535       74.2645             0.000           100.000          0.42         0.53       0.095          0.191         0.00196910            0.53405756
        3240           36.000         75.93          817.20          1.64           0.682       0.180       0.027       1.768          0.0533       74.2909             0.000           100.000          0.42         0.52       0.096          0.191         0.00190219            0.68359369
        4320           48.000         75.96          833.55          1.62           0.686       0.183       0.027       1.767          0.0529       74.3363             0.000           100.000          0.43         0.51       0.099          0.191         0.00177555            0.14038086
        5400           60.000         75.98          854.70          1.61           0.692       0.185       0.026       1.767          0.0528       74.3704             0.000           100.000          0.43         0.51       0.101          0.191         0.00169927            0.58288568
        6480           72.000         76.00          870.02          1.63           0.695       0.185       0.026       1.761          0.0531       74.3707             0.000           100.000          0.43         0.51       0.100          0.191         0.00172469            0.87585443
        7560           84.000         76.01          871.77          1.64           0.695       0.185       0.026       1.759          0.0531       74.3708             0.000           100.000          0.44         0.52       0.098          0.191         0.00168770           -0.28686523
        8640           96.000         76.00          867.50          1.63           0.694       0.185       0.026       1.758          0.0530       74.3707             0.000           100.000          0.44         0.53       0.095          0.191         0.00169053           -0.29602051
        9720          108.000         76.00          863.97          1.63           0.693       0.185       0.026       1.759          0.0529       74.3706             0.000           100.000          0.45         0.54       0.093          0.191         0.00170137           -0.14953612
       10800          120.000         75.99          861.55          1.62           0.692       0.185       0.026       1.759          0.0529       74.3706             0.000           100.000          0.45         0.55       0.092          0.191         0.00171075           -0.73242182
       11880          132.000         75.99          856.84          1.62           0.691       0.185       0.026       1.759          0.0528       74.3705             0.000           100.000          0.45         0.55       0.092          0.191         0.00170141            0.87280267
       12960          144.000         75.98          852.14          1.61           0.690       0.185       0.026       1.759          0.0527       74.3704             0.000           100.000          0.45         0.54       0.093          0.191         0.00170213           -1.16577137
       14040          156.000         75.98          848.58          1.61           0.689       0.185       0.026       1.760          0.0526       74.3703             0.000           100.000          0.44         0.54       0.094          0.191         0.00168942            0.06713866
       15120          168.000         75.97          842.56          1.60           0.687       0.184       0.026       1.759          0.0525       74.3702             0.000           100.000          0.44         0.53       0.096          0.191         0.00168321           -0.14953612
