 Calculated Flow and Sedi at section of Ics=          10
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         87.47          801.19          2.59           0.534       0.117       0.045       1.613          0.0638       84.8864             0.000           100.000          0.19         0.33       0.060          0.269         0.00136154            0.11596679
        1080           12.000         87.49          809.42          2.60           0.537       0.118       0.045       1.618          0.0641       84.8865             0.000           100.000          0.19         0.32       0.062          0.269         0.00129466            0.65917963
        2160           24.000         87.52          824.48          2.63           0.540       0.117       0.045       1.619          0.0645       84.8868             0.000           100.000          0.18         0.30       0.067          0.269         0.00104895            0.33874509
        3240           36.000         87.55          843.38          2.67           0.545       0.117       0.045       1.623          0.0650       84.8872             0.000           100.000          0.18         0.28       0.071          0.269         0.00094129            1.11083972
        4320           48.000         87.60          866.62          2.71           0.551       0.117       0.045       1.625          0.0656       84.8876             0.000           100.000          0.19         0.29       0.068          0.269         0.00099917            0.10986328
        5400           60.000         87.62          875.17          2.73           0.552       0.117       0.045       1.617          0.0657       84.8879             0.000           100.000          0.19         0.31       0.064          0.269         0.00111089           -0.22277831
        6480           72.000         87.61          868.31          2.72           0.550       0.117       0.045       1.612          0.0654       84.8878             0.000           100.000          0.19         0.33       0.061          0.269         0.00122229           -1.33056641
        7560           84.000         87.60          863.59          2.71           0.549       0.117       0.045       1.613          0.0653       84.8877             0.000           100.000          0.19         0.35       0.059          0.269         0.00133232           -0.32653809
        8640           96.000         87.60          861.48          2.71           0.548       0.117       0.045       1.613          0.0653       84.8876             0.000           100.000          0.19         0.36       0.057          0.269         0.00142217            0.00610352
        9720          108.000         87.59          857.88          2.70           0.547       0.117       0.045       1.611          0.0652       84.8875             0.000           100.000          0.19         0.36       0.056          0.269         0.00143004            1.21154773
       10800          120.000         87.58          852.31          2.69           0.546       0.117       0.045       1.611          0.0650       84.8874             0.000           100.000          0.19         0.35       0.058          0.269         0.00136072           -0.21972656
       11880          132.000         87.57          848.12          2.68           0.545       0.117       0.045       1.612          0.0650       84.8873             0.000           100.000          0.19         0.34       0.059          0.269         0.00128239           -0.44250485
       12960          144.000         87.56          845.14          2.68           0.544       0.117       0.045       1.611          0.0649       84.8873             0.000           100.000          0.19         0.32       0.061          0.269         0.00120297            0.21667479
       14040          156.000         87.55          837.45          2.66           0.542       0.117       0.045       1.609          0.0647       84.8871             0.000           100.000          0.19         0.31       0.063          0.269         0.00112571           -0.10375976
       15120          168.000         87.53          825.69          2.64           0.539       0.117       0.045       1.608          0.0644       84.8869             0.000           100.000          0.18         0.31       0.065          0.269         0.00110426           -0.54931635
       16200          180.000         87.50          810.97          2.61           0.536       0.117       0.045       1.605          0.0639       84.8866             0.000           100.000          0.18         0.31       0.065          0.269         0.00113796           -0.00305176
       17280          192.000         87.46          792.41          2.57           0.531       0.117       0.045       1.604          0.0635       84.8863             0.000           100.000          0.18         0.32       0.062          0.269         0.00127562           -0.11901855
       18360          204.000         87.46          797.31          2.58           0.534       0.118       0.045       1.617          0.0638       84.8863             0.000           100.000          0.19         0.35       0.059          0.269         0.00139474            0.11291503
       19440          216.000         87.51          823.52          2.63           0.541       0.118       0.045       1.625          0.0645       84.8867             0.000           100.000          0.19         0.37       0.057          0.269         0.00151177            1.21154773
       20520          228.000         87.56          845.91          2.67           0.546       0.117       0.045       1.622          0.0650       84.8872             0.000           100.000          0.20         0.39       0.055          0.269         0.00160042            0.32653809
       21600          240.000         87.59          862.09          2.71           0.549       0.117       0.045       1.621          0.0654       84.8876             0.000           100.000          0.20         0.40       0.054          0.269         0.00165596            0.43640134
       22680          252.000         87.60          864.84          2.71           0.549       0.117       0.045       1.614          0.0654       84.8877             0.000           100.000          0.20         0.40       0.054          0.269         0.00167078            0.32958981
