 Calculated Flow and Sedi at section of Ics=          12
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         86.61          801.27          1.79           0.515       0.135       0.043       2.279          0.0632       84.8164             0.000           100.000          0.22         0.33       0.063          0.263         0.00142628            0.00000000
        1080           12.000         86.62          808.23          1.80           0.516       0.135       0.043       2.276          0.0633       84.8177             0.000           100.000          0.22         0.33       0.063          0.263         0.00138655            0.49133295
        2160           24.000         86.65          823.06          1.82           0.517       0.134       0.043       2.250          0.0634       84.8212             0.000           100.000          0.21         0.30       0.069          0.263         0.00122096            0.17089842
        3240           36.000         86.68          841.09          1.86           0.519       0.133       0.043       2.219          0.0635       84.8254             0.000           100.000          0.20         0.29       0.075          0.263         0.00117969            1.83410633
        4320           48.000         86.72          864.05          1.90           0.520       0.131       0.043       2.180          0.0636       84.8284             0.000           100.000          0.21         0.30       0.071          0.263         0.00127868           -0.00915527
        5400           60.000         86.75          874.95          1.92           0.520       0.130       0.043       2.145          0.0635       84.8291             0.000           100.000          0.21         0.31       0.068          0.263         0.00148171            0.19226073
        6480           72.000         86.74          869.00          1.91           0.518       0.130       0.043       2.142          0.0633       84.8289             0.000           100.000          0.21         0.33       0.064          0.263         0.00161684           -1.51367188
        7560           84.000         86.73          864.16          1.90           0.518       0.131       0.043       2.153          0.0633       84.8286             0.000           100.000          0.21         0.35       0.061          0.263         0.00173660           -1.32751453
        8640           96.000         86.73          861.86          1.90           0.518       0.131       0.043       2.158          0.0633       84.8285             0.000           100.000          0.21         0.36       0.059          0.263         0.00186968           -0.16784666
        9720          108.000         86.72          858.66          1.89           0.518       0.131       0.043       2.161          0.0633       84.8284             0.000           100.000          0.21         0.37       0.058          0.263         0.00189478            1.66015613
       10800          120.000         86.71          853.14          1.88           0.517       0.131       0.043       2.169          0.0633       84.8281             0.000           100.000          0.21         0.36       0.059          0.263         0.00179030            0.50048828
       11880          132.000         86.70          848.61          1.88           0.517       0.131       0.043       2.178          0.0632       84.8279             0.000           100.000          0.21         0.34       0.061          0.263         0.00167229           -0.32348630
       12960          144.000         86.70          845.75          1.87           0.517       0.132       0.043       2.184          0.0632       84.8277             0.000           100.000          0.21         0.33       0.063          0.263         0.00155129            0.51269531
       14040          156.000         86.68          838.62          1.86           0.516       0.132       0.043       2.191          0.0632       84.8259             0.000           100.000          0.21         0.32       0.065          0.263         0.00143733           -0.17089842
       15120          168.000         86.66          826.77          1.84           0.515       0.133       0.043       2.211          0.0631       84.8232             0.000           100.000          0.21         0.31       0.067          0.263         0.00135399            0.15869141
       16200          180.000         86.63          812.72          1.82           0.514       0.133       0.043       2.236          0.0630       84.8198             0.000           100.000          0.21         0.31       0.068          0.263         0.00131464           -0.66528320
       17280          192.000         86.60          794.48          1.78           0.512       0.134       0.043       2.271          0.0630       84.8156             0.000           100.000          0.21         0.32       0.064          0.263         0.00140659           -0.49743649
       18360          204.000         86.59          795.50          1.78           0.515       0.135       0.043       2.299          0.0633       84.8149             0.000           100.000          0.22         0.34       0.061          0.263         0.00153612            0.16479491
