 Calculated Flow and Sedi at section of Ics=          32
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         78.13          800.84          2.14           0.632       0.148       0.031       1.359          0.0533       75.9893             0.000           100.000          0.32         0.49       0.090          0.204         0.00246572            0.59204102
        1080           12.000         78.13          801.31          2.14           0.632       0.148       0.031       1.359          0.0534       75.9895             0.000           100.000          0.32         0.49       0.090          0.204         0.00246432            1.15356445
        2160           24.000         78.13          807.22          2.14           0.635       0.148       0.031       1.365          0.0535       75.9928             0.000           100.000          0.32         0.49       0.091          0.204         0.00245587            0.33569333
        3240           36.000         78.15          820.77          2.15           0.640       0.149       0.031       1.373          0.0538       76.0009             0.000           100.000          0.32         0.48       0.093          0.204         0.00238278            0.00305176
        4320           48.000         78.18          838.33          2.17           0.646       0.150       0.030       1.385          0.0542       76.0112             0.000           100.000          0.32         0.46       0.096          0.204         0.00231051            0.23193358
        5400           60.000         78.21          860.22          2.18           0.654       0.152       0.030       1.397          0.0547       76.0241             0.000           100.000          0.33         0.46       0.097          0.204         0.00222821            0.46386716
        6480           72.000         78.22          871.78          2.19           0.658       0.152       0.030       1.401          0.0549       76.0315             0.000           100.000          0.34         0.47       0.095          0.204         0.00219202           -0.46997067
        7560           84.000         78.22          870.61          2.19           0.657       0.152       0.030       1.399          0.0548       76.0313             0.000           100.000          0.34         0.48       0.092          0.204         0.00219502           -0.34790039
        8640           96.000         78.22          866.06          2.19           0.655       0.152       0.030       1.396          0.0547       76.0287             0.000           100.000          0.34         0.49       0.090          0.204         0.00222403           -0.46386716
        9720          108.000         78.21          863.14          2.19           0.654       0.152       0.030       1.395          0.0547       76.0269             0.000           100.000          0.35         0.50       0.088          0.204         0.00224675            0.23193358
       10800          120.000         78.21          860.45          2.18           0.653       0.152       0.030       1.393          0.0546       76.0254             0.000           100.000          0.35         0.51       0.087          0.204         0.00225984            0.46386716
       11880          132.000         78.20          855.05          2.18           0.651       0.151       0.030       1.389          0.0545       76.0224             0.000           100.000          0.34         0.50       0.087          0.204         0.00227027            0.23193358
       12960          144.000         78.20          850.72          2.18           0.650       0.151       0.030       1.387          0.0544       76.0197             0.000           100.000          0.34         0.50       0.088          0.204         0.00227952           -0.34484860
       14040          156.000         78.19          847.42          2.17           0.649       0.151       0.030       1.385          0.0543       76.0178             0.000           100.000          0.34         0.49       0.090          0.204         0.00228042           -0.34179685
       15120          168.000         78.18          840.58          2.17           0.646       0.150       0.030       1.381          0.0542       76.0138             0.000           100.000          0.33         0.48       0.092          0.204         0.00228635           -0.22888182
       16200          180.000         78.17          828.66          2.16           0.642       0.150       0.031       1.373          0.0539       76.0069             0.000           100.000          0.33         0.47       0.093          0.204         0.00231904           -0.00305176
       17280          192.000         78.15          814.95          2.15           0.637       0.149       0.031       1.365          0.0536       75.9987             0.000           100.000          0.32         0.47       0.093          0.204         0.00234602           -0.00305176
       18360          204.000         78.12          793.70          2.13           0.627       0.147       0.031       1.355          0.0533       75.9874             0.000           100.000          0.32         0.47       0.092          0.204         0.00241594            1.49841309
       19440          216.000         78.12          799.56          2.14           0.631       0.148       0.031       1.358          0.0533       75.9886             0.000           100.000          0.32         0.49       0.090          0.204         0.00240778            1.46484363
       20520          228.000         78.15          816.55          2.15           0.638       0.149       0.031       1.372          0.0537       75.9980             0.000           100.000          0.33         0.50       0.088          0.204         0.00241418            1.36108398
       21600          240.000         78.18          839.75          2.17           0.647       0.151       0.030       1.386          0.0542       76.0120             0.000           100.000          0.35         0.52       0.085          0.204         0.00237720           -0.00305176
       22680          252.000         78.20          857.31          2.18           0.653       0.152       0.030       1.394          0.0546       76.0227             0.000           100.000          0.35         0.53       0.083          0.204         0.00232598           -0.23193358
       23760          264.000         78.21          863.67          2.19           0.655       0.152       0.030       1.396          0.0547       76.0269             0.000           100.000          0.36         0.53       0.082          0.204         0.00230501            0.00305176
       24840          276.000         78.21          858.23          2.18           0.652       0.151       0.030       1.391          0.0545       76.0244             0.000           100.000          0.35         0.52       0.083          0.204         0.00229364            0.00610352
       25920          288.000         78.19          845.80          2.17           0.648       0.151       0.030       1.383          0.0543       76.0173             0.000           100.000          0.34         0.51       0.086          0.204         0.00231074            0.68969721
       27000          300.000         78.17          831.19          2.16           0.642       0.150       0.030       1.374          0.0540       76.0086             0.000           100.000          0.33         0.49       0.089          0.204         0.00233773           -0.56762689
       28080          312.000         78.15          816.20          2.15           0.637       0.149       0.031       1.366          0.0536       75.9995             0.000           100.000          0.32         0.48       0.092          0.204         0.00235679           -1.13525379
       29160          324.000         78.13          801.75          2.14           0.632       0.148       0.031       1.356          0.0533       75.9908             0.000           100.000          0.32         0.46       0.095          0.204         0.00237240           -0.95520014
       30240          336.000         78.12          790.34          2.13           0.625       0.146       0.031       1.355          0.0532       75.9865             0.000           100.000          0.31         0.45       0.097          0.204         0.00238638            1.63269031
