 Calculated Flow and Sedi at section of Ics=          33
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         77.80          800.88          1.65           0.578       0.156       0.032       1.767          0.0534       76.1498             0.000           100.000          0.32         0.47       0.089          0.201         0.00321052            0.64697260
        1080           12.000         77.80          801.25          1.65           0.578       0.156       0.032       1.767          0.0534       76.1499             0.000           100.000          0.32         0.47       0.089          0.201         0.00320701           -0.16174315
        2160           24.000         77.80          806.69          1.65           0.579       0.157       0.032       1.768          0.0535       76.1501             0.000           100.000          0.32         0.47       0.089          0.201         0.00321515           -0.30517575
        3240           36.000         77.82          820.33          1.67           0.583       0.157       0.032       1.764          0.0537       76.1508             0.000           100.000          0.32         0.46       0.091          0.201         0.00317544            0.80871576
        4320           48.000         77.85          837.33          1.69           0.587       0.156       0.032       1.757          0.0540       76.1517             0.000           100.000          0.31         0.45       0.095          0.201         0.00315776            1.12915027
        5400           60.000         77.87          859.31          1.72           0.592       0.156       0.032       1.750          0.0543       76.1528             0.000           100.000          0.31         0.45       0.095          0.201         0.00313989            0.31127930
        6480           72.000         77.89          871.59          1.74           0.594       0.156       0.032       1.742          0.0544       76.1535             0.000           100.000          0.32         0.46       0.093          0.201         0.00313512            0.48522946
        7560           84.000         77.89          870.78          1.74           0.594       0.156       0.032       1.739          0.0544       76.1535             0.000           100.000          0.32         0.47       0.091          0.201         0.00314239            0.62561029
        8640           96.000         77.89          866.20          1.73           0.593       0.156       0.032       1.740          0.0543       76.1532             0.000           100.000          0.33         0.48       0.088          0.201         0.00316179            0.80261230
        9720          108.000         77.88          863.25          1.73           0.592       0.156       0.032       1.742          0.0543       76.1531             0.000           100.000          0.33         0.49       0.087          0.201         0.00317930           -0.15869141
       10800          120.000         77.88          860.36          1.73           0.591       0.156       0.032       1.742          0.0542       76.1529             0.000           100.000          0.33         0.49       0.085          0.201         0.00319485           -0.80261230
       11880          132.000         77.87          855.55          1.72           0.590       0.156       0.032       1.744          0.0542       76.1527             0.000           100.000          0.33         0.49       0.086          0.201         0.00318457           -0.64086908
       12960          144.000         77.87          850.98          1.71           0.589       0.156       0.032       1.746          0.0541       76.1525             0.000           100.000          0.33         0.49       0.087          0.201         0.00317782            0.79956049
       14040          156.000         77.86          847.72          1.71           0.588       0.156       0.032       1.747          0.0541       76.1523             0.000           100.000          0.32         0.48       0.089          0.201         0.00316901            0.63476562
       15120          168.000         77.85          840.95          1.70           0.587       0.156       0.032       1.749          0.0540       76.1519             0.000           100.000          0.32         0.47       0.090          0.201         0.00314955           -0.16174315
       16200          180.000         77.84          829.20          1.69           0.584       0.156       0.032       1.752          0.0538       76.1514             0.000           100.000          0.32         0.46       0.091          0.201         0.00315164            0.00305176
       17280          192.000         77.82          815.72          1.67           0.581       0.156       0.032       1.757          0.0536       76.1507             0.000           100.000          0.31         0.46       0.092          0.201         0.00313491           -0.64392084
       18360          204.000         77.79          794.11          1.64           0.574       0.156       0.032       1.766          0.0533       76.1497             0.000           100.000          0.31         0.46       0.091          0.201         0.00315702           -0.16174315
       19440          216.000         77.80          799.44          1.65           0.577       0.156       0.032       1.768          0.0534       76.1498             0.000           100.000          0.32         0.47       0.089          0.201         0.00313766           -0.31433102
       20520          228.000         77.81          815.69          1.66           0.582       0.157       0.032       1.768          0.0537       76.1505             0.000           100.000          0.33         0.49       0.086          0.201         0.00321564           -0.48217770
       21600          240.000         77.85          838.73          1.69           0.587       0.156       0.032       1.758          0.0540       76.1517             0.000           100.000          0.33         0.50       0.084          0.201         0.00325560            0.97961420
       22680          252.000         77.87          856.73          1.72           0.591       0.156       0.032       1.750          0.0543       76.1527             0.000           100.000          0.34         0.51       0.082          0.201         0.00325742            0.63476562
       23760          264.000         77.88          863.56          1.73           0.592       0.156       0.032       1.744          0.0543       76.1531             0.000           100.000          0.34         0.52       0.081          0.201         0.00326192            0.32653809
       24840          276.000         77.88          858.89          1.72           0.591       0.156       0.032       1.743          0.0542       76.1529             0.000           100.000          0.34         0.51       0.082          0.201         0.00322722           -0.64392084
       25920          288.000         77.86          846.73          1.71           0.588       0.156       0.032       1.746          0.0540       76.1523             0.000           100.000          0.33         0.50       0.084          0.201         0.00321194           -1.28784168
       27000          300.000         77.84          831.92          1.69           0.584       0.156       0.032       1.751          0.0538       76.1515             0.000           100.000          0.32         0.48       0.087          0.201         0.00318384            0.32043454
       28080          312.000         77.82          817.00          1.67           0.581       0.156       0.032       1.757          0.0536       76.1507             0.000           100.000          0.32         0.47       0.091          0.201         0.00315068            0.64086908
       29160          324.000         77.80          803.05          1.65           0.578       0.156       0.032       1.763          0.0534       76.1500             0.000           100.000          0.31         0.45       0.093          0.201         0.00311081            0.48828122
       30240          336.000         77.79          790.52          1.64           0.572       0.155       0.032       1.768          0.0533       76.1496             0.000           100.000          0.30         0.44       0.095          0.201         0.00310125            0.33264160
       31320          348.000         77.79          785.75          1.64           0.570       0.155       0.032       1.769          0.0533       76.1495             0.000           100.000          0.30         0.43       0.095          0.201         0.00305669           -0.80261230
       32400          360.000         77.78          774.86          1.63           0.564       0.153       0.033       1.770          0.0532       76.1493             0.000           100.000          0.30         0.43       0.093          0.201         0.00303025            0.00305176
       33480          372.000         77.78          762.12          1.63           0.557       0.152       0.033       1.770          0.0531       76.1490             0.000           100.000          0.30         0.43       0.091          0.201         0.00294260           -0.31738281
       34560          384.000         77.77          754.77          1.62           0.553       0.151       0.033       1.771          0.0530       76.1489             0.000           100.000          0.30         0.44       0.089          0.201         0.00292119           -0.16174315
