 Calculated Flow and Sedi at section of Ics=          53
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         71.60          800.64          1.47           0.912       0.284       0.023       2.590          0.0611       70.1272             0.000           100.000          0.82         0.66       0.095          0.171        -0.01491848            0.00152588
        1080           12.000         71.60          800.86          1.47           0.912       0.284       0.023       2.589          0.0610       70.1273             0.000           100.000          0.82         0.66       0.095          0.171        -0.01488537           -0.45166013
        2160           24.000         71.60          801.85          1.47           0.912       0.284       0.023       2.588          0.0611       70.1275             0.000           100.000          0.82         0.66       0.095          0.171        -0.01490566           -0.22277831
        3240           36.000         71.61          811.30          1.48           0.915       0.284       0.023       2.572          0.0610       70.1344             0.000           100.000          0.82         0.66       0.095          0.171        -0.01503252            0.22888182
        4320           48.000         71.63          826.03          1.49           0.919       0.284       0.023       2.545          0.0609       70.1427             0.000           100.000          0.82         0.66       0.096          0.171        -0.01517285            0.11291503
        5400           60.000         71.66          844.94          1.50           0.925       0.284       0.022       2.512          0.0608       70.1532             0.000           100.000          0.82         0.65       0.098          0.171        -0.01536401            0.00000000
        6480           72.000         71.68          865.59          1.52           0.932       0.284       0.022       2.486          0.0608       70.1637             0.000           100.000          0.82         0.65       0.099          0.171        -0.01554480           -0.35247800
        7560           84.000         71.69          871.55          1.52           0.934       0.284       0.022       2.484          0.0608       70.1662             0.000           100.000          0.83         0.66       0.098          0.171        -0.01551549            0.46844479
        8640           96.000         71.68          870.07          1.52           0.935       0.284       0.022       2.492          0.0609       70.1648             0.000           100.000          0.84         0.67       0.096          0.171        -0.01560759           -0.46997067
        9720          108.000         71.68          865.98          1.51           0.934       0.285       0.022       2.505          0.0610       70.1620             0.000           100.000          0.84         0.68       0.095          0.171        -0.01569897            0.35095212
       10800          120.000         71.67          863.27          1.51           0.935       0.285       0.022       2.517          0.0611       70.1598             0.000           100.000          0.85         0.69       0.094          0.171        -0.01579128           -0.11901855
       11880          132.000         71.67          859.83          1.51           0.935       0.286       0.022       2.532          0.0612       70.1571             0.000           100.000          0.85         0.69       0.093          0.171        -0.01597968           -0.23498534
       12960          144.000         71.66          854.75          1.50           0.935       0.286       0.022       2.548          0.0613       70.1537             0.000           100.000          0.86         0.69       0.093          0.171        -0.01602930           -0.58441162
       14040          156.000         71.65          850.70          1.50           0.934       0.287       0.022       2.562          0.0613       70.1509             0.000           100.000          0.85         0.68       0.094          0.171        -0.01609614            0.23345946
       15120          168.000         71.64          846.77          1.50           0.934       0.287       0.022       2.576          0.0614       70.1480             0.000           100.000          0.85         0.68       0.095          0.171        -0.01617962           -0.57373047
       16200          180.000         71.63          837.25          1.49           0.932       0.288       0.023       2.598          0.0615       70.1424             0.000           100.000          0.84         0.67       0.096          0.171        -0.01618604            0.11444091
       17280          192.000         71.61          825.09          1.48           0.930       0.289       0.023       2.628          0.0617       70.1350             0.000           100.000          0.84         0.66       0.096          0.171        -0.01612123           -0.69122308
       18360          204.000         71.59          810.06          1.47           0.926       0.289       0.023       2.655          0.0617       70.1262             0.000           100.000          0.83         0.65       0.097          0.171        -0.01598641           -0.22430418
       19440          216.000         71.58          804.42          1.46           0.925       0.290       0.023       2.673          0.0618       70.1244             0.000           100.000          0.84         0.65       0.096          0.171        -0.01650319            1.24816883
       20520          228.000         71.58          804.34          1.46           0.927       0.290       0.023       2.688          0.0620       70.1188             0.000           100.000          0.84         0.66       0.095          0.171        -0.01620589            0.11596679
       21600          240.000         71.60          823.98          1.47           0.933       0.290       0.023       2.658          0.0619       70.1319             0.000           100.000          0.86         0.68       0.094          0.171        -0.01639484            0.34027100
       22680          252.000         71.63          845.43          1.49           0.941       0.291       0.022       2.630          0.0619       70.1426             0.000           100.000          0.87         0.70       0.093          0.171        -0.01679339            0.11596679
       23760          264.000         71.65          859.53          1.50           0.946       0.291       0.022       2.609          0.0619       70.1499             0.000           100.000          0.88         0.71       0.092          0.171        -0.01691023           -0.00305176
       24840          276.000         71.65          862.79          1.50           0.947       0.291       0.022       2.609          0.0619       70.1512             0.000           100.000          0.89         0.72       0.091          0.171        -0.01702445           -0.00152588
       25920          288.000         71.64          854.71          1.49           0.945       0.291       0.022       2.627          0.0620       70.1465             0.000           100.000          0.88         0.71       0.092          0.171        -0.01701658           -0.00152588
       27000          300.000         71.62          841.32          1.48           0.943       0.292       0.022       2.658          0.0621       70.1386             0.000           100.000          0.88         0.70       0.093          0.171        -0.01703196           -0.34484860
       28080          312.000         71.60          826.71          1.47           0.938       0.292       0.023       2.684          0.0622       70.1307             0.000           100.000          0.87         0.68       0.094          0.171        -0.01688867           -0.34027100
       29160          324.000         71.58          812.41          1.46           0.935       0.293       0.023       2.720          0.0623       70.1240             0.000           100.000          0.86         0.67       0.096          0.171        -0.01688566            1.18865955
       30240          336.000         71.58          767.17          1.46           0.887       0.278       0.024       2.769          0.0629       70.1166             0.000           100.000          0.77         0.63       0.097          0.171        -0.01278009            5.41229200
       31320          348.000         71.58          808.40          1.46           0.934       0.293       0.023       2.726          0.0624       70.1168             0.000           100.000          0.84         0.62       0.098          0.171        -0.01863970           -2.25219703
       32400          360.000         71.56          763.91          1.45           0.894       0.282       0.024       2.872          0.0639       70.1065             0.000           100.000          0.77         0.62       0.099          0.171        -0.01357891            2.58483887
       33480          372.000         71.57          807.59          1.46           0.935       0.293       0.023       2.738          0.0625       70.1151             0.000           100.000          0.84         0.60       0.098          0.171        -0.01996684           -0.90179437
