 Calculated Flow and Sedi at section of Ics=          26
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         80.79          801.09          1.39           1.010       0.323       0.027       4.914          0.0816       79.4026             0.000           100.000          0.83         0.57       0.102          0.220        -0.02358237            0.30517575
        1080           12.000         80.79          801.58          1.39           1.010       0.323       0.027       4.915          0.0816       79.4027             0.000           100.000          0.83         0.57       0.102          0.220        -0.02358220            0.51116937
        2160           24.000         80.81          811.56          1.40           1.012       0.322       0.027       4.926          0.0821       79.4047             0.000           100.000          0.82         0.57       0.103          0.220        -0.02367255            0.11138915
        3240           36.000         80.83          826.41          1.42           1.014       0.321       0.028       4.930          0.0827       79.4080             0.000           100.000          0.81         0.55       0.106          0.220        -0.02385819            0.00305176
        4320           48.000         80.86          846.44          1.45           1.018       0.320       0.028       4.940          0.0835       79.4113             0.000           100.000          0.79         0.53       0.109          0.220        -0.02407533            0.43182373
        5400           60.000         80.89          867.69          1.48           1.020       0.318       0.028       4.932          0.0844       79.4118             0.000           100.000          0.79         0.53       0.107          0.220        -0.02385618            0.21820067
        6480           72.000         80.90          873.19          1.49           1.020       0.318       0.028       4.922          0.0845       79.4119             0.000           100.000          0.80         0.54       0.104          0.220        -0.02369430           -0.87738031
        7560           84.000         80.89          868.22          1.48           1.019       0.318       0.028       4.913          0.0843       79.4118             0.000           100.000          0.80         0.55       0.101          0.220        -0.02358435           -0.43945312
        8640           96.000         80.89          864.31          1.48           1.018       0.318       0.028       4.915          0.0841       79.4117             0.000           100.000          0.81         0.57       0.099          0.220        -0.02351037           -0.88043207
        9720          108.000         80.88          862.09          1.47           1.018       0.318       0.028       4.916          0.0841       79.4117             0.000           100.000          0.82         0.57       0.097          0.220        -0.02347454           -0.22125243
       10800          120.000         80.88          858.19          1.47           1.017       0.318       0.028       4.913          0.0839       79.4116             0.000           100.000          0.82         0.58       0.096          0.220        -0.02346188            0.32653809
       11880          132.000         80.87          852.78          1.46           1.016       0.319       0.028       4.915          0.0837       79.4114             0.000           100.000          0.82         0.57       0.098          0.220        -0.02353000            0.10986328
       12960          144.000         80.87          849.06          1.45           1.016       0.319       0.028       4.919          0.0835       79.4113             0.000           100.000          0.81         0.57       0.100          0.220        -0.02363266           -0.43945312
       14040          156.000         80.86          845.42          1.45           1.015       0.319       0.028       4.915          0.0834       79.4112             0.000           100.000          0.81         0.56       0.102          0.220        -0.02365341           -0.44097897
       15120          168.000         80.85          836.12          1.44           1.013       0.320       0.028       4.911          0.0829       79.4110             0.000           100.000          0.81         0.55       0.104          0.220        -0.02373418            0.36010739
