 Calculated Flow and Sedi at section of Ics=          35
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         76.71          800.88          4.22           0.420       0.073       0.030       0.237          0.0312       72.4899             0.000           100.000          0.10         0.55       0.098          0.196         0.00617354            0.68664545
        1080           12.000         76.71          801.11          4.22           0.420       0.073       0.030       0.237          0.0312       72.4903             0.000           100.000          0.10         0.55       0.098          0.196         0.00617335            0.17700194
        2160           24.000         76.71          805.83          4.22           0.422       0.073       0.030       0.239          0.0313       72.4939             0.000           100.000          0.10         0.55       0.098          0.196         0.00618625           -0.34790039
        3240           36.000         76.73          818.94          4.23           0.427       0.074       0.030       0.242          0.0316       72.5071             0.000           100.000          0.11         0.54       0.100          0.196         0.00618849            0.25939938
        4320           48.000         76.76          835.95          4.23           0.433       0.075       0.030       0.247          0.0319       72.5245             0.000           100.000          0.11         0.53       0.103          0.196         0.00620834            0.75683594
        5400           60.000         76.79          857.67          4.26           0.441       0.076       0.030       0.253          0.0324       72.5337             0.000           100.000          0.11         0.53       0.104          0.196         0.00622303            0.25939938
        6480           72.000         76.81          871.06          4.27           0.446       0.077       0.030       0.256          0.0326       72.5402             0.000           100.000          0.11         0.53       0.103          0.196         0.00620661           -0.09155273
        7560           84.000         76.81          871.12          4.27           0.446       0.077       0.030       0.256          0.0326       72.5408             0.000           100.000          0.11         0.54       0.100          0.196         0.00617066           -0.08544921
        8640           96.000         76.81          866.81          4.27           0.444       0.076       0.030       0.255          0.0325       72.5390             0.000           100.000          0.11         0.55       0.098          0.196         0.00616623            0.00000000
        9720          108.000         76.80          863.47          4.26           0.443       0.076       0.030       0.254          0.0325       72.5374             0.000           100.000          0.11         0.56       0.096          0.196         0.00617096           -0.08850097
       10800          120.000         76.80          860.84          4.26           0.442       0.076       0.030       0.253          0.0324       72.5364             0.000           100.000          0.11         0.57       0.095          0.196         0.00617294            0.25634766
       11880          132.000         76.79          855.92          4.26           0.440       0.076       0.030       0.252          0.0323       72.5343             0.000           100.000          0.11         0.57       0.094          0.196         0.00616850           -0.17395020
       12960          144.000         76.78          851.34          4.25           0.439       0.076       0.030       0.250          0.0322       72.5322             0.000           100.000          0.11         0.56       0.096          0.196         0.00616973            0.52490228
       14040          156.000         76.78          848.08          4.25           0.437       0.075       0.030       0.250          0.0321       72.5307             0.000           100.000          0.11         0.55       0.097          0.196         0.00617045            0.26550293
       15120          168.000         76.77          841.44          4.24           0.435       0.075       0.030       0.248          0.0320       72.5279             0.000           100.000          0.11         0.55       0.099          0.196         0.00616558           -0.17395020
       16200          180.000         76.75          830.36          4.23           0.431       0.074       0.030       0.245          0.0318       72.5243             0.000           100.000          0.11         0.54       0.100          0.196         0.00616787            0.40893555
       17280          192.000         76.74          816.91          4.23           0.426       0.074       0.030       0.241          0.0315       72.5079             0.000           100.000          0.10         0.53       0.101          0.196         0.00615266           -0.16784666
       18360          204.000         76.71          795.14          4.22           0.417       0.072       0.030       0.236          0.0312       72.4886             0.000           100.000          0.10         0.53       0.100          0.196         0.00612862            0.16784666
       19440          216.000         76.71          799.14          4.22           0.419       0.073       0.030       0.237          0.0312       72.4889             0.000           100.000          0.10         0.55       0.098          0.196         0.00612359            0.34484860
       20520          228.000         76.72          813.81          4.22           0.425       0.074       0.030       0.241          0.0315       72.5011             0.000           100.000          0.11         0.56       0.096          0.196         0.00619200           -0.17089842
       21600          240.000         76.76          836.92          4.23           0.434       0.075       0.030       0.247          0.0319       72.5246             0.000           100.000          0.11         0.58       0.093          0.196         0.00621914            0.82702631
       22680          252.000         76.79          855.45          4.25           0.440       0.076       0.030       0.252          0.0323       72.5330             0.000           100.000          0.12         0.59       0.092          0.196         0.00621140           -0.17089842
       23760          264.000         76.80          863.30          4.26           0.443       0.076       0.030       0.254          0.0325       72.5369             0.000           100.000          0.12         0.59       0.090          0.196         0.00620249            0.17089842
       24840          276.000         76.80          859.64          4.26           0.442       0.076       0.030       0.253          0.0324       72.5359             0.000           100.000          0.12         0.59       0.091          0.196         0.00617936           -0.87585443
       25920          288.000         76.78          847.53          4.25           0.437       0.075       0.030       0.249          0.0321       72.5308             0.000           100.000          0.11         0.57       0.093          0.196         0.00617269           -0.52185053
       27000          300.000         76.76          833.19          4.23           0.432       0.075       0.030       0.246          0.0318       72.5246             0.000           100.000          0.11         0.56       0.096          0.196         0.00616738            0.07324218
       28080          312.000         76.74          818.09          4.23           0.426       0.074       0.030       0.241          0.0315       72.5091             0.000           100.000          0.11         0.54       0.099          0.196         0.00615468            0.09155273
       29160          324.000         76.72          804.12          4.22           0.421       0.073       0.030       0.238          0.0313       72.4949             0.000           100.000          0.10         0.53       0.101          0.196         0.00614110           -0.16784666
       30240          336.000         76.70          790.69          4.22           0.415       0.072       0.030       0.236          0.0311       72.4869             0.000           100.000          0.10         0.52       0.103          0.196         0.00609190            0.08239745
       31320          348.000         76.70          785.70          4.22           0.413       0.071       0.031       0.236          0.0311       72.4857             0.000           100.000          0.10         0.51       0.104          0.196         0.00604105           -0.43029782
       32400          360.000         76.70          774.98          4.22           0.407       0.071       0.031       0.235          0.0310       72.4830             0.000           100.000          0.10         0.51       0.102          0.196         0.00595375           -0.42419434
       33480          372.000         76.69          762.45          4.21           0.401       0.070       0.031       0.233          0.0309       72.4792             0.000           100.000          0.09         0.51       0.100          0.196         0.00581383           -0.08544921
       34560          384.000         76.69          755.27          4.21           0.398       0.069       0.031       0.232          0.0309       72.4769             0.000           100.000          0.09         0.51       0.098          0.196         0.00573877           -0.26245114
       35640          396.000         76.69          750.53          4.21           0.396       0.069       0.032       0.232          0.0308       72.4754             0.000           100.000          0.09         0.51       0.098          0.196         0.00569382            0.08239745
       36720          408.000         76.69          766.58          4.21           0.403       0.070       0.031       0.234          0.0310       72.4805             0.000           100.000          0.09         0.51       0.099          0.196         0.00575498            0.17089842
       37800          420.000         76.71          798.20          4.22           0.419       0.073       0.030       0.237          0.0312       72.4886             0.000           100.000          0.10         0.52       0.103          0.196         0.00606274           -0.17700194
       38880          432.000         76.71          804.39          4.22           0.421       0.073       0.030       0.238          0.0313       72.4929             0.000           100.000          0.10         0.51       0.106          0.196         0.00620037           -0.08544921
       39960          444.000         76.71          796.03          4.22           0.418       0.072       0.030       0.237          0.0312       72.4882             0.000           100.000          0.10         0.50       0.108          0.196         0.00617485           -0.08544921
