 Calculated Flow and Sedi at section of Ics=          48
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         72.85          800.80          2.23           0.813       0.194       0.027       1.653          0.0600       70.6173             0.000           100.000          0.52         0.60       0.096          0.177         0.00081399            0.25024414
        1080           12.000         72.85          801.16          2.24           0.813       0.193       0.027       1.649          0.0599       70.6174             0.000           100.000          0.51         0.60       0.095          0.177         0.00082983            0.00000000
        2160           24.000         72.85          802.48          2.24           0.813       0.193       0.027       1.649          0.0600       70.6174             0.000           100.000          0.52         0.60       0.095          0.177         0.00082535           -0.16784666
        3240           36.000         72.87          813.25          2.25           0.819       0.194       0.027       1.649          0.0602       70.6178             0.000           100.000          0.52         0.60       0.096          0.177         0.00079606           -0.00152588
        4320           48.000         72.89          828.62          2.28           0.825       0.194       0.027       1.643          0.0604       70.6183             0.000           100.000          0.52         0.59       0.097          0.177         0.00077380            0.25176999
        5400           60.000         72.92          848.06          2.31           0.833       0.194       0.027       1.633          0.0606       70.6190             0.000           100.000          0.52         0.58       0.100          0.177         0.00075325            0.50659174
        6480           72.000         72.95          867.50          2.33           0.842       0.195       0.027       1.628          0.0609       70.6197             0.000           100.000          0.52         0.59       0.100          0.177         0.00078686            0.08239745
        7560           84.000         72.96          871.78          2.34           0.844       0.195       0.027       1.626          0.0609       70.6198             0.000           100.000          0.53         0.61       0.098          0.177         0.00084263           -0.34179685
        8640           96.000         72.96          869.03          2.34           0.842       0.195       0.027       1.624          0.0608       70.6198             0.000           100.000          0.53         0.61       0.097          0.177         0.00084393            0.08239745
        9720          108.000         72.95          865.31          2.33           0.841       0.195       0.027       1.626          0.0608       70.6196             0.000           100.000          0.54         0.62       0.095          0.177         0.00083701           -0.16784666
       10800          120.000         72.95          862.70          2.33           0.840       0.195       0.027       1.627          0.0608       70.6195             0.000           100.000          0.54         0.63       0.094          0.177         0.00079914            0.00000000
       11880          132.000         72.94          858.84          2.32           0.838       0.194       0.027       1.628          0.0607       70.6194             0.000           100.000          0.54         0.63       0.093          0.177         0.00079210           -0.08239745
       12960          144.000         72.93          853.78          2.31           0.835       0.194       0.027       1.629          0.0606       70.6192             0.000           100.000          0.54         0.63       0.094          0.177         0.00080627           -0.25024414
       14040          156.000         72.93          850.08          2.31           0.834       0.194       0.027       1.632          0.0606       70.6191             0.000           100.000          0.53         0.62       0.094          0.177         0.00079448           -0.08544921
       15120          168.000         72.92          845.34          2.30           0.832       0.194       0.027       1.632          0.0605       70.6189             0.000           100.000          0.53         0.61       0.096          0.177         0.00080116           -0.08392333
       16200          180.000         72.91          835.48          2.29           0.827       0.194       0.027       1.635          0.0604       70.6186             0.000           100.000          0.52         0.60       0.097          0.177         0.00079405           -0.25176999
       17280          192.000         72.89          822.86          2.27           0.823       0.194       0.027       1.644          0.0603       70.6181             0.000           100.000          0.52         0.59       0.097          0.177         0.00079509           -0.16632080
       18360          204.000         72.86          807.34          2.24           0.816       0.194       0.027       1.648          0.0600       70.6176             0.000           100.000          0.51         0.59       0.098          0.177         0.00080155           -0.67443842
       19440          216.000         72.85          801.27          2.23           0.813       0.194       0.027       1.653          0.0600       70.6174             0.000           100.000          0.51         0.58       0.097          0.177         0.00068286           -0.67443842
       20520          228.000         72.85          806.39          2.24           0.818       0.195       0.027       1.664          0.0602       70.6174             0.000           100.000          0.52         0.60       0.095          0.177         0.00076686            0.00000000
       21600          240.000         72.89          827.38          2.27           0.827       0.195       0.027       1.655          0.0605       70.6181             0.000           100.000          0.53         0.62       0.094          0.177         0.00077908            0.08239745
       22680          252.000         72.92          848.19          2.30           0.835       0.195       0.027       1.642          0.0607       70.6189             0.000           100.000          0.54         0.64       0.092          0.177         0.00078708            0.75683594
       23760          264.000         72.94          860.72          2.32           0.840       0.195       0.027       1.638          0.0609       70.6194             0.000           100.000          0.55         0.65       0.091          0.177         0.00077917            0.16479491
       24840          276.000         72.94          862.58          2.32           0.841       0.195       0.027       1.635          0.0609       70.6194             0.000           100.000          0.55         0.65       0.090          0.177         0.00077864           -0.42114255
       25920          288.000         72.93          852.83          2.31           0.836       0.195       0.027       1.634          0.0607       70.6192             0.000           100.000          0.55         0.64       0.091          0.177         0.00079728            0.25176999
