 Calculated Flow and Sedi at section of Ics=          31
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         78.40          801.05          1.25           0.488       0.156       0.029       1.510          0.0430       77.1554             0.000           100.000          0.26         0.49       0.091          0.206         0.00819608            1.26953125
        1080           12.000         78.40          801.16          1.25           0.487       0.156       0.029       1.508          0.0429       77.1556             0.000           100.000          0.26         0.49       0.091          0.206         0.00819968            0.23803709
        2160           24.000         78.41          807.81          1.24           0.488       0.156       0.029       1.507          0.0428       77.1686             0.000           100.000          0.27         0.49       0.092          0.206         0.00827254            1.97753894
        3240           36.000         78.43          821.72          1.22           0.489       0.158       0.029       1.496          0.0423       77.2113             0.000           100.000          0.27         0.48       0.094          0.206         0.00838190            3.71398902
        4320           48.000         78.46          839.53          1.21           0.490       0.159       0.028       1.483          0.0420       77.2409             0.000           100.000          0.26         0.47       0.097          0.206         0.00855637            2.80456519
        5400           60.000         78.49          861.69          1.17           0.490       0.163       0.027       1.464          0.0409       77.3201             0.000           100.000          0.27         0.47       0.097          0.206         0.00891236            5.12084913
        6480           72.000         78.50          872.17          1.17           0.489       0.162       0.027       1.448          0.0408       77.3274             0.000           100.000          0.27         0.48       0.095          0.206         0.00907488            2.02941871
        7560           84.000         78.50          870.08          1.17           0.488       0.162       0.027       1.445          0.0408       77.3268             0.000           100.000          0.27         0.49       0.093          0.206         0.00908640           -0.01525879
        8640           96.000         78.50          865.73          1.17           0.488       0.162       0.027       1.450          0.0408       77.3220             0.000           100.000          0.28         0.50       0.090          0.206         0.00905491            0.27465817
        9720          108.000         78.49          862.81          1.17           0.488       0.162       0.027       1.452          0.0408       77.3212             0.000           100.000          0.28         0.51       0.089          0.206         0.00905535           -0.56152344
       10800          120.000         78.49          860.03          1.17           0.488       0.162       0.027       1.454          0.0408       77.3204             0.000           100.000          0.28         0.51       0.087          0.206         0.00904207            1.41906726
       11880          132.000         78.48          854.84          1.16           0.488       0.162       0.027       1.458          0.0407       77.3190             0.000           100.000          0.28         0.51       0.088          0.206         0.00897515            6.24694777
       12960          144.000         78.47          850.48          1.18           0.488       0.161       0.028       1.463          0.0412       77.2927             0.000           100.000          0.28         0.50       0.089          0.206         0.00885476            1.40380847
       14040          156.000         78.47          847.28          1.19           0.488       0.160       0.028       1.466          0.0414       77.2778             0.000           100.000          0.27         0.49       0.091          0.206         0.00877719            0.55847168
       15120          168.000         78.46          839.89          1.22           0.488       0.158       0.028       1.471          0.0419       77.2419             0.000           100.000          0.27         0.49       0.093          0.206         0.00860148           -0.21667479
       16200          180.000         78.44          827.84          1.23           0.488       0.157       0.029       1.480          0.0422       77.2153             0.000           100.000          0.26         0.48       0.094          0.206         0.00844797           -1.04675293
       17280          192.000         78.42          814.16          1.22           0.487       0.157       0.029       1.491          0.0423       77.2009             0.000           100.000          0.26         0.48       0.094          0.206         0.00828125           -1.01928699
       18360          204.000         78.40          793.23          1.25           0.485       0.155       0.029       1.510          0.0429       77.1519             0.000           100.000          0.26         0.48       0.093          0.206         0.00805496            0.72326654
       19440          216.000         78.40          799.78          1.25           0.487       0.156       0.029       1.510          0.0430       77.1549             0.000           100.000          0.27         0.49       0.091          0.206         0.00810196            0.65917963
       20520          228.000         78.42          818.42          1.22           0.490       0.158       0.029       1.504          0.0425       77.2010             0.000           100.000          0.27         0.51       0.088          0.206         0.00841171           -0.75683594
