 Calculated Flow and Sedi at section of Ics=          51
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         72.25          800.70          1.59           0.778       0.213       0.022       1.524          0.0486       70.6642             0.000           100.000          0.61         0.58       0.093          0.173        -0.00479603           -0.12512207
        1080           12.000         72.25          801.01          1.54           0.778       0.216       0.021       1.524          0.0479       70.7111             0.000           100.000          0.62         0.59       0.093          0.173        -0.00525561           -0.51269531
        2160           24.000         72.25          801.97          1.54           0.778       0.216       0.021       1.524          0.0479       70.7111             0.000           100.000          0.62         0.59       0.093          0.173        -0.00526129            0.00000000
        3240           36.000         72.26          812.01          1.55           0.782       0.217       0.021       1.525          0.0481       70.7112             0.000           100.000          0.62         0.59       0.093          0.173        -0.00528451            0.50659174
        4320           48.000         72.28          826.89          1.57           0.788       0.218       0.021       1.526          0.0484       70.7114             0.000           100.000          0.62         0.58       0.094          0.173        -0.00527390            0.80871576
        5400           60.000         72.30          846.12          1.59           0.795       0.219       0.021       1.528          0.0488       70.7115             0.000           100.000          0.62         0.57       0.097          0.173        -0.00529541            0.26855466
        6480           72.000         72.33          866.41          1.61           0.802       0.219       0.021       1.529          0.0491       70.7116             0.000           100.000          0.62         0.58       0.097          0.173        -0.00518490           -0.25939938
        7560           84.000         72.33          871.64          1.62           0.804       0.220       0.021       1.529          0.0492       70.7117             0.000           100.000          0.63         0.59       0.096          0.173        -0.00499441            0.51574707
        8640           96.000         72.33          869.67          1.62           0.804       0.220       0.021       1.529          0.0492       70.7117             0.000           100.000          0.64         0.60       0.095          0.173        -0.00505691            0.00000000
        9720          108.000         72.32          865.69          1.61           0.802       0.219       0.021       1.530          0.0491       70.7116             0.000           100.000          0.64         0.61       0.093          0.173        -0.00514149            0.13122557
       10800          120.000         72.32          863.08          1.61           0.802       0.220       0.021       1.531          0.0491       70.7116             0.000           100.000          0.65         0.61       0.092          0.173        -0.00522254           -0.65002441
       11880          132.000         72.32          859.28          1.60           0.801       0.219       0.021       1.532          0.0490       70.7116             0.000           100.000          0.65         0.62       0.091          0.173        -0.00535663           -0.50659174
       12960          144.000         72.31          854.42          1.60           0.799       0.219       0.021       1.533          0.0489       70.7116             0.000           100.000          0.65         0.61       0.091          0.173        -0.00538188           -0.25024414
       14040          156.000         72.30          850.36          1.59           0.798       0.219       0.021       1.534          0.0489       70.7115             0.000           100.000          0.64         0.61       0.092          0.173        -0.00539860            0.71105957
       15120          168.000         72.30          846.12          1.59           0.796       0.219       0.021       1.535          0.0488       70.7116             0.000           100.000          0.64         0.60       0.093          0.173        -0.00541661           -0.50353998
       16200          180.000         72.29          836.59          1.58           0.793       0.219       0.021       1.535          0.0487       70.7115             0.000           100.000          0.63         0.59       0.094          0.173        -0.00544338            0.39978024
       17280          192.000         72.27          824.27          1.56           0.789       0.218       0.021       1.536          0.0484       70.7113             0.000           100.000          0.63         0.58       0.095          0.173        -0.00538745           -0.51269531
       18360          204.000         72.26          809.15          1.54           0.783       0.218       0.021       1.534          0.0481       70.7112             0.000           100.000          0.62         0.57       0.095          0.173        -0.00538966           -0.37536618
       19440          216.000         72.25          803.36          1.58           0.782       0.214       0.021       1.535          0.0488       70.6642             0.000           100.000          0.61         0.57       0.094          0.173        -0.00533710           -0.24108885
       20520          228.000         72.25          805.25          1.58           0.784       0.215       0.021       1.541          0.0488       70.6641             0.000           100.000          0.61         0.59       0.093          0.173        -0.00508714            0.24108885
       21600          240.000         72.27          825.10          1.56           0.791       0.219       0.021       1.543          0.0485       70.7113             0.000           100.000          0.64         0.60       0.092          0.173        -0.00576186            0.25939938
       22680          252.000         72.30          846.44          1.58           0.799       0.220       0.021       1.546          0.0489       70.7115             0.000           100.000          0.65         0.62       0.090          0.173        -0.00587051            0.13427733
       23760          264.000         72.31          860.05          1.60           0.804       0.221       0.021       1.546          0.0492       70.7116             0.000           100.000          0.66         0.63       0.089          0.173        -0.00583045            0.25329587
       24840          276.000         72.31          862.72          1.60           0.805       0.221       0.021       1.546          0.0492       70.7116             0.000           100.000          0.66         0.64       0.088          0.173        -0.00584929            0.38757321
       25920          288.000         72.30          853.98          1.59           0.801       0.220       0.021       1.545          0.0490       70.7115             0.000           100.000          0.66         0.63       0.089          0.173        -0.00582442           -0.29907224
       27000          300.000         72.29          840.45          1.58           0.797       0.220       0.021       1.545          0.0488       70.7115             0.000           100.000          0.65         0.62       0.090          0.173        -0.00586361            0.00305176
       28080          312.000         72.27          825.89          1.56           0.791       0.219       0.021       1.544          0.0485       70.7113             0.000           100.000          0.64         0.60       0.092          0.173        -0.00582925            0.25329587
       29160          324.000         72.25          811.54          1.54           0.786       0.219       0.021       1.544          0.0483       70.7112             0.000           100.000          0.62         0.58       0.094          0.173        -0.00580664           -0.63781738
       30240          336.000         72.25          772.72          1.54           0.750       0.208       0.022       1.547          0.0483       70.7111             0.000           100.000          0.57         0.56       0.096          0.173        -0.00364993           -0.25634766
       31320          348.000         72.25          794.28          1.54           0.771       0.214       0.021       1.524          0.0479       70.7111             0.000           100.000          0.59         0.54       0.097          0.173        -0.00557066           -6.76269484
       32400          360.000         72.24          767.91          1.58           0.751       0.206       0.023       1.577          0.0493       70.6639             0.000           100.000          0.55         0.54       0.097          0.173        -0.00391461            2.18353248
       33480          372.000         72.25          804.70          1.58           0.783       0.215       0.021       1.540          0.0488       70.6641             0.000           100.000          0.60         0.53       0.095          0.173        -0.00706874           -2.89916968
       34560          384.000         72.26          731.98          1.55           0.705       0.196       0.024       1.550          0.0485       70.7112             0.000           100.000          0.50         0.52       0.094          0.173        -0.00160995            3.06701636
       35640          396.000         72.24          741.47          1.58           0.724       0.199       0.024       1.591          0.0496       70.6640             0.000           100.000          0.53         0.53       0.093          0.173        -0.00323621            4.35790968
       36720          408.000         72.25          805.12          1.58           0.784       0.215       0.021       1.541          0.0488       70.6641             0.000           100.000          0.61         0.53       0.093          0.173        -0.00830409           -0.97351068
       37800          420.000         72.24          800.56          1.58           0.783       0.215       0.021       1.547          0.0488       70.6639             0.000           100.000          0.60         0.55       0.095          0.173        -0.00611204            0.34179685
       38880          432.000         72.24          801.69          1.57           0.785       0.216       0.021       1.553          0.0489       70.6638             0.000           100.000          0.60         0.56       0.097          0.173        -0.00533608            1.21917713
       39960          444.000         72.24          803.80          1.58           0.786       0.216       0.021       1.553          0.0489       70.6639             0.000           100.000          0.59         0.55       0.098          0.173        -0.00525430           -0.36163327
       41040          456.000         72.24          797.11          1.58           0.780       0.214       0.022       1.548          0.0488       70.6639             0.000           100.000          0.58         0.53       0.099          0.173        -0.00565355           -2.25219703
       42120          468.000         72.26          762.44          1.55           0.736       0.204       0.023       1.537          0.0483       70.7112             0.000           100.000          0.52         0.49       0.100          0.173        -0.00428615           -2.29187012
       43200          480.000         72.26          713.11          1.54           0.690       0.192       0.024       1.574          0.0487       70.7112             0.000           100.000          0.46         0.48       0.101          0.173        -0.00072301            4.84924316
       44280          492.000         72.24          800.06          1.58           0.782       0.215       0.021       1.540          0.0487       70.6640             0.000           100.000          0.56         0.49       0.101          0.173        -0.00690065           -3.39202857
       45360          504.000         72.26          761.48          1.55           0.737       0.205       0.023       1.547          0.0484       70.7112             0.000           100.000          0.51         0.49       0.101          0.173        -0.00294384            0.12817383
       46440          516.000         72.24          766.19          1.57           0.751       0.206       0.023       1.587          0.0494       70.6638             0.000           100.000          0.53         0.50       0.100          0.173        -0.00415309            1.60522461
       47520          528.000         72.25          807.88          1.58           0.786       0.216       0.021       1.549          0.0490       70.6641             0.000           100.000          0.58         0.51       0.098          0.173        -0.00718256           -0.36010739
       48600          540.000         72.23          800.45          1.57           0.785       0.216       0.021       1.557          0.0489       70.6637             0.000           100.000          0.60         0.54       0.097          0.173        -0.00552561            1.73339832
       49680          552.000         72.24          808.44          1.58           0.789       0.216       0.021       1.560          0.0491       70.6640             0.000           100.000          0.61         0.56       0.096          0.173        -0.00529053           -0.00305176
       50760          564.000         72.25          813.34          1.59           0.791       0.217       0.021       1.560          0.0492       70.6642             0.000           100.000          0.61         0.57       0.095          0.173        -0.00514644            0.00305176
       51840          576.000         72.24          806.94          1.58           0.788       0.216       0.021       1.558          0.0490       70.6640             0.000           100.000          0.61         0.57       0.095          0.173        -0.00514437           -0.48217770
       52920          588.000         72.24          805.77          1.58           0.787       0.216       0.021       1.553          0.0490       70.6640             0.000           100.000          0.60         0.55       0.094          0.173        -0.00637691           -1.69982898
       54000          600.000         72.26          736.75          1.55           0.713       0.198       0.023       1.563          0.0486       70.7112             0.000           100.000          0.50         0.52       0.094          0.173        -0.00140688           -0.13427733
       55080          612.000         72.23          780.74          1.57           0.766       0.211       0.022       1.580          0.0493       70.6637             0.000           100.000          0.57         0.53       0.095          0.173        -0.00565280            1.38702381
       56160          624.000         72.25          793.78          1.59           0.772       0.211       0.022       1.530          0.0487       70.6642             0.000           100.000          0.57         0.52       0.095          0.173        -0.00678819          -15.96374416
       57240          636.000         72.23          800.60          1.57           0.786       0.216       0.021       1.561          0.0489       70.6637             0.000           100.000          0.59         0.54       0.096          0.173        -0.00586573            1.57928455
       58320          648.000         72.24          803.23          1.57           0.787       0.216       0.021       1.562          0.0490       70.6638             0.000           100.000          0.59         0.55       0.097          0.173        -0.00541073            1.58538806
       59400          660.000         72.24          806.32          1.58           0.788       0.216       0.021       1.561          0.0490       70.6639             0.000           100.000          0.59         0.55       0.097          0.173        -0.00538369           -0.23956297
       60480          672.000         72.24          767.77          1.57           0.752       0.207       0.023       1.587          0.0494       70.6638             0.000           100.000          0.55         0.54       0.096          0.173        -0.00346134            3.49121070
       61560          684.000         72.24          802.94          1.58           0.784       0.215       0.021       1.547          0.0489       70.6640             0.000           100.000          0.59         0.52       0.094          0.173        -0.00719516           -3.38745093
       62640          696.000         72.26          721.02          1.55           0.697       0.194       0.024       1.566          0.0487       70.7112             0.000           100.000          0.48         0.50       0.094          0.173        -0.00142366            1.78222644
       63720          708.000         72.24          754.83          1.57           0.740       0.203       0.023       1.598          0.0496       70.6638             0.000           100.000          0.54         0.51       0.093          0.173        -0.00474929            4.99267530
       64800          720.000         72.25          761.84          1.54           0.738       0.205       0.022       1.553          0.0484       70.7112             0.000           100.000          0.54         0.51       0.092          0.173        -0.00548973           -3.06396461
       65880          732.000         72.25          722.94          1.54           0.700       0.195       0.024       1.573          0.0487       70.7112             0.000           100.000          0.49         0.52       0.091          0.173        -0.00114803            0.12817383
       66960          744.000         72.23          787.21          1.57           0.773       0.213       0.022       1.574          0.0492       70.6637             0.000           100.000          0.59         0.54       0.090          0.173        -0.00632252           -0.70800775
       68040          756.000         72.26          748.17          1.55           0.723       0.201       0.023       1.552          0.0485       70.7112             0.000           100.000          0.53         0.53       0.089          0.173        -0.00415879           -1.39770496
       69120          768.000         72.25          727.05          1.54           0.706       0.196       0.024       1.580          0.0488       70.7111             0.000           100.000          0.51         0.52       0.088          0.173        -0.00312682            0.25329587
       70200          780.000         72.24          804.76          1.58           0.786       0.216       0.021       1.553          0.0489       70.6640             0.000           100.000          0.60         0.54       0.091          0.173        -0.00721913           -2.06146216
       71280          792.000         72.25          753.55          1.54           0.732       0.203       0.023       1.565          0.0486       70.7111             0.000           100.000          0.52         0.53       0.094          0.173        -0.00203642           -1.78832996
       72360          804.000         72.23          781.88          1.57           0.768       0.211       0.022       1.583          0.0493       70.6637             0.000           100.000          0.56         0.50       0.097          0.173        -0.00581221           -0.39825436
       73440          816.000         72.26          755.83          1.55           0.731       0.203       0.023       1.548          0.0484       70.7112             0.000           100.000          0.51         0.47       0.098          0.173        -0.00458071           -2.55432129
       74520          828.000         72.25          725.79          1.59           0.706       0.193       0.024       1.584          0.0495       70.6642             0.000           100.000          0.46         0.48       0.099          0.173        -0.00103744            5.32531691
       75600          840.000         72.24          804.91          1.58           0.787       0.216       0.021       1.556          0.0490       70.6639             0.000           100.000          0.57         0.50       0.099          0.173        -0.00659442           -1.21002185
       76680          852.000         72.23          801.70          1.57           0.787       0.217       0.021       1.564          0.0490       70.6637             0.000           100.000          0.57         0.52       0.099          0.173        -0.00549570            1.81732166
       77760          864.000         72.25          816.58          1.54           0.793       0.221       0.021       1.565          0.0485       70.7111             0.000           100.000          0.58         0.53       0.100          0.173        -0.00612149           -0.12817383
       78840          876.000         72.26          825.55          1.55           0.796       0.221       0.021       1.565          0.0487       70.7112             0.000           100.000          0.58         0.52       0.101          0.173        -0.00606207           -0.50964350
       79920          888.000         72.26          827.29          1.55           0.796       0.221       0.021       1.564          0.0487       70.7113             0.000           100.000          0.58         0.52       0.100          0.173        -0.00607363            0.64392084
       81000          900.000         72.26          827.09          1.55           0.796       0.221       0.021       1.564          0.0487       70.7113             0.000           100.000          0.59         0.53       0.099          0.173        -0.00610708           -0.76293939
       82080          912.000         72.27          828.88          1.56           0.797       0.221       0.021       1.564          0.0488       70.7113             0.000           100.000          0.59         0.54       0.097          0.173        -0.00609304            0.37536618
       83160          924.000         72.27          830.98          1.56           0.798       0.221       0.021       1.564          0.0488       70.7113             0.000           100.000          0.60         0.55       0.097          0.173        -0.00608057           -0.76904291
       84240          936.000         72.27          832.23          1.56           0.798       0.221       0.021       1.564          0.0488       70.7113             0.000           100.000          0.60         0.55       0.096          0.173        -0.00610884            0.12512207
       85320          948.000         72.26          826.00          1.55           0.795       0.221       0.021       1.562          0.0487       70.7112             0.000           100.000          0.60         0.55       0.096          0.173        -0.00607161           -0.25329587
       86400          960.000         72.25          818.38          1.54           0.793       0.220       0.021       1.562          0.0486       70.7112             0.000           100.000          0.59         0.54       0.097          0.173        -0.00608326            0.25024414
       87480          972.000         72.26          822.24          1.55           0.795       0.221       0.021       1.565          0.0487       70.7112             0.000           100.000          0.59         0.54       0.098          0.173        -0.00611361            0.25024414
       88560          984.000         72.27          831.55          1.56           0.798       0.221       0.021       1.565          0.0488       70.7113             0.000           100.000          0.59         0.54       0.097          0.173        -0.00607865            0.13122557
       89640          996.000         72.26          822.86          1.55           0.794       0.220       0.021       1.561          0.0486       70.7112             0.000           100.000          0.60         0.55       0.095          0.173        -0.00603188           -0.50659174
       90720         1008.000         72.24          789.74          1.57           0.773       0.212       0.022       1.562          0.0490       70.6638             0.000           100.000          0.56         0.53       0.096          0.173        -0.00461053            0.77209473
       91800         1020.000         72.23          802.77          1.57           0.788       0.217       0.021       1.565          0.0490       70.6637             0.000           100.000          0.56         0.51       0.099          0.173        -0.00537666            2.12707520
       92880         1032.000         72.25          819.15          1.54           0.794       0.221       0.021       1.566          0.0486       70.7112             0.000           100.000          0.57         0.51       0.101          0.173        -0.00607862            0.51269531
       93960         1044.000         72.28          843.48          1.57           0.803       0.222       0.021       1.568          0.0491       70.7114             0.000           100.000          0.58         0.53       0.099          0.173        -0.00614635            0.70800775
       95040         1056.000         72.31          871.75          1.60           0.814       0.223       0.021       1.570          0.0496       70.7116             0.000           100.000          0.60         0.55       0.096          0.173        -0.00613673           -0.25939938
       96120         1068.000         72.34          899.08          1.63           0.825       0.225       0.021       1.573          0.0501       70.7117             0.000           100.000          0.62         0.59       0.094          0.173        -0.00583774           -0.00305176
       97200         1080.000         72.37          925.41          1.66           0.835       0.226       0.021       1.575          0.0505       70.7119             0.000           100.000          0.63         0.59       0.094          0.173        -0.00582555            0.50964350
       98280         1092.000         72.39          947.81          1.68           0.845       0.227       0.021       1.577          0.0509       70.7120             0.000           100.000          0.63         0.58       0.097          0.173        -0.00595684            0.11901855
       99360         1104.000         72.41          965.09          1.69           0.852       0.228       0.021       1.578          0.0511       70.7121             0.000           100.000          0.63         0.57       0.098          0.173        -0.00609101           -0.50659174
      100440         1116.000         72.41          974.84          1.70           0.856       0.229       0.021       1.580          0.0513       70.7121             0.000           100.000          0.63         0.58       0.098          0.173        -0.00614004            1.01928699
      101520         1128.000         72.42          982.69          1.71           0.860       0.230       0.021       1.583          0.0514       70.7122             0.000           100.000          0.65         0.60       0.095          0.173        -0.00622188           -0.00305176
      102600         1140.000         72.42          988.98          1.71           0.863       0.230       0.021       1.585          0.0515       70.7122             0.000           100.000          0.67         0.63       0.092          0.173        -0.00622858            0.12817383
      103680         1152.000         72.43          995.53          1.72           0.867       0.231       0.021       1.589          0.0516       70.7122             0.000           100.000          0.67         0.63       0.092          0.173        -0.00625078           -9.71374512
      104760         1164.000         72.43         1000.34          1.72           0.869       0.231       0.021       1.591          0.0517       70.7122             0.000           100.000          0.66         0.61       0.094          0.173        -0.00640537            0.00000000
      105840         1176.000         72.44         1005.05          1.72           0.871       0.232       0.021       1.594          0.0518       70.7123             0.000           100.000          0.66         0.61       0.095          0.173        -0.00629909           -0.25939938
