 Calculated Flow and Sedi at section of Ics=          43
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         74.66          800.88          1.86           0.922       0.244       0.026       2.558          0.0682       72.7964             0.000           100.000          0.69         0.55       0.094          0.185        -0.01110972           -0.17700194
        1080           12.000         74.66          801.23          1.86           0.922       0.244       0.026       2.558          0.0682       72.7964             0.000           100.000          0.69         0.55       0.094          0.185        -0.01111564            0.26702878
        2160           24.000         74.66          803.50          1.87           0.923       0.244       0.026       2.560          0.0683       72.7970             0.000           100.000          0.69         0.55       0.094          0.185        -0.01114452            1.02081287
        3240           36.000         74.68          815.38          1.88           0.928       0.245       0.026       2.563          0.0686       72.7975             0.000           100.000          0.69         0.55       0.094          0.185        -0.01128257            0.08697510
        4320           48.000         74.70          831.41          1.90           0.936       0.245       0.026       2.566          0.0690       72.7981             0.000           100.000          0.69         0.54       0.097          0.185        -0.01145865            0.17852782
        5400           60.000         74.73          851.81          1.93           0.945       0.246       0.026       2.569          0.0695       72.7990             0.000           100.000          0.69         0.53       0.099          0.185        -0.01167583            0.44555661
        6480           72.000         74.75          869.02          1.95           0.952       0.246       0.026       2.564          0.0699       72.7999             0.000           100.000          0.70         0.53       0.098          0.185        -0.01191232            0.44555661
        7560           84.000         74.76          871.92          1.96           0.953       0.246       0.026       2.562          0.0699       72.8000             0.000           100.000          0.70         0.54       0.096          0.185        -0.01196714            0.00305176
        8640           96.000         74.75          868.09          1.95           0.951       0.246       0.026       2.561          0.0698       72.7999             0.000           100.000          0.71         0.55       0.094          0.185        -0.01192265           -0.17700194
        9720          108.000         74.75          864.55          1.95           0.950       0.246       0.026       2.561          0.0698       72.7997             0.000           100.000          0.71         0.56       0.093          0.185        -0.01186665            0.00305176
       10800          120.000         74.74          861.97          1.94           0.949       0.246       0.026       2.562          0.0697       72.7995             0.000           100.000          0.72         0.57       0.091          0.185        -0.01183488            0.35705563
       11880          132.000         74.74          857.72          1.94           0.947       0.245       0.026       2.562          0.0696       72.7994             0.000           100.000          0.72         0.57       0.091          0.185        -0.01177828           -0.53100586
       12960          144.000         74.73          852.84          1.93           0.944       0.245       0.026       2.561          0.0695       72.7991             0.000           100.000          0.71         0.57       0.092          0.185        -0.01171868            0.26702878
       14040          156.000         74.73          849.14          1.93           0.943       0.245       0.026       2.562          0.0694       72.7990             0.000           100.000          0.71         0.56       0.093          0.185        -0.01166730           -0.35705563
       15120          168.000         74.72          843.88          1.92           0.940       0.245       0.026       2.560          0.0693       72.7987             0.000           100.000          0.70         0.55       0.094          0.185        -0.01158775            0.00000000
       16200          180.000         74.71          833.45          1.91           0.936       0.245       0.026       2.559          0.0690       72.7982             0.000           100.000          0.69         0.54       0.095          0.185        -0.01145965            0.17852782
       17280          192.000         74.69          820.48          1.89           0.930       0.244       0.026       2.557          0.0687       72.7977             0.000           100.000          0.69         0.54       0.096          0.185        -0.01130614           -0.18310545
       18360          204.000         74.66          803.17          1.87           0.921       0.244       0.026       2.552          0.0682       72.7970             0.000           100.000          0.68         0.53       0.096          0.185        -0.01111448            0.34332272
       19440          216.000         74.66          799.30          1.86           0.920       0.244       0.026       2.557          0.0682       72.7963             0.000           100.000          0.69         0.54       0.094          0.185        -0.01122783           -0.35552979
       20520          228.000         74.67          808.94          1.87           0.926       0.245       0.026       2.564          0.0684       72.7972             0.000           100.000          0.70         0.56       0.093          0.185        -0.01123433            0.66223139
       21600          240.000         74.70          831.31          1.90           0.936       0.245       0.026       2.569          0.0690       72.7979             0.000           100.000          0.71         0.57       0.091          0.185        -0.01142696            0.37536618
       22680          252.000         74.73          851.27          1.93           0.945       0.246       0.026       2.569          0.0695       72.7990             0.000           100.000          0.72         0.59       0.089          0.185        -0.01165605            0.26855466
       23760          264.000         74.74          861.81          1.94           0.949       0.246       0.026       2.566          0.0698       72.7995             0.000           100.000          0.73         0.59       0.088          0.185        -0.01180072           -0.08697510
       24840          276.000         74.74          861.61          1.94           0.949       0.246       0.026       2.563          0.0697       72.7995             0.000           100.000          0.73         0.59       0.088          0.185        -0.01180652            0.17852782
