 Calculated Flow and Sedi at section of Ics=          50
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         72.47          800.73          4.44           1.023       0.173       0.024       0.866          0.0606       68.0244             0.000           100.000          0.55         0.57       0.094          0.174        -0.00045074            0.06713866
        1080           12.000         72.47          801.05          4.44           1.023       0.173       0.024       0.865          0.0606       68.0271             0.000           100.000          0.55         0.57       0.093          0.174        -0.00044581            0.13122557
        2160           24.000         72.47          802.08          4.44           1.024       0.173       0.024       0.866          0.0606       68.0281             0.000           100.000          0.55         0.57       0.093          0.174        -0.00045508           -0.02899170
        3240           36.000         72.48          812.31          4.44           1.034       0.174       0.024       0.875          0.0609       68.0429             0.000           100.000          0.56         0.57       0.094          0.174        -0.00056091            0.42114255
        4320           48.000         72.50          827.31          4.46           1.048       0.176       0.024       0.887          0.0615       68.0477             0.000           100.000          0.57         0.57       0.095          0.174        -0.00073759            0.20599364
        5400           60.000         72.53          846.52          4.48           1.066       0.179       0.024       0.903          0.0621       68.0561             0.000           100.000          0.58         0.56       0.097          0.174        -0.00094010            0.37841797
        6480           72.000         72.56          866.47          4.49           1.084       0.182       0.024       0.919          0.0628       68.0650             0.000           100.000          0.60         0.56       0.098          0.174        -0.00124603            0.13427733
        7560           84.000         72.57          871.61          4.50           1.089       0.182       0.024       0.923          0.0630       68.0674             0.000           100.000          0.61         0.58       0.097          0.174        -0.00123220           -0.20599364
        8640           96.000         72.56          869.53          4.50           1.087       0.182       0.024       0.921          0.0629       68.0664             0.000           100.000          0.61         0.59       0.095          0.174        -0.00121691           -0.07019043
        9720          108.000         72.56          865.59          4.49           1.084       0.182       0.024       0.918          0.0628       68.0645             0.000           100.000          0.61         0.59       0.093          0.174        -0.00117861            0.00152588
       10800          120.000         72.55          862.92          4.49           1.081       0.181       0.024       0.916          0.0627       68.0631             0.000           100.000          0.61         0.60       0.092          0.174        -0.00116297            0.07019043
       11880          132.000         72.55          859.17          4.49           1.078       0.181       0.024       0.913          0.0626       68.0610             0.000           100.000          0.61         0.60       0.091          0.174        -0.00114935            0.03356933
       12960          144.000         72.54          854.27          4.48           1.073       0.180       0.024       0.910          0.0624       68.0588             0.000           100.000          0.61         0.60       0.091          0.174        -0.00109266           -0.06561279
       14040          156.000         72.53          850.39          4.48           1.070       0.180       0.024       0.907          0.0623       68.0570             0.000           100.000          0.60         0.59       0.092          0.174        -0.00105817            0.03967285
       15120          168.000         72.53          845.88          4.47           1.066       0.179       0.024       0.903          0.0621       68.0551             0.000           100.000          0.59         0.58       0.093          0.174        -0.00090023            0.13275146
       16200          180.000         72.51          836.39          4.46           1.057       0.178       0.024       0.896          0.0618       68.0508             0.000           100.000          0.58         0.57       0.094          0.174        -0.00082882           -0.20446777
       17280          192.000         72.50          824.00          4.45           1.045       0.176       0.024       0.886          0.0614       68.0432             0.000           100.000          0.57         0.57       0.095          0.174        -0.00070082           -0.00152588
       18360          204.000         72.48          808.64          4.44           1.031       0.174       0.024       0.873          0.0609       68.0327             0.000           100.000          0.55         0.56       0.096          0.174        -0.00053100           -0.20446777
       19440          216.000         72.46          802.92          4.44           1.026       0.173       0.024       0.870          0.0607       68.0239             0.000           100.000          0.55         0.56       0.095          0.174        -0.00062636           -0.19836424
       20520          228.000         72.47          805.34          4.44           1.029       0.174       0.024       0.873          0.0609       68.0244             0.000           100.000          0.56         0.57       0.093          0.174        -0.00050220           -0.06561279
       21600          240.000         72.50          825.62          4.45           1.048       0.177       0.024       0.889          0.0615       68.0432             0.000           100.000          0.58         0.59       0.092          0.174        -0.00068950            0.20141600
       22680          252.000         72.52          846.88          4.47           1.068       0.179       0.024       0.907          0.0622       68.0540             0.000           100.000          0.61         0.61       0.090          0.174        -0.00089423            0.23651122
       23760          264.000         72.54          860.19          4.48           1.080       0.181       0.024       0.917          0.0627       68.0597             0.000           100.000          0.62         0.62       0.089          0.174        -0.00114623            0.03356933
       24840          276.000         72.55          862.77          4.49           1.082       0.182       0.024       0.919          0.0628       68.0608             0.000           100.000          0.63         0.62       0.089          0.174        -0.00117699           -0.07019043
       25920          288.000         72.54          853.75          4.48           1.074       0.180       0.024       0.912          0.0624       68.0573             0.000           100.000          0.62         0.62       0.089          0.174        -0.00108468            0.05950927
       27000          300.000         72.52          840.20          4.47           1.061       0.179       0.024       0.901          0.0620       68.0514             0.000           100.000          0.60         0.60       0.091          0.174        -0.00084149           -0.10375976
       28080          312.000         72.50          825.69          4.45           1.048       0.176       0.024       0.889          0.0615       68.0432             0.000           100.000          0.58         0.58       0.093          0.174        -0.00071413           -0.16174315
       29160          324.000         72.48          811.22          4.44           1.034       0.174       0.024       0.877          0.0610       68.0325             0.000           100.000          0.56         0.57       0.095          0.174        -0.00058718            0.09918212
       30240          336.000         72.47          772.78          4.44           0.986       0.166       0.025       0.876          0.0610       68.0294             0.000           100.000          0.51         0.55       0.096          0.174         0.00006332            0.13732909
       31320          348.000         72.47          790.94          4.44           1.009       0.170       0.024       0.866          0.0606       68.0303             0.000           100.000          0.53         0.53       0.097          0.174        -0.00045826            0.10070800
       32400          360.000         72.46          770.88          4.44           0.987       0.167       0.025       0.886          0.0613       68.0167             0.000           100.000          0.50         0.52       0.097          0.174        -0.00025205            1.07421863
       33480          372.000         72.46          801.23          4.44           1.024       0.173       0.024       0.867          0.0607       68.0238             0.000           100.000          0.55         0.51       0.096          0.174        -0.00124142           -1.14440906
       34560          384.000         72.48          733.98          4.44           0.934       0.158       0.027       0.884          0.0612       68.0428             0.000           100.000          0.46         0.51       0.094          0.174         0.00013889            0.76904291
       35640          396.000         72.46          746.05          4.44           0.955       0.161       0.026       0.895          0.0616       68.0173             0.000           100.000          0.48         0.51       0.093          0.174        -0.00019617            1.37939441
       36720          408.000         72.46          803.41          4.44           1.027       0.173       0.024       0.871          0.0608       68.0236             0.000           100.000          0.56         0.51       0.093          0.174        -0.00163877           -0.80566400
       37800          420.000         72.46          800.27          4.44           1.025       0.173       0.024       0.870          0.0607       68.0172             0.000           100.000          0.55         0.54       0.095          0.174        -0.00076894           -0.06408691
       38880          432.000         72.45          801.72          4.44           1.027       0.173       0.024       0.873          0.0608       68.0166             0.000           100.000          0.54         0.54       0.097          0.174        -0.00051233           -0.13427733
       39960          444.000         72.46          803.66          4.44           1.028       0.174       0.024       0.874          0.0609       68.0194             0.000           100.000          0.54         0.53       0.099          0.174        -0.00052692            0.03204346
       41040          456.000         72.46          794.69          4.44           1.018       0.172       0.024       0.874          0.0609       68.0168             0.000           100.000          0.52         0.51       0.100          0.174        -0.00068083           -0.73699945
       42120          468.000         72.48          761.14          4.44           0.969       0.164       0.026       0.877          0.0610       68.0354             0.000           100.000          0.47         0.48       0.101          0.174        -0.00025132           -0.13885497
       43200          480.000         72.47          718.77          4.44           0.917       0.155       0.027       0.892          0.0615       68.0283             0.000           100.000          0.42         0.47       0.101          0.174         0.00023365            1.74713123
       44280          492.000         72.46          796.42          4.44           1.020       0.172       0.024       0.872          0.0608       68.0178             0.000           100.000          0.52         0.47       0.102          0.174        -0.00120669           -1.07269275
       45360          504.000         72.48          761.92          4.44           0.971       0.164       0.026       0.878          0.0611       68.0331             0.000           100.000          0.47         0.48       0.102          0.174        -0.00016710            0.23498534
       46440          516.000         72.45          767.58          4.44           0.984       0.166       0.025       0.890          0.0614       68.0133             0.000           100.000          0.49         0.49       0.101          0.174        -0.00037526            0.53253168
       47520          528.000         72.47          807.22          4.44           1.031       0.174       0.024       0.876          0.0610       68.0249             0.000           100.000          0.54         0.49       0.099          0.174        -0.00148265           -0.33721921
       48600          540.000         72.45          800.48          4.44           1.026       0.173       0.024       0.873          0.0608       68.0140             0.000           100.000          0.53         0.53       0.098          0.174        -0.00062552           -0.03204346
       49680          552.000         72.46          808.61          4.44           1.034       0.174       0.024       0.880          0.0611       68.0224             0.000           100.000          0.55         0.55       0.097          0.174        -0.00057471            0.03814697
       50760          564.000         72.47          813.45          4.44           1.038       0.175       0.024       0.884          0.0612       68.0277             0.000           100.000          0.55         0.55       0.096          0.174        -0.00064034            0.00305176
       51840          576.000         72.46          806.67          4.44           1.032       0.174       0.024       0.878          0.0610       68.0213             0.000           100.000          0.55         0.55       0.095          0.174        -0.00054994           -0.10070800
       52920          588.000         72.46          803.94          4.44           1.028       0.174       0.024       0.874          0.0609       68.0208             0.000           100.000          0.54         0.53       0.095          0.174        -0.00085447           -0.53863525
       54000          600.000         72.48          737.17          4.44           0.940       0.159       0.027       0.886          0.0613       68.0324             0.000           100.000          0.46         0.52       0.095          0.174         0.00022043            0.26702878
       55080          612.000         72.45          780.14          4.44           1.001       0.169       0.025       0.885          0.0612       68.0120             0.000           100.000          0.52         0.51       0.095          0.174        -0.00086952           -0.26855466
       56160          624.000         72.47          787.98          4.44           1.005       0.170       0.025       0.869          0.0607       68.0293             0.000           100.000          0.52         0.51       0.096          0.174        -0.00073448           -1.00707996
       57240          636.000         72.45          800.39          4.44           1.026       0.173       0.024       0.874          0.0609       68.0125             0.000           100.000          0.53         0.53       0.097          0.174        -0.00066266           -0.09918212
       58320          648.000         72.45          803.42          4.44           1.029       0.174       0.024       0.877          0.0610       68.0157             0.000           100.000          0.53         0.53       0.097          0.174        -0.00056227           -0.06866454
       59400          660.000         72.46          806.30          4.44           1.032       0.174       0.024       0.878          0.0610       68.0198             0.000           100.000          0.54         0.54       0.097          0.174        -0.00058661            0.00152588
       60480          672.000         72.45          770.62          4.44           0.988       0.167       0.025       0.888          0.0613       68.0147             0.000           100.000          0.50         0.52       0.096          0.174        -0.00017584            0.90637201
       61560          684.000         72.46          796.75          4.44           1.019       0.172       0.024       0.870          0.0607       68.0208             0.000           100.000          0.53         0.50       0.095          0.174        -0.00111120           -2.48565674
       62640          696.000         72.48          722.72          4.44           0.921       0.155       0.027       0.889          0.0614       68.0320             0.000           100.000          0.44         0.49       0.094          0.174         0.00017676            0.36926267
       63720          708.000         72.45          757.91          4.44           0.972       0.164       0.026       0.894          0.0616       68.0131             0.000           100.000          0.49         0.49       0.093          0.174        -0.00058088            0.63629144
       64800          720.000         72.47          760.88          4.44           0.971       0.164       0.026       0.881          0.0611       68.0297             0.000           100.000          0.49         0.49       0.092          0.174        -0.00057975            0.26855466
       65880          732.000         72.47          724.69          4.44           0.924       0.156       0.027       0.890          0.0614       68.0304             0.000           100.000          0.45         0.51       0.092          0.174         0.00022922            0.84228510
       66960          744.000         72.45          784.98          4.44           1.007       0.170       0.025       0.883          0.0612       68.0111             0.000           100.000          0.54         0.53       0.091          0.174        -0.00099730           -0.63629144
       68040          756.000         72.48          745.95          4.44           0.950       0.160       0.026       0.883          0.0612       68.0338             0.000           100.000          0.48         0.52       0.089          0.174        -0.00016745           -0.70953363
       69120          768.000         72.47          727.12          4.44           0.928       0.157       0.027       0.891          0.0615       68.0281             0.000           100.000          0.46         0.51       0.089          0.174         0.00008102           -0.00152588
       70200          780.000         72.46          802.73          4.44           1.027       0.173       0.024       0.873          0.0608       68.0198             0.000           100.000          0.55         0.52       0.091          0.174        -0.00128122           -0.53710932
       71280          792.000         72.47          751.95          4.44           0.959       0.162       0.026       0.885          0.0613       68.0291             0.000           100.000          0.47         0.52       0.095          0.174         0.00017565           -0.33721921
       72360          804.000         72.45          779.73          4.44           1.001       0.169       0.025       0.887          0.0613       68.0101             0.000           100.000          0.50         0.49       0.097          0.174        -0.00071895           -0.60119623
       73440          816.000         72.48          752.84          4.44           0.959       0.162       0.026       0.881          0.0612       68.0340             0.000           100.000          0.45         0.46       0.099          0.174        -0.00036414           -1.01470935
       74520          828.000         72.46          731.69          4.44           0.935       0.158       0.027       0.894          0.0616       68.0226             0.000           100.000          0.43         0.47       0.099          0.174         0.00012422            1.81121814
       75600          840.000         72.46          804.28          4.44           1.029       0.174       0.024       0.875          0.0609       68.0197             0.000           100.000          0.52         0.48       0.100          0.174        -0.00110517            0.00152588
       76680          852.000         72.45          801.67          4.44           1.028       0.174       0.024       0.876          0.0609       68.0129             0.000           100.000          0.52         0.51       0.100          0.174        -0.00057777           -0.03356933
       77760          864.000         72.48          817.00          4.44           1.041       0.176       0.024       0.887          0.0613       68.0322             0.000           100.000          0.53         0.51       0.101          0.174        -0.00071902            0.26855466
       78840          876.000         72.49          825.66          4.45           1.050       0.177       0.024       0.894          0.0616       68.0430             0.000           100.000          0.53         0.51       0.102          0.174        -0.00081114            0.30975342
       79920          888.000         72.49          827.42          4.45           1.051       0.177       0.024       0.895          0.0617       68.0430             0.000           100.000          0.53         0.51       0.101          0.174        -0.00082899           -0.13580322
       81000          900.000         72.49          827.05          4.45           1.051       0.177       0.024       0.894          0.0616       68.0430             0.000           100.000          0.54         0.52       0.099          0.174        -0.00082667            0.16784666
       82080          912.000         72.49          829.06          4.45           1.053       0.177       0.024       0.896          0.0617       68.0431             0.000           100.000          0.54         0.53       0.098          0.174        -0.00083000           -0.06866454
       83160          924.000         72.50          831.20          4.45           1.055       0.178       0.024       0.898          0.0618       68.0432             0.000           100.000          0.55         0.53       0.097          0.174        -0.00083662            0.36315918
       84240          936.000         72.50          832.27          4.45           1.056       0.178       0.024       0.899          0.0618       68.0432             0.000           100.000          0.55         0.53       0.097          0.174        -0.00085775            0.03204346
       85320          948.000         72.49          825.83          4.45           1.049       0.177       0.024       0.893          0.0616       68.0430             0.000           100.000          0.54         0.53       0.097          0.174        -0.00079963           -0.05187988
       86400          960.000         72.48          818.28          4.44           1.042       0.176       0.024       0.887          0.0614       68.0347             0.000           100.000          0.53         0.52       0.098          0.174        -0.00072712            0.03509521
       87480          972.000         72.48          822.39          4.44           1.046       0.177       0.024       0.891          0.0615       68.0428             0.000           100.000          0.53         0.52       0.098          0.174        -0.00077209            0.36773679
       88560          984.000         72.50          831.69          4.45           1.055       0.178       0.024       0.898          0.0618       68.0432             0.000           100.000          0.54         0.53       0.098          0.174        -0.00084645            0.03051758
       89640          996.000         72.49          822.55          4.44           1.046       0.176       0.024       0.890          0.0615       68.0429             0.000           100.000          0.54         0.53       0.096          0.174        -0.00073030            0.19989012
       90720         1008.000         72.46          789.94          4.44           1.012       0.171       0.025       0.876          0.0610       68.0167             0.000           100.000          0.50         0.52       0.097          0.174        -0.00031091            0.10070800
       91800         1020.000         72.45          803.00          4.44           1.029       0.174       0.024       0.877          0.0610       68.0141             0.000           100.000          0.51         0.50       0.100          0.174        -0.00055688           -0.00305176
       92880         1032.000         72.48          819.58          4.44           1.044       0.176       0.024       0.889          0.0614       68.0345             0.000           100.000          0.52         0.50       0.102          0.174        -0.00074149            0.00305176
       93960         1044.000         72.51          844.03          4.46           1.067       0.180       0.024       0.909          0.0623       68.0500             0.000           100.000          0.54         0.51       0.100          0.174        -0.00098774            0.33569333
       95040         1056.000         72.55          872.14          4.49           1.093       0.183       0.024       0.932          0.0632       68.0617             0.000           100.000          0.58         0.54       0.097          0.174        -0.00139035            0.27008054
       96120         1068.000         72.58          899.44          4.51           1.119       0.187       0.023       0.954          0.0641       68.0738             0.000           100.000          0.61         0.57       0.094          0.174        -0.00154886            0.20294188
