 Calculated Flow and Sedi at section of Ics=           7
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         88.64          801.09          2.95           0.627       0.118       0.049       2.260          0.0808       85.6877             0.000           100.000          0.21         0.31       0.052          0.277        -0.00220117           -0.16479491
        1080           12.000         88.66          811.69          2.97           0.631       0.119       0.049       2.271          0.0812       85.6888             0.000           100.000          0.21         0.29       0.053          0.277        -0.00238652            0.25329587
        2160           24.000         88.69          827.06          3.00           0.636       0.119       0.049       2.276          0.0817       85.6905             0.000           100.000          0.21         0.26       0.056          0.277        -0.00271769            0.58593744
        3240           36.000         88.73          847.28          3.04           0.643       0.120       0.049       2.288          0.0824       85.6927             0.000           100.000          0.21         0.26       0.058          0.277        -0.00285245            0.24719237
        4320           48.000         88.78          870.47          3.08           0.651       0.120       0.049       2.295          0.0832       85.6953             0.000           100.000          0.21         0.27       0.056          0.277        -0.00282643            0.90942377
        5400           60.000         88.79          874.56          3.09           0.651       0.120       0.049       2.281          0.0831       85.6961             0.000           100.000          0.21         0.29       0.054          0.277        -0.00268365            0.00305176
        6480           72.000         88.78          866.78          3.08           0.648       0.119       0.049       2.275          0.0828       85.6953             0.000           100.000          0.21         0.31       0.052          0.277        -0.00246186           -0.16784666
        7560           84.000         88.77          862.97          3.07           0.647       0.119       0.049       2.277          0.0827       85.6948             0.000           100.000          0.22         0.33       0.051          0.277        -0.00228995            0.24719237
        8640           96.000         88.76          861.12          3.07           0.647       0.119       0.049       2.277          0.0827       85.6946             0.000           100.000          0.22         0.34       0.051          0.277        -0.00215953            0.08239745
        9720          108.000         88.75          856.97          3.06           0.645       0.119       0.049       2.274          0.0825       85.6942             0.000           100.000          0.22         0.34       0.050          0.277        -0.00217480           -0.32958981
       10800          120.000         88.74          851.44          3.05           0.643       0.119       0.049       2.272          0.0823       85.6935             0.000           100.000          0.21         0.33       0.051          0.277        -0.00229610           -0.08544921
       11880          132.000         88.74          847.44          3.04           0.642       0.119       0.049       2.271          0.0822       85.6931             0.000           100.000          0.21         0.31       0.052          0.277        -0.00241879           -0.25024414
       12960          144.000         88.73          844.59          3.04           0.641       0.119       0.049       2.271          0.0821       85.6927             0.000           100.000          0.21         0.30       0.053          0.277        -0.00253739            0.16174315
       14040          156.000         88.71          835.66          3.02           0.638       0.119       0.049       2.264          0.0818       85.6918             0.000           100.000          0.21         0.29       0.054          0.277        -0.00256060           -0.08544921
       15120          168.000         88.69          823.75          3.00           0.634       0.118       0.049       2.259          0.0814       85.6905             0.000           100.000          0.21         0.28       0.055          0.277        -0.00256218           -0.16479491
       16200          180.000         88.66          808.12          2.97           0.628       0.118       0.049       2.252          0.0809       85.6888             0.000           100.000          0.21         0.28       0.054          0.277        -0.00241728           -0.49438474
       17280          192.000         88.62          789.69          2.93           0.622       0.118       0.049       2.246          0.0803       85.6867             0.000           100.000          0.21         0.30       0.052          0.277        -0.00217927           -0.41503903
       18360          204.000         88.63          800.69          2.94           0.628       0.118       0.049       2.271          0.0809       85.6874             0.000           100.000          0.21         0.33       0.051          0.277        -0.00204172            0.41198727
       19440          216.000         88.69          828.22          3.00           0.637       0.119       0.049       2.285          0.0819       85.6904             0.000           100.000          0.21         0.35       0.050          0.277        -0.00193400            0.32653809
       20520          228.000         88.73          848.78          3.04           0.644       0.119       0.049       2.285          0.0824       85.6929             0.000           100.000          0.22         0.37       0.049          0.277        -0.00182231            0.41198727
       21600          240.000         88.76          864.47          3.07           0.649       0.120       0.049       2.288          0.0829       85.6947             0.000           100.000          0.22         0.39       0.049          0.277        -0.00175525           -0.00305176
       22680          252.000         88.77          863.81          3.07           0.647       0.119       0.049       2.276          0.0827       85.6949             0.000           100.000          0.22         0.38       0.049          0.277        -0.00182495           -0.90942377
       23760          264.000         88.75          854.28          3.06           0.644       0.119       0.049       2.271          0.0824       85.6939             0.000           100.000          0.22         0.35       0.050          0.277        -0.00206084           -0.00305176
       24840          276.000         88.72          839.81          3.03           0.639       0.119       0.049       2.262          0.0819       85.6923             0.000           100.000          0.21         0.32       0.051          0.277        -0.00228900           -0.33264160
       25920          288.000         88.69          824.22          3.00           0.634       0.118       0.049       2.258          0.0814       85.6906             0.000           100.000          0.21         0.29       0.053          0.277        -0.00246503           -0.57983392
       27000          300.000         88.66          810.41          2.97           0.629       0.118       0.049       2.255          0.0810       85.6890             0.000           100.000          0.21         0.27       0.055          0.277        -0.00257666           -0.33264160
       28080          312.000         88.63          796.56          2.94           0.625       0.118       0.049       2.250          0.0805       85.6874             0.000           100.000          0.20         0.25       0.058          0.277        -0.00264873           -0.41198727
       29160          324.000         88.62          788.91          2.93           0.622       0.118       0.049       2.252          0.0803       85.6865             0.000           100.000          0.20         0.25       0.059          0.277        -0.00259405           -0.32958981
       30240          336.000         88.61          784.12          2.92           0.620       0.118       0.049       2.249          0.0802       85.6861             0.000           100.000          0.20         0.26       0.057          0.277        -0.00246968           -0.07934570
       31320          348.000         88.59          773.66          2.90           0.616       0.117       0.049       2.242          0.0798       85.6850             0.000           100.000          0.20         0.27       0.055          0.277        -0.00229308           -0.41503903
       32400          360.000         88.56          760.56          2.88           0.611       0.117       0.049       2.237          0.0794       85.6836             0.000           100.000          0.20         0.29       0.054          0.277        -0.00210805           -0.24719237
       33480          372.000         88.54          752.94          2.86           0.609       0.117       0.049       2.238          0.0792       85.6828             0.000           100.000          0.20         0.29       0.053          0.277        -0.00207022            0.08850097
       34560          384.000         88.53          748.31          2.85           0.607       0.116       0.049       2.237          0.0790       85.6823             0.000           100.000          0.20         0.28       0.054          0.277        -0.00213522            0.41198727
       35640          396.000         88.57          767.91          2.88           0.616       0.117       0.049       2.262          0.0799       85.6840             0.000           100.000          0.20         0.26       0.056          0.277        -0.00240145            0.65917963
       36720          408.000         88.63          801.84          2.95           0.629       0.119       0.049       2.277          0.0810       85.6874             0.000           100.000          0.20         0.24       0.060          0.277        -0.00278840            0.57678223
       37800          420.000         88.65          806.28          2.96           0.628       0.118       0.049       2.259          0.0809       85.6884             0.000           100.000          0.20         0.22       0.063          0.277        -0.00288295            0.08239745
       38880          432.000         88.63          794.25          2.94           0.624       0.118       0.049       2.251          0.0805       85.6871             0.000           100.000          0.20         0.20       0.067          0.277        -0.00287853           -0.49133295
       39960          444.000         88.59          776.47          2.91           0.617       0.117       0.049       2.241          0.0799       85.6854             0.000           100.000          0.19         0.19       0.070          0.277        -0.00284213           -0.74157715
       41040          456.000         88.55          755.66          2.87           0.609       0.116       0.049       2.231          0.0792       85.6832             0.000           100.000          0.19         0.18       0.072          0.277        -0.00280356           -0.41198727
       42120          468.000         88.55          758.81          2.87           0.612       0.117       0.049       2.250          0.0795       85.6832             0.000           100.000          0.19         0.19       0.071          0.277        -0.00279778            0.07934570
       43200          480.000         88.59          775.88          2.90           0.618       0.118       0.049       2.259          0.0801       85.6849             0.000           100.000          0.19         0.20       0.065          0.277        -0.00277529           -0.07934570
       44280          492.000         88.59          775.28          2.90           0.617       0.117       0.049       2.245          0.0799       85.6851             0.000           100.000          0.19         0.22       0.061          0.277        -0.00260782           -0.41503903
       45360          504.000         88.57          764.66          2.88           0.613       0.117       0.049       2.240          0.0795       85.6841             0.000           100.000          0.19         0.24       0.056          0.277        -0.00249405            0.15869141
       46440          516.000         88.59          779.78          2.91           0.620       0.118       0.049       2.264          0.0802       85.6853             0.000           100.000          0.20         0.25       0.054          0.277        -0.00254455            0.65612787
       47520          528.000         88.65          810.81          2.96           0.632       0.119       0.049       2.281          0.0813       85.6884             0.000           100.000          0.20         0.27       0.052          0.277        -0.00263241            0.82397455
       48600          540.000         88.67          816.16          2.98           0.632       0.118       0.049       2.262          0.0812       85.6895             0.000           100.000          0.20         0.27       0.051          0.277        -0.00263363           -0.41198727
       49680          552.000         88.65          807.19          2.96           0.629       0.118       0.049       2.256          0.0809       85.6886             0.000           100.000          0.20         0.26       0.051          0.277        -0.00263228           -0.24719237
       50760          564.000         88.62          792.19          2.94           0.623       0.118       0.049       2.248          0.0804       85.6870             0.000           100.000          0.20         0.26       0.051          0.277        -0.00260351           -0.41198727
       51840          576.000         88.59          774.44          2.90           0.616       0.117       0.049       2.241          0.0798       85.6851             0.000           100.000          0.20         0.25       0.052          0.277        -0.00255751           -0.41198727
       52920          588.000         88.57          766.88          2.89           0.614       0.117       0.049       2.245          0.0796       85.6842             0.000           100.000          0.20         0.24       0.052          0.277        -0.00257391           -0.50048828
       54000          600.000         88.57          764.38          2.88           0.613       0.117       0.049       2.244          0.0796       85.6839             0.000           100.000          0.19         0.24       0.052          0.277        -0.00259640           -0.07324218
       55080          612.000         88.59          779.72          2.91           0.620       0.118       0.049       2.263          0.0802       85.6853             0.000           100.000          0.20         0.24       0.053          0.277        -0.00262837            0.16174315
       56160          624.000         88.64          805.44          2.95           0.630       0.119       0.049       2.276          0.0811       85.6879             0.000           100.000          0.20         0.24       0.053          0.277        -0.00273348            0.65612787
       57240          636.000         88.65          808.03          2.97           0.629       0.118       0.049       2.258          0.0810       85.6886             0.000           100.000          0.20         0.24       0.052          0.277        -0.00272321           -0.24719237
       58320          648.000         88.63          796.84          2.94           0.625       0.118       0.049       2.252          0.0806       85.6874             0.000           100.000          0.20         0.24       0.051          0.277        -0.00264271           -0.16784666
       59400          660.000         88.60          777.72          2.91           0.617       0.117       0.049       2.239          0.0799       85.6855             0.000           100.000          0.20         0.25       0.050          0.277        -0.00249928           -0.41198727
       60480          672.000         88.55          754.84          2.87           0.609       0.116       0.049       2.230          0.0791       85.6831             0.000           100.000          0.19         0.25       0.048          0.277        -0.00244310           -0.49133295
       61560          684.000         88.53          745.16          2.85           0.606       0.116       0.050       2.236          0.0789       85.6818             0.000           100.000          0.19         0.26       0.047          0.277        -0.00233568           -0.57373047
       62640          696.000         88.52          742.88          2.84           0.605       0.116       0.050       2.235          0.0789       85.6816             0.000           100.000          0.19         0.27       0.045          0.277        -0.00225227            0.16479491
       63720          708.000         88.54          752.00          2.86           0.609       0.117       0.049       2.248          0.0793       85.6825             0.000           100.000          0.20         0.28       0.044          0.277        -0.00223514            0.82702631
       64800          720.000         88.57          767.72          2.89           0.615       0.117       0.049       2.256          0.0798       85.6841             0.000           100.000          0.20         0.29       0.042          0.277        -0.00224789            0.16174315
       65880          732.000         88.56          760.09          2.88           0.611       0.117       0.049       2.236          0.0793       85.6836             0.000           100.000          0.20         0.29       0.042          0.277        -0.00223570           -0.33264160
       66960          744.000         88.52          738.88          2.84           0.602       0.116       0.050       2.224          0.0786       85.6815             0.000           100.000          0.19         0.27       0.043          0.277        -0.00224516            0.08850097
       68040          756.000         88.54          752.12          2.85           0.610       0.117       0.049       2.256          0.0794       85.6823             0.000           100.000          0.19         0.25       0.046          0.277        -0.00244421            0.00000000
       69120          768.000         88.60          785.94          2.92           0.623       0.118       0.049       2.271          0.0805       85.6858             0.000           100.000          0.20         0.21       0.052          0.277        -0.00282298            0.49743649
       70200          780.000         88.60          779.69          2.91           0.618       0.117       0.049       2.241          0.0800       85.6857             0.000           100.000          0.19         0.19       0.058          0.277        -0.00305188            0.16784666
       71280          792.000         88.55          751.03          2.86           0.607       0.116       0.049       2.226          0.0790       85.6828             0.000           100.000          0.19         0.18       0.059          0.277        -0.00293667           -0.41809079
       72360          804.000         88.54          751.03          2.85           0.609       0.117       0.049       2.247          0.0792       85.6824             0.000           100.000          0.19         0.18       0.059          0.277        -0.00294174            0.16479491
       73440          816.000         88.57          767.91          2.89           0.615       0.117       0.049       2.256          0.0798       85.6841             0.000           100.000          0.19         0.19       0.057          0.277        -0.00300444            0.57983392
       74520          828.000         88.62          792.88          2.93           0.625       0.118       0.049       2.270          0.0807       85.6866             0.000           100.000          0.19         0.19       0.058          0.277        -0.00322375            0.66223139
       75600          840.000         88.67          821.28          2.98           0.635       0.119       0.049       2.284          0.0817       85.6896             0.000           100.000          0.20         0.18       0.064          0.277        -0.00364725           -0.32958981
       76680          852.000         88.70          829.59          3.01           0.637       0.119       0.049       2.271          0.0817       85.6909             0.000           100.000          0.20         0.18       0.062          0.277        -0.00364866           -0.41503903
       77760          864.000         88.69          826.38          3.00           0.635       0.119       0.049       2.265          0.0816       85.6907             0.000           100.000          0.20         0.19       0.054          0.277        -0.00342863           -0.08544921
       78840          876.000         88.69          826.75          3.00           0.636       0.119       0.049       2.269          0.0816       85.6906             0.000           100.000          0.20         0.21       0.049          0.277        -0.00319386           -0.08239745
       79920          888.000         88.70          831.22          3.01           0.637       0.119       0.049       2.272          0.0818       85.6911             0.000           100.000          0.20         0.21       0.047          0.277        -0.00310089            0.08544921
       81000          900.000         88.70          832.59          3.01           0.637       0.119       0.049       2.270          0.0818       85.6913             0.000           100.000          0.20         0.22       0.046          0.277        -0.00311461            0.08239745
       82080          912.000         88.70          832.88          3.01           0.638       0.119       0.049       2.270          0.0818       85.6913             0.000           100.000          0.20         0.22       0.046          0.277        -0.00314675            0.33569333
       83160          924.000         88.69          825.91          3.00           0.635       0.119       0.049       2.262          0.0815       85.6907             0.000           100.000          0.20         0.21       0.047          0.277        -0.00318737           -1.07116699
       84240          936.000         88.67          814.03          2.98           0.631       0.118       0.049       2.257          0.0811       85.6894             0.000           100.000          0.20         0.20       0.049          0.277        -0.00325836           -0.08239745
       85320          948.000         88.68          820.44          2.99           0.634       0.119       0.049       2.273          0.0815       85.6898             0.000           100.000          0.20         0.20       0.048          0.277        -0.00324260            0.24414061
       86400          960.000         88.71          837.28          3.02           0.640       0.119       0.049       2.281          0.0821       85.6916             0.000           100.000          0.20         0.22       0.043          0.277        -0.00310136            0.33569333
       87480          972.000         88.69          824.56          3.00           0.634       0.118       0.049       2.254          0.0814       85.6907             0.000           100.000          0.20         0.21       0.044          0.277        -0.00313944           -1.07727051
       88560          984.000         88.63          794.41          2.94           0.623       0.118       0.049       2.240          0.0803       85.6874             0.000           100.000          0.19         0.18       0.056          0.277        -0.00348228           -1.07421863
       89640          996.000         88.63          798.09          2.94           0.627       0.118       0.049       2.267          0.0808       85.6872             0.000           100.000          0.19         0.17       0.067          0.277        -0.00358918           -0.08239745
       90720         1008.000         88.67          820.28          2.98           0.635       0.119       0.049       2.279          0.0816       85.6896             0.000           100.000          0.19         0.18       0.056          0.277        -0.00359495            0.66528320
       91800         1020.000         88.73          846.41          3.03           0.643       0.120       0.049       2.290          0.0824       85.6925             0.000           100.000          0.20         0.21       0.046          0.277        -0.00347033            0.32958981
       92880         1032.000         88.78          874.09          3.09           0.652       0.120       0.049       2.299          0.0833       85.6956             0.000           100.000          0.21         0.24       0.040          0.277        -0.00307142            0.08544921
       93960         1044.000         88.83          899.81          3.13           0.660       0.121       0.049       2.305          0.0841       85.6986             0.000           100.000          0.21         0.25       0.039          0.277        -0.00320796            0.74462885
       95040         1056.000         88.88          925.19          3.18           0.669       0.121       0.049       2.314          0.0849       85.7014             0.000           100.000          0.21         0.22       0.043          0.277        -0.00369846            0.66223139
       96120         1068.000         88.92          946.31          3.22           0.675       0.122       0.049       2.318          0.0855       85.7038             0.000           100.000          0.21         0.20       0.047          0.277        -0.00409073            0.08544921
       97200         1080.000         88.96          965.22          3.25           0.681       0.122       0.049       2.325          0.0860       85.7059             0.000           100.000          0.21         0.20       0.047          0.277        -0.00421243            0.49743649
       98280         1092.000         88.98          976.25          3.27           0.684       0.122       0.049       2.325          0.0863       85.7073             0.000           100.000          0.22         0.22       0.042          0.277        -0.00397976            0.32958981
       99360         1104.000         89.00          984.16          3.29           0.686       0.122       0.049       2.328          0.0865       85.7081             0.000           100.000          0.22         0.27       0.037          0.277        -0.00345756            0.33569333
      100440         1116.000         89.01          990.75          3.30           0.689       0.123       0.049       2.331          0.0868       85.7088             0.000           100.000          0.22         0.28       0.035          0.277        -0.00346344           -0.33569333
      101520         1128.000         89.02          996.41          3.31           0.690       0.123       0.049       2.333          0.0869       85.7095             0.000           100.000          0.22         0.25       0.038          0.277        -0.00369919            0.33569333
      102600         1140.000         89.03         1001.97          3.32           0.692       0.123       0.049       2.334          0.0871       85.7101             0.000           100.000          0.22         0.24       0.039          0.277        -0.00389352            0.33569333
      103680         1152.000         89.04         1007.12          3.33           0.694       0.123       0.049       2.337          0.0872       85.7107             0.000           100.000          0.22         0.24       0.039          0.277        -0.00390887           -0.00915527
      104760         1164.000         89.04         1009.38          3.33           0.694       0.123       0.049       2.335          0.0873       85.7110             0.000           100.000          0.22         0.23       0.041          0.277        -0.00407185            0.50353998
      105840         1176.000         89.04         1009.66          3.33           0.694       0.123       0.049       2.336          0.0873       85.7110             0.000           100.000          0.22         0.20       0.045          0.277        -0.00448358            0.16479491
      106920         1188.000         89.04         1007.00          3.33           0.693       0.123       0.049       2.331          0.0872       85.7108             0.000           100.000          0.21         0.19       0.049          0.277        -0.00466266           -0.08544921
      108000         1200.000         89.03         1002.66          3.32           0.692       0.123       0.049       2.330          0.0870       85.7103             0.000           100.000          0.21         0.18       0.052          0.277        -0.00473778            0.00000000
      109080         1212.000         89.02          995.69          3.31           0.689       0.122       0.049       2.325          0.0868       85.7096             0.000           100.000          0.21         0.17       0.055          0.277        -0.00475206            0.16174315
      110160         1224.000         89.01          988.50          3.30           0.687       0.122       0.049       2.322          0.0866       85.7088             0.000           100.000          0.21         0.17       0.059          0.277        -0.00475437           -0.33569333
      111240         1236.000         89.02          996.97          3.31           0.691       0.123       0.049       2.336          0.0870       85.7095             0.000           100.000          0.21         0.17       0.056          0.277        -0.00475043           -0.16479491
      112320         1248.000         89.05         1014.03          3.34           0.696       0.123       0.049       2.345          0.0875       85.7113             0.000           100.000          0.21         0.19       0.048          0.277        -0.00468744            0.42114255
      113400         1260.000         89.05         1009.06          3.33           0.693       0.123       0.049       2.329          0.0872       85.7111             0.000           100.000          0.21         0.20       0.044          0.277        -0.00447199           -0.24719237
      114480         1272.000         89.02          993.59          3.31           0.688       0.122       0.049       2.321          0.0867       85.7094             0.000           100.000          0.21         0.21       0.041          0.277        -0.00423948           -0.50048828
      115560         1284.000         89.07         1031.22          3.36           0.703       0.124       0.049       2.369          0.0882       85.7127             0.000           100.000          0.22         0.22       0.040          0.277        -0.00442758            1.00402820
      116640         1296.000         89.19         1099.03          3.47           0.724       0.126       0.049       2.401          0.0903       85.7199             0.000           100.000          0.23         0.22       0.041          0.277        -0.00471337            1.00097656
      117720         1308.000         89.22         1112.59          3.50           0.726       0.125       0.049       2.383          0.0903       85.7220             0.000           100.000          0.23         0.21       0.043          0.277        -0.00490691           -0.34179685
      118800         1320.000         89.21         1104.16          3.49           0.723       0.125       0.049       2.374          0.0900       85.7213             0.000           100.000          0.22         0.19       0.048          0.277        -0.00513193           -0.25329587
      119880         1332.000         89.19         1090.03          3.47           0.718       0.125       0.049       2.365          0.0896       85.7199             0.000           100.000          0.22         0.19       0.047          0.277        -0.00496958            0.24719237
      120960         1344.000         89.16         1073.94          3.44           0.714       0.124       0.049       2.360          0.0891       85.7181             0.000           100.000          0.22         0.22       0.040          0.277        -0.00462864           -0.08544921
      122040         1356.000         89.18         1088.28          3.46           0.719       0.125       0.049       2.377          0.0897       85.7193             0.000           100.000          0.23         0.24       0.038          0.277        -0.00442100            0.57983392
      123120         1368.000         89.22         1110.84          3.49           0.726       0.125       0.049       2.390          0.0904       85.7216             0.000           100.000          0.23         0.25       0.037          0.277        -0.00446380            0.25024414
      124200         1380.000         89.19         1086.62          3.47           0.716       0.124       0.049       2.354          0.0894       85.7198             0.000           100.000          0.23         0.24       0.037          0.277        -0.00438713           -1.16882324
      125280         1392.000         89.10         1037.34          3.39           0.701       0.123       0.049       2.326          0.0878       85.7146             0.000           100.000          0.22         0.22       0.039          0.277        -0.00444318           -0.83618158
      126360         1404.000         89.02          988.44          3.31           0.685       0.122       0.049       2.302          0.0863       85.7093             0.000           100.000          0.21         0.21       0.041          0.277        -0.00427450           -0.66528320
      127440         1416.000         88.93          939.47          3.22           0.670       0.121       0.049       2.280          0.0848       85.7040             0.000           100.000          0.20         0.20       0.042          0.277        -0.00402664           -0.91247553
      128520         1428.000         88.86          908.34          3.16           0.661       0.120       0.049       2.279          0.0840       85.7002             0.000           100.000          0.20         0.22       0.039          0.277        -0.00366892           -0.82397455
      129600         1440.000         88.82          885.81          3.12           0.654       0.120       0.049       2.273          0.0833       85.6976             0.000           100.000          0.20         0.26       0.034          0.277        -0.00302235           -0.65917963
      130680         1452.000         88.79          876.50          3.10           0.651       0.120       0.049       2.279          0.0831       85.6964             0.000           100.000          0.21         0.28       0.032          0.277        -0.00288816            0.00000000
      131760         1464.000         88.79          873.44          3.09           0.651       0.120       0.049       2.280          0.0831       85.6960             0.000           100.000          0.20         0.27       0.033          0.277        -0.00291878            0.00610352
      132840         1476.000         88.76          859.22          3.07           0.645       0.119       0.049       2.269          0.0825       85.6945             0.000           100.000          0.20         0.29       0.031          0.277        -0.00272803           -0.91552728
      133920         1488.000         88.72          840.62          3.03           0.639       0.119       0.049       2.261          0.0819       85.6925             0.000           100.000          0.20         0.33       0.029          0.277        -0.00247135           -0.74462885
      135000         1500.000         88.71          833.75          3.02           0.638       0.119       0.049       2.268          0.0818       85.6915             0.000           100.000          0.21         0.38       0.028          0.277        -0.00229728           -0.16174315
      136080         1512.000         88.70          833.09          3.01           0.638       0.119       0.049       2.269          0.0818       85.6914             0.000           100.000          0.21         0.44       0.027          0.277        -0.00205239           -0.41198727
      137160         1524.000         88.65          801.66          2.96           0.625       0.118       0.049       2.234          0.0805       85.6884             0.000           100.000          0.20         0.42       0.026          0.277        -0.00202010           -1.07421863
      138240         1536.000         88.55          752.34          2.87           0.606       0.116       0.049       2.214          0.0789       85.6832             0.000           100.000          0.19         0.33       0.028          0.277        -0.00209519           -0.65917963
      139320         1548.000         88.46          709.06          2.78           0.590       0.115       0.050       2.203          0.0775       85.6781             0.000           100.000          0.18         0.29       0.030          0.277        -0.00196026           -1.47705066
      140400         1560.000         88.38          669.55          2.70           0.575       0.113       0.050       2.193          0.0762       85.6730             0.000           100.000          0.18         0.32       0.029          0.277        -0.00161436           -0.90637201
      141480         1572.000         88.31          645.02          2.64           0.567       0.113       0.050       2.202          0.0755       85.6694             0.000           100.000          0.18         0.32       0.028          0.277        -0.00150479           -0.57678223
      142560         1584.000         88.28          630.39          2.61           0.562       0.113       0.050       2.205          0.0751       85.6674             0.000           100.000          0.17         0.29       0.030          0.277        -0.00156026           -0.33264160
      143640         1596.000         88.32          653.48          2.65           0.573       0.114       0.050       2.245          0.0763       85.6697             0.000           100.000          0.18         0.29       0.030          0.277        -0.00170573            1.15051258
      144720         1608.000         88.42          700.61          2.75           0.591       0.116       0.050       2.256          0.0779       85.6758             0.000           100.000          0.18         0.31       0.029          0.277        -0.00184947            1.48010242
      145800         1620.000         88.42          691.95          2.75           0.584       0.114       0.050       2.205          0.0770       85.6758             0.000           100.000          0.18         0.32       0.028          0.277        -0.00174145           -0.99182117
      146880         1632.000         88.33          648.03          2.66           0.566       0.113       0.050       2.183          0.0754       85.6702             0.000           100.000          0.18         0.32       0.028          0.277        -0.00151849           -0.82397455
      147960         1644.000         88.29          636.20          2.62           0.565       0.113       0.050       2.216          0.0754       85.6679             0.000           100.000          0.17         0.32       0.028          0.277        -0.00148020           -0.32348630
      149040         1656.000         88.31          644.94          2.64           0.568       0.114       0.050       2.224          0.0758       85.6690             0.000           100.000          0.18         0.32       0.028          0.277        -0.00154055           -0.32958981
      150120         1668.000         88.27          623.41          2.60           0.558       0.112       0.050       2.190          0.0747       85.6667             0.000           100.000          0.17         0.29       0.029          0.277        -0.00151995           -1.14746094
      151200         1680.000         88.17          582.11          2.51           0.542       0.111       0.050       2.182          0.0732       85.6611             0.000           100.000          0.16         0.25       0.031          0.277        -0.00151931           -0.81481928
      152280         1692.000         88.07          549.00          2.42           0.531       0.111       0.050       2.204          0.0722       85.6559             0.000           100.000          0.16         0.22       0.035          0.277        -0.00147734           -0.48828122
      153360         1704.000         87.99          521.98          2.34           0.522       0.111       0.050       2.220          0.0714       85.6511             0.000           100.000          0.16         0.21       0.036          0.277        -0.00138759           -0.49133295
      154440         1716.000         87.94          505.61          2.29           0.517       0.111       0.050       2.246          0.0710       85.6480             0.000           100.000          0.15         0.21       0.037          0.277        -0.00130906            0.08087157
      155520         1728.000         87.91          496.64          2.27           0.514       0.111       0.050       2.265          0.0709       85.6464             0.000           100.000          0.15         0.22       0.036          0.277        -0.00122378           -0.32653809
      156600         1740.000         87.93          503.69          2.28           0.518       0.112       0.050       2.276          0.0713       85.6471             0.000           100.000          0.16         0.21       0.037          0.277        -0.00130002            0.65155023
      157680         1752.000         87.97          518.27          2.32           0.524       0.112       0.050       2.271          0.0718       85.6495             0.000           100.000          0.15         0.20       0.041          0.277        -0.00144399            0.24261473
      158760         1764.000         87.98          518.22          2.33           0.522       0.111       0.050       2.244          0.0715       85.6500             0.000           100.000          0.15         0.19       0.044          0.277        -0.00152137           -0.08392333
      159840         1776.000         87.94          506.98          2.30           0.518       0.111       0.050       2.249          0.0711       85.6481             0.000           100.000          0.15         0.19       0.044          0.277        -0.00144940           -0.89416498
      160920         1788.000         87.95          510.11          2.30           0.521       0.112       0.050       2.270          0.0715       85.6482             0.000           100.000          0.15         0.18       0.046          0.277        -0.00148936            0.32196042
      162000         1800.000         87.99          524.45          2.34           0.526       0.112       0.050       2.265          0.0720       85.6506             0.000           100.000          0.15         0.18       0.050          0.277        -0.00163143            0.40740964
