 Calculated Flow and Sedi at section of Ics=           5
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         89.11          801.17          2.18           0.417       0.097       0.046       1.333          0.0533       86.9265             0.000           100.000          0.14         0.30       0.050          0.280         0.00180816           -0.33264160
        1080           12.000         89.13          812.59          2.20           0.419       0.097       0.047       1.334          0.0536       86.9269             0.000           100.000          0.14         0.28       0.051          0.280         0.00154925            0.50048828
        2160           24.000         89.16          828.11          2.23           0.421       0.096       0.047       1.329          0.0538       86.9277             0.000           100.000          0.13         0.25       0.053          0.280         0.00110260            1.01318347
        3240           36.000         89.20          848.75          2.27           0.424       0.096       0.047       1.325          0.0542       86.9284             0.000           100.000          0.13         0.25       0.054          0.280         0.00109473            1.68457019
        4320           48.000         89.24          872.25          2.31           0.427       0.096       0.047       1.318          0.0546       86.9287             0.000           100.000          0.14         0.26       0.052          0.280         0.00133035            1.68762195
        5400           60.000         89.25          874.25          2.32           0.426       0.095       0.047       1.306          0.0545       86.9288             0.000           100.000          0.14         0.28       0.051          0.280         0.00159055           -0.00610352
        6480           72.000         89.24          866.38          2.31           0.425       0.095       0.047       1.306          0.0543       86.9287             0.000           100.000          0.14         0.31       0.050          0.280         0.00191035           -0.67443842
        7560           84.000         89.23          862.56          2.30           0.425       0.095       0.047       1.309          0.0543       86.9287             0.000           100.000          0.14         0.32       0.049          0.280         0.00206673           -0.34484860
        8640           96.000         89.22          861.00          2.30           0.425       0.096       0.047       1.310          0.0542       86.9287             0.000           100.000          0.14         0.34       0.049          0.280         0.00223599            0.50964350
        9720          108.000         89.22          856.50          2.29           0.424       0.096       0.047       1.310          0.0542       86.9286             0.000           100.000          0.14         0.34       0.049          0.280         0.00219600           -0.67138666
       10800          120.000         89.21          850.66          2.28           0.423       0.096       0.047       1.311          0.0541       86.9286             0.000           100.000          0.14         0.32       0.049          0.280         0.00200261            0.32653809
       11880          132.000         89.20          847.47          2.27           0.423       0.096       0.047       1.315          0.0540       86.9284             0.000           100.000          0.14         0.30       0.050          0.280         0.00184186           -0.50048828
       12960          144.000         89.19          844.38          2.26           0.422       0.096       0.047       1.315          0.0540       86.9283             0.000           100.000          0.14         0.29       0.050          0.280         0.00162859            0.17700194
       14040          156.000         89.18          834.84          2.25           0.421       0.096       0.047       1.315          0.0538       86.9281             0.000           100.000          0.14         0.28       0.051          0.280         0.00150826           -1.16882324
       15120          168.000         89.15          823.06          2.23           0.419       0.096       0.047       1.320          0.0536       86.9276             0.000           100.000          0.13         0.27       0.052          0.280         0.00139895           -0.67443842
       16200          180.000         89.12          806.67          2.20           0.417       0.096       0.047       1.322          0.0533       86.9268             0.000           100.000          0.13         0.28       0.051          0.280         0.00155484           -1.68151855
       17280          192.000         89.09          788.05          2.16           0.414       0.096       0.046       1.328          0.0530       86.9260             0.000           100.000          0.14         0.30       0.050          0.280         0.00182560           -0.17089842
       18360          204.000         89.10          802.34          2.18           0.418       0.097       0.046       1.342          0.0535       86.9264             0.000           100.000          0.14         0.32       0.049          0.280         0.00205700            1.68151855
       19440          216.000         89.16          830.36          2.23           0.422       0.097       0.047       1.335          0.0540       86.9277             0.000           100.000          0.14         0.35       0.049          0.280         0.00240113            0.84228510
       20520          228.000         89.20          850.22          2.27           0.424       0.096       0.047       1.323          0.0542       86.9284             0.000           100.000          0.14         0.37       0.048          0.280         0.00266248            1.18103015
       21600          240.000         89.23          865.59          2.30           0.426       0.096       0.047       1.316          0.0544       86.9287             0.000           100.000          0.14         0.38       0.048          0.280         0.00285146           -0.00610352
