 Calculated Flow and Sedi at section of Ics=          21
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         83.41          801.14          2.10           0.785       0.211       0.026       1.585          0.0570       81.3058             0.000           100.000          0.46         0.45       0.087          0.235        -0.00342133            0.27770993
        1080           12.000         83.41          803.00          2.10           0.786       0.211       0.026       1.589          0.0571       81.3061             0.000           100.000          0.46         0.45       0.087          0.235        -0.00343100            0.00305176
        2160           24.000         83.43          814.97          2.12           0.790       0.211       0.026       1.605          0.0577       81.3087             0.000           100.000          0.45         0.44       0.090          0.235        -0.00362340            0.46081540
        3240           36.000         83.46          830.33          2.14           0.795       0.212       0.027       1.625          0.0583       81.3121             0.000           100.000          0.45         0.42       0.095          0.235        -0.00385877            0.37231442
        4320           48.000         83.49          851.52          2.18           0.802       0.213       0.027       1.652          0.0592       81.3163             0.000           100.000          0.45         0.41       0.096          0.235        -0.00409984            0.36926267
        5400           60.000         83.53          871.27          2.20           0.808       0.214       0.027       1.675          0.0600       81.3242             0.000           100.000          0.45         0.42       0.093          0.235        -0.00436364           -0.55847168
        6480           72.000         83.53          872.42          2.21           0.807       0.213       0.027       1.673          0.0600       81.3251             0.000           100.000          0.46         0.43       0.090          0.235        -0.00432699            0.00000000
        7560           84.000         83.52          866.70          2.20           0.805       0.213       0.027       1.666          0.0598       81.3231             0.000           100.000          0.46         0.44       0.086          0.235        -0.00426056            0.46691892
        8640           96.000         83.52          863.34          2.19           0.804       0.213       0.027       1.663          0.0597       81.3218             0.000           100.000          0.47         0.46       0.083          0.235        -0.00414662            0.74768060
        9720          108.000         83.51          861.33          2.19           0.804       0.213       0.027       1.660          0.0596       81.3210             0.000           100.000          0.47         0.46       0.082          0.235        -0.00406105            0.00305176
       10800          120.000         83.50          856.52          2.18           0.802       0.213       0.027       1.654          0.0594       81.3194             0.000           100.000          0.47         0.46       0.082          0.235        -0.00401234           -0.74768060
       11880          132.000         83.50          851.41          2.18           0.801       0.212       0.027       1.648          0.0592       81.3164             0.000           100.000          0.47         0.46       0.084          0.235        -0.00398931           -0.27770993
       12960          144.000         83.49          847.92          2.17           0.800       0.212       0.027       1.644          0.0591       81.3163             0.000           100.000          0.46         0.45       0.086          0.235        -0.00394383           -0.29907224
       14040          156.000         83.48          843.47          2.17           0.798       0.212       0.027       1.638          0.0588       81.3162             0.000           100.000          0.46         0.44       0.089          0.235        -0.00394040            0.46386716
       15120          168.000         83.46          833.12          2.15           0.795       0.212       0.027       1.624          0.0584       81.3131             0.000           100.000          0.45         0.43       0.090          0.235        -0.00388057            0.07629394
       16200          180.000         83.44          820.77          2.13           0.791       0.211       0.027       1.608          0.0579       81.3104             0.000           100.000          0.45         0.43       0.092          0.235        -0.00378024            0.00000000
       17280          192.000         83.42          805.16          2.11           0.785       0.210       0.026       1.588          0.0572       81.3069             0.000           100.000          0.45         0.43       0.091          0.235        -0.00361451           -0.46386716
       18360          204.000         83.39          791.14          2.09           0.780       0.210       0.026       1.575          0.0567       81.3042             0.000           100.000          0.45         0.45       0.088          0.235        -0.00335896           -0.18615721
       19440          216.000         83.42          807.20          2.11           0.788       0.211       0.026       1.596          0.0573       81.3069             0.000           100.000          0.46         0.46       0.084          0.235        -0.00340788            0.18615721
       20520          228.000         83.46          831.88          2.15           0.796       0.212       0.027       1.628          0.0584       81.3123             0.000           100.000          0.47         0.48       0.081          0.235        -0.00361395            0.37536618
       21600          240.000         83.49          851.20          2.18           0.801       0.213       0.027       1.651          0.0592       81.3163             0.000           100.000          0.48         0.49       0.078          0.235        -0.00374573            0.46081540
       22680          252.000         83.51          863.80          2.19           0.805       0.213       0.027       1.665          0.0597       81.3217             0.000           100.000          0.48         0.49       0.076          0.235        -0.00386730           -0.36926267
       23760          264.000         83.51          861.62          2.19           0.804       0.213       0.027       1.660          0.0596       81.3212             0.000           100.000          0.48         0.49       0.077          0.235        -0.00391598           -0.74462885
       24840          276.000         83.50          851.20          2.18           0.800       0.212       0.027       1.647          0.0592       81.3164             0.000           100.000          0.47         0.47       0.080          0.235        -0.00388074           -0.55236810
       25920          288.000         83.47          837.06          2.16           0.796       0.212       0.027       1.629          0.0586       81.3140             0.000           100.000          0.46         0.45       0.084          0.235        -0.00384386           -0.83312988
       27000          300.000         83.45          821.84          2.13           0.791       0.211       0.027       1.610          0.0579       81.3106             0.000           100.000          0.45         0.44       0.089          0.235        -0.00372158           -0.37231442
