 Calculated Flow and Sedi at section of Ics=          15
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         85.31          801.20          1.61           0.624       0.184       0.030       1.826          0.0538       83.6900             0.000           100.000          0.34         0.39       0.076          0.254        -0.00195875            0.45166013
        1080           12.000         85.31          805.69          1.60           0.624       0.185       0.030       1.831          0.0536       83.7099             0.000           100.000          0.34         0.38       0.077          0.254        -0.00212416            1.36108398
        2160           24.000         85.34          819.28          1.58           0.624       0.187       0.029       1.831          0.0533       83.7568             0.000           100.000          0.34         0.37       0.081          0.254        -0.00260305            1.35192871
        3240           36.000         85.37          836.42          1.56           0.624       0.189       0.029       1.830          0.0529       83.8151             0.000           100.000          0.33         0.35       0.088          0.254        -0.00305193            0.82092279
        4320           48.000         85.42          858.97          1.56           0.623       0.189       0.029       1.826          0.0528       83.8572             0.000           100.000          0.33         0.35       0.086          0.254        -0.00298168            1.31530762
        5400           60.000         85.45          873.73          1.56           0.619       0.189       0.029       1.809          0.0527       83.8877             0.000           100.000          0.34         0.36       0.082          0.254        -0.00282775            0.34484860
        6480           72.000         85.45          870.84          1.56           0.618       0.188       0.029       1.801          0.0525       83.8860             0.000           100.000          0.34         0.38       0.077          0.254        -0.00257026           -0.84838867
        7560           84.000         85.44          865.09          1.57           0.618       0.188       0.029       1.802          0.0526       83.8717             0.000           100.000          0.34         0.39       0.074          0.254        -0.00230464            0.34790039
        8640           96.000         85.43          862.50          1.56           0.619       0.188       0.029       1.805          0.0526       83.8684             0.000           100.000          0.35         0.40       0.072          0.254        -0.00216460            1.78527820
        9720          108.000         85.43          859.84          1.56           0.619       0.188       0.029       1.805          0.0526       83.8633             0.000           100.000          0.35         0.41       0.070          0.254        -0.00203982           -1.68457019
       10800          120.000         85.42          854.47          1.56           0.619       0.188       0.029       1.805          0.0525       83.8579             0.000           100.000          0.35         0.40       0.071          0.254        -0.00218047           -0.73852533
