 Calculated Flow and Sedi at section of Ics=          28
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         79.73          801.14          2.19           0.698       0.168       0.030       1.574          0.0581       77.5342             0.000           100.000          0.36         0.53       0.096          0.213         0.00245921            0.00000000
        1080           12.000         79.73          801.55          2.19           0.698       0.168       0.030       1.575          0.0581       77.5342             0.000           100.000          0.36         0.53       0.096          0.213         0.00245847            0.09765624
        2160           24.000         79.74          810.05          2.21           0.702       0.168       0.030       1.585          0.0585       77.5345             0.000           100.000          0.36         0.53       0.097          0.213         0.00240992           -0.09460449
        3240           36.000         79.76          824.69          2.23           0.708       0.169       0.030       1.600          0.0590       77.5349             0.000           100.000          0.36         0.51       0.100          0.213         0.00229134           -0.39978024
        4320           48.000         79.79          843.64          2.25           0.716       0.170       0.030       1.620          0.0597       77.5355             0.000           100.000          0.36         0.49       0.104          0.213         0.00216746            0.39978024
        5400           60.000         79.82          865.67          2.28           0.724       0.171       0.031       1.640          0.0605       77.5362             0.000           100.000          0.37         0.50       0.103          0.213         0.00203241            0.39978024
        6480           72.000         79.83          872.98          2.29           0.727       0.171       0.031       1.643          0.0607       77.5364             0.000           100.000          0.37         0.50       0.100          0.213         0.00199860           -0.89721674
        7560           84.000         79.83          869.11          2.29           0.725       0.171       0.031       1.637          0.0606       77.5363             0.000           100.000          0.37         0.52       0.097          0.213         0.00202773            0.19531249
        8640           96.000         79.82          865.00          2.28           0.723       0.171       0.031       1.633          0.0604       77.5362             0.000           100.000          0.38         0.53       0.095          0.213         0.00207385           -0.50353998
        9720          108.000         79.82          862.52          2.28           0.722       0.170       0.031       1.631          0.0603       77.5361             0.000           100.000          0.38         0.54       0.093          0.213         0.00210408            0.00305176
       10800          120.000         79.81          859.12          2.28           0.721       0.170       0.031       1.627          0.0602       77.5360             0.000           100.000          0.38         0.54       0.092          0.213         0.00212796            0.19836424
       11880          132.000         79.81          853.59          2.27           0.718       0.170       0.031       1.621          0.0600       77.5359             0.000           100.000          0.38         0.54       0.093          0.213         0.00215864           -0.09460449
       12960          144.000         79.80          849.64          2.26           0.717       0.170       0.031       1.619          0.0599       77.5357             0.000           100.000          0.37         0.53       0.095          0.213         0.00217024           -0.29907224
       14040          156.000         79.80          846.27          2.26           0.715       0.170       0.031       1.615          0.0597       77.5356             0.000           100.000          0.37         0.52       0.097          0.213         0.00217871            0.09765624
       15120          168.000         79.78          837.44          2.25           0.712       0.169       0.030       1.605          0.0594       77.5354             0.000           100.000          0.36         0.51       0.098          0.213         0.00221520           -0.20141600
       16200          180.000         79.77          825.70          2.23           0.707       0.169       0.030       1.594          0.0590       77.5350             0.000           100.000          0.36         0.51       0.100          0.213         0.00227119            0.00305176
       17280          192.000         79.75          811.16          2.21           0.701       0.168       0.030       1.579          0.0584       77.5346             0.000           100.000          0.36         0.51       0.100          0.213         0.00235254           -0.10070800
       18360          204.000         79.72          792.19          2.19           0.692       0.166       0.030       1.567          0.0579       77.5341             0.000           100.000          0.35         0.52       0.098          0.213         0.00246572            0.19836424
       19440          216.000         79.73          801.20          2.19           0.698       0.168       0.030       1.575          0.0581       77.5342             0.000           100.000          0.36         0.53       0.095          0.213         0.00246321            0.39978024
       20520          228.000         79.76          822.67          2.22           0.707       0.169       0.030       1.600          0.0590       77.5348             0.000           100.000          0.37         0.55       0.093          0.213         0.00237340            0.79650873
       21600          240.000         79.79          844.95          2.25           0.716       0.170       0.031       1.621          0.0598       77.5355             0.000           100.000          0.38         0.56       0.090          0.213         0.00226435           -0.10070800
       22680          252.000         79.81          860.59          2.28           0.722       0.171       0.031       1.633          0.0603       77.5360             0.000           100.000          0.39         0.56       0.088          0.213         0.00217962           -0.10375976
       23760          264.000         79.82          863.80          2.28           0.723       0.171       0.031       1.633          0.0604       77.5362             0.000           100.000          0.39         0.56       0.087          0.213         0.00215474            0.10070800
       24840          276.000         79.81          855.67          2.27           0.719       0.170       0.031       1.623          0.0601       77.5359             0.000           100.000          0.39         0.55       0.089          0.213         0.00217290           -0.10070800
       25920          288.000         79.79          842.33          2.26           0.713       0.169       0.031       1.609          0.0596       77.5355             0.000           100.000          0.38         0.54       0.092          0.213         0.00222971            0.30517575
       27000          300.000         79.77          827.38          2.23           0.708       0.169       0.030       1.596          0.0591       77.5351             0.000           100.000          0.37         0.53       0.096          0.213         0.00228857           -0.19531249
       28080          312.000         79.75          813.12          2.21           0.702       0.168       0.030       1.582          0.0585       77.5346             0.000           100.000          0.36         0.51       0.100          0.213         0.00234592           -0.80261230
