 Calculated Flow and Sedi at section of Ics=          44
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         73.72          800.78          1.75           0.990       0.251       0.027       3.401          0.0764       71.9676             0.000           100.000          0.80         0.62       0.098          0.182        -0.01321846            0.91705316
        1080           12.000         73.72          801.17          1.75           0.989       0.251       0.027       3.397          0.0763       71.9684             0.000           100.000          0.80         0.62       0.098          0.182        -0.01319655            0.61492920
        2160           24.000         73.73          803.12          1.76           0.990       0.252       0.027       3.396          0.0763       71.9699             0.000           100.000          0.80         0.62       0.098          0.182        -0.01325816            0.97198480
        3240           36.000         73.74          814.80          1.76           0.994       0.252       0.027       3.375          0.0762       71.9857             0.000           100.000          0.80         0.62       0.098          0.182        -0.01353567           -0.00305176
        4320           48.000         73.77          830.50          1.76           0.998       0.254       0.027       3.335          0.0757       72.0137             0.000           100.000          0.80         0.61       0.100          0.182        -0.01393532            2.83508277
        5400           60.000         73.81          850.56          1.75           1.002       0.255       0.026       3.285          0.0751       72.0516             0.000           100.000          0.80         0.60       0.102          0.182        -0.01449818            0.37078857
        6480           72.000         73.84          868.67          1.70           1.005       0.261       0.025       3.237          0.0734       72.1373             0.000           100.000          0.83         0.61       0.102          0.182        -0.01605668           -0.38299558
        7560           84.000         73.84          871.97          1.68           1.005       0.262       0.025       3.224          0.0729       72.1590             0.000           100.000          0.84         0.63       0.101          0.182        -0.01645536            0.19989012
        8640           96.000         73.84          868.45          1.70           1.004       0.260       0.025       3.227          0.0732       72.1412             0.000           100.000          0.84         0.63       0.099          0.182        -0.01604490            0.00152588
        9720          108.000         73.83          864.70          1.70           1.003       0.260       0.026       3.234          0.0734       72.1289             0.000           100.000          0.84         0.64       0.097          0.182        -0.01581681           -0.18768309
       10800          120.000         73.83          862.28          1.75           1.003       0.256       0.026       3.243          0.0745       72.0777             0.000           100.000          0.83         0.65       0.096          0.182        -0.01484389           -0.55999750
       11880          132.000         73.82          857.98          1.75           1.002       0.256       0.026       3.250          0.0746       72.0715             0.000           100.000          0.83         0.65       0.095          0.182        -0.01471438            0.18615721
       12960          144.000         73.81          853.27          1.75           1.001       0.255       0.026       3.262          0.0747       72.0637             0.000           100.000          0.83         0.64       0.096          0.182        -0.01459687            0.46234128
       14040          156.000         73.81          849.44          1.75           1.000       0.255       0.026       3.272          0.0749       72.0533             0.000           100.000          0.82         0.64       0.097          0.182        -0.01443463            0.36773679
       15120          168.000         73.80          844.30          1.76           0.998       0.254       0.026       3.280          0.0750       72.0432             0.000           100.000          0.81         0.63       0.098          0.182        -0.01424047           -0.37078857
       16200          180.000         73.78          834.08          1.76           0.996       0.253       0.027       3.304          0.0755       72.0188             0.000           100.000          0.80         0.62       0.099          0.182        -0.01385414           -0.52795410
       17280          192.000         73.76          821.27          1.76           0.993       0.252       0.027       3.339          0.0758       71.9994             0.000           100.000          0.80         0.61       0.100          0.182        -0.01360795            0.00152588
       18360          204.000         73.73          804.83          1.76           0.989       0.251       0.027       3.374          0.0762       71.9737             0.000           100.000          0.79         0.61       0.100          0.182        -0.01320880           -0.34637448
       19440          216.000         73.72          799.56          1.75           0.988       0.251       0.027       3.397          0.0763       71.9675             0.000           100.000          0.79         0.61       0.099          0.182        -0.01332941            1.21002185
       20520          228.000         73.73          808.12          1.76           0.994       0.252       0.027       3.403          0.0765       71.9729             0.000           100.000          0.81         0.63       0.097          0.182        -0.01342176            0.17547606
       21600          240.000         73.77          830.11          1.76           0.999       0.254       0.027       3.352          0.0760       72.0070             0.000           100.000          0.82         0.64       0.095          0.182        -0.01388079            0.53863525
       22680          252.000         73.80          850.28          1.75           1.003       0.255       0.026       3.292          0.0751       72.0494             0.000           100.000          0.84         0.66       0.094          0.182        -0.01446587            0.55389404
       23760          264.000         73.82          861.50          1.75           1.004       0.256       0.026       3.258          0.0747       72.0739             0.000           100.000          0.84         0.67       0.093          0.182        -0.01483011            0.27618405
       24840          276.000         73.83          861.94          1.75           1.004       0.256       0.026       3.249          0.0746       72.0761             0.000           100.000          0.84         0.67       0.092          0.182        -0.01481818           -0.27618405
       25920          288.000         73.81          851.45          1.75           1.000       0.255       0.026       3.266          0.0747       72.0609             0.000           100.000          0.84         0.66       0.094          0.182        -0.01453239            0.83770746
       27000          300.000         73.79          837.50          1.77           0.997       0.253       0.027       3.297          0.0754       72.0215             0.000           100.000          0.82         0.64       0.095          0.182        -0.01386548           -0.26550293
       28080          312.000         73.76          822.69          1.76           0.994       0.253       0.027       3.339          0.0758       72.0009             0.000           100.000          0.81         0.63       0.098          0.182        -0.01362465           -0.27313232
       29160          324.000         73.74          808.75          1.76           0.991       0.251       0.027       3.375          0.0762       71.9765             0.000           100.000          0.79         0.61       0.100          0.182        -0.01331524            0.08697510
       30240          336.000         73.72          789.50          1.75           0.975       0.248       0.027       3.394          0.0763       71.9682             0.000           100.000          0.76         0.59       0.101          0.182        -0.01250902            1.27258289
       31320          348.000         73.73          785.38          1.76           0.967       0.246       0.028       3.364          0.0760       71.9717             0.000           100.000          0.75         0.58       0.102          0.182        -0.01219142           -0.31585690
       32400          360.000         73.72          775.67          1.76           0.960       0.244       0.028       3.412          0.0765       71.9632             0.000           100.000          0.74         0.57       0.102          0.182        -0.01195696            0.78887933
       33480          372.000         73.73          765.25          1.76           0.941       0.239       0.028       3.357          0.0759       71.9722             0.000           100.000          0.72         0.56       0.100          0.182        -0.01141380            0.19683838
       34560          384.000         73.73          751.09          1.76           0.924       0.235       0.029       3.352          0.0759       71.9720             0.000           100.000          0.70         0.56       0.098          0.182        -0.01049910            2.54516578
       35640          396.000         73.72          754.73          1.76           0.936       0.238       0.029       3.421          0.0766       71.9604             0.000           100.000          0.71         0.57       0.097          0.182        -0.01136590           -0.52642816
       36720          408.000         73.73          766.31          1.76           0.942       0.239       0.028       3.351          0.0759       71.9729             0.000           100.000          0.72         0.57       0.098          0.182        -0.01176490           -0.52185053
       37800          420.000         73.72          797.89          1.76           0.988       0.251       0.027       3.414          0.0766       71.9623             0.000           100.000          0.78         0.59       0.101          0.182        -0.01347873           -0.00152588
       38880          432.000         73.72          802.70          1.75           0.992       0.252       0.027       3.415          0.0765       71.9675             0.000           100.000          0.78         0.59       0.103          0.182        -0.01334380            0.85754389
       39960          444.000         73.72          801.81          1.75           0.990       0.252       0.027       3.404          0.0764       71.9681             0.000           100.000          0.77         0.58       0.105          0.182        -0.01327515            0.58746332
       41040          456.000         73.72          782.02          1.76           0.968       0.246       0.028       3.420          0.0766       71.9618             0.000           100.000          0.73         0.55       0.105          0.182        -0.01234658           -0.17089842
       42120          468.000         73.73          758.36          1.76           0.932       0.237       0.029       3.339          0.0758       71.9739             0.000           100.000          0.68         0.53       0.106          0.182        -0.01069215           -0.52642816
       43200          480.000         73.72          755.38          1.75           0.934       0.237       0.029       3.397          0.0763       71.9672             0.000           100.000          0.68         0.52       0.107          0.182        -0.01111248            2.12554908
       44280          492.000         73.72          778.66          1.75           0.963       0.245       0.028       3.410          0.0765       71.9665             0.000           100.000          0.72         0.53       0.107          0.182        -0.01281363           -1.52587879
       45360          504.000         73.73          772.25          1.76           0.951       0.241       0.028       3.366          0.0760       71.9714             0.000           100.000          0.70         0.54       0.106          0.182        -0.01148472            2.11334205
       46440          516.000         73.72          768.75          1.76           0.952       0.242       0.028       3.420          0.0766       71.9617             0.000           100.000          0.71         0.54       0.105          0.182        -0.01175627            0.08697510
       47520          528.000         73.73          780.94          1.76           0.961       0.244       0.028       3.363          0.0760       71.9718             0.000           100.000          0.73         0.55       0.103          0.182        -0.01244685           -1.66473377
       48600          540.000         73.72          800.22          1.76           0.991       0.252       0.027       3.419          0.0766       71.9615             0.000           100.000          0.78         0.58       0.102          0.182        -0.01335303            0.17242430
       49680          552.000         73.73          810.41          1.76           0.995       0.253       0.027       3.402          0.0765       71.9747             0.000           100.000          0.78         0.60       0.101          0.182        -0.01343802           -0.08697510
       50760          564.000         73.74          813.64          1.76           0.995       0.253       0.027       3.388          0.0763       71.9821             0.000           100.000          0.79         0.60       0.100          0.182        -0.01351253            0.17852782
       51840          576.000         73.73          803.88          1.76           0.991       0.252       0.027       3.397          0.0764       71.9704             0.000           100.000          0.78         0.60       0.100          0.182        -0.01325294            0.28228757
       52920          588.000         73.73          778.97          1.76           0.960       0.244       0.028       3.379          0.0762       71.9700             0.000           100.000          0.74         0.58       0.099          0.182        -0.01195755            0.07781982
       54000          600.000         73.72          766.67          1.76           0.946       0.240       0.028       3.387          0.0762       71.9689             0.000           100.000          0.71         0.56       0.099          0.182        -0.01137374            2.03552246
       55080          612.000         73.72          770.06          1.76           0.954       0.242       0.028       3.426          0.0767       71.9607             0.000           100.000          0.72         0.56       0.100          0.182        -0.01208166            0.26092526
       56160          624.000         73.73          776.53          1.76           0.954       0.242       0.028       3.347          0.0759       71.9736             0.000           100.000          0.72         0.56       0.100          0.182        -0.01191304           -0.52337646
       57240          636.000         73.72          799.81          1.76           0.991       0.252       0.027       3.418          0.0766       71.9614             0.000           100.000          0.77         0.58       0.102          0.182        -0.01330674           -0.26245114
       58320          648.000         73.72          804.73          1.76           0.993       0.252       0.027       3.416          0.0766       71.9689             0.000           100.000          0.77         0.59       0.102          0.182        -0.01331615            0.71411127
       59400          660.000         73.73          805.34          1.76           0.992       0.252       0.027       3.403          0.0764       71.9708             0.000           100.000          0.77         0.59       0.102          0.182        -0.01326434            0.19836424
       60480          672.000         73.72          779.92          1.76           0.965       0.245       0.028       3.413          0.0766       71.9630             0.000           100.000          0.73         0.57       0.100          0.182        -0.01191885            0.17242430
       61560          684.000         73.73          760.59          1.76           0.936       0.238       0.028       3.359          0.0760       71.9718             0.000           100.000          0.70         0.55       0.099          0.182        -0.01099428            0.18920898
       62640          696.000         73.73          743.66          1.76           0.916       0.233       0.029       3.360          0.0760       71.9704             0.000           100.000          0.67         0.54       0.098          0.182        -0.01015643            3.52172828
       63720          708.000         73.72          748.19          1.75           0.925       0.235       0.029       3.397          0.0763       71.9666             0.000           100.000          0.68         0.54       0.097          0.182        -0.01094584           -1.02691638
       64800          720.000         73.73          748.77          1.76           0.921       0.234       0.029       3.343          0.0758       71.9729             0.000           100.000          0.68         0.55       0.096          0.182        -0.01060514            0.34637448
       65880          732.000         73.72          762.09          1.75           0.941       0.239       0.028       3.392          0.0763       71.9681             0.000           100.000          0.71         0.57       0.096          0.182        -0.01137661            1.64031971
       66960          744.000         73.72          768.06          1.76           0.951       0.242       0.028       3.421          0.0766       71.9614             0.000           100.000          0.73         0.58       0.095          0.182        -0.01190519           -1.49230945
       68040          756.000         73.73          743.42          1.76           0.915       0.232       0.029       3.345          0.0758       71.9722             0.000           100.000          0.68         0.57       0.093          0.182        -0.01016465            0.20751952
       69120          768.000         73.72          750.48          1.75           0.928       0.236       0.029       3.395          0.0763       71.9671             0.000           100.000          0.70         0.56       0.094          0.182        -0.01103990           -1.01776123
       70200          780.000         73.72          786.55          1.75           0.973       0.247       0.028       3.409          0.0764       71.9665             0.000           100.000          0.75         0.58       0.097          0.182        -0.01318461           -1.27105701
       71280          792.000         73.72          778.53          1.75           0.962       0.244       0.028       3.397          0.0763       71.9679             0.000           100.000          0.72         0.56       0.100          0.182        -0.01180510            2.36663795
