 Calculated Flow and Sedi at section of Ics=          42
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         74.89          800.94          1.12           0.705       0.239       0.025       2.673          0.0541       73.7766             0.000           100.000          0.58         0.53       0.093          0.186        -0.00958278            0.00000000
        1080           12.000         74.89          801.30          1.12           0.705       0.239       0.025       2.672          0.0541       73.7769             0.000           100.000          0.58         0.53       0.093          0.186        -0.00957161           -0.38146970
        2160           24.000         74.90          803.66          1.12           0.705       0.239       0.025       2.668          0.0541       73.7782             0.000           100.000          0.58         0.53       0.093          0.186        -0.00955389            1.16882324
        3240           36.000         74.91          815.70          1.13           0.706       0.238       0.025       2.642          0.0540       73.7854             0.000           100.000          0.58         0.53       0.093          0.186        -0.00926674            0.97656244
        4320           48.000         74.93          831.69          1.14           0.706       0.238       0.025       2.605          0.0539       73.7973             0.000           100.000          0.57         0.52       0.096          0.186        -0.00894344            2.31018066
        5400           60.000         74.96          852.23          1.15           0.707       0.237       0.025       2.560          0.0537       73.8119             0.000           100.000          0.56         0.51       0.098          0.186        -0.00854939            0.39978024
        6480           72.000         74.98          869.17          1.17           0.706       0.234       0.025       2.516          0.0538       73.8131             0.000           100.000          0.55         0.52       0.097          0.186        -0.00793943           -0.79956049
        7560           84.000         74.99          871.84          1.18           0.706       0.234       0.025       2.506          0.0537       73.8133             0.000           100.000          0.56         0.53       0.095          0.186        -0.00788884           -0.40588376
        8640           96.000         74.98          868.02          1.17           0.706       0.234       0.025       2.513          0.0537       73.8130             0.000           100.000          0.56         0.54       0.093          0.186        -0.00802259            0.40283200
        9720          108.000         74.98          864.34          1.17           0.706       0.235       0.025       2.521          0.0537       73.8128             0.000           100.000          0.57         0.55       0.092          0.186        -0.00813019            0.20446777
       10800          120.000         74.98          861.95          1.16           0.706       0.235       0.025       2.529          0.0537       73.8126             0.000           100.000          0.58         0.55       0.090          0.186        -0.00823319           -0.40283200
       11880          132.000         74.97          857.61          1.16           0.706       0.235       0.025       2.537          0.0537       73.8123             0.000           100.000          0.58         0.56       0.090          0.186        -0.00837540            0.59814447
       12960          144.000         74.96          852.94          1.15           0.706       0.236       0.025       2.548          0.0536       73.8120             0.000           100.000          0.58         0.55       0.091          0.186        -0.00853807           -0.79956049
       14040          156.000         74.96          849.05          1.15           0.705       0.236       0.025       2.556          0.0536       73.8118             0.000           100.000          0.58         0.55       0.092          0.186        -0.00865790            0.40283200
       15120          168.000         74.95          843.78          1.14           0.705       0.237       0.025       2.567          0.0536       73.8114             0.000           100.000          0.57         0.54       0.093          0.186        -0.00881876           -0.39978024
       16200          180.000         74.94          833.22          1.14           0.705       0.237       0.025       2.590          0.0538       73.7976             0.000           100.000          0.57         0.53       0.094          0.186        -0.00877761           -0.26855466
       17280          192.000         74.92          820.14          1.13           0.705       0.237       0.025       2.620          0.0539       73.7891             0.000           100.000          0.57         0.52       0.095          0.186        -0.00901153           -0.39367676
       18360          204.000         74.90          802.38          1.12           0.704       0.238       0.025       2.656          0.0540       73.7787             0.000           100.000          0.57         0.52       0.095          0.186        -0.00936910           -1.16577137
       19440          216.000         74.89          799.12          1.12           0.704       0.239       0.025       2.674          0.0541       73.7762             0.000           100.000          0.58         0.52       0.093          0.186        -0.00975679            0.19836424
       20520          228.000         74.90          809.39          1.12           0.706       0.239       0.025       2.660          0.0541       73.7813             0.000           100.000          0.58         0.54       0.092          0.186        -0.00941700            0.39367676
       21600          240.000         74.93          831.59          1.14           0.706       0.238       0.025       2.608          0.0539       73.7973             0.000           100.000          0.59         0.56       0.090          0.186        -0.00888962            2.29797339
       22680          252.000         74.96          851.56          1.15           0.707       0.237       0.025       2.560          0.0537       73.8118             0.000           100.000          0.59         0.57       0.088          0.186        -0.00854202           -0.00305176
       23760          264.000         74.97          861.88          1.16           0.706       0.235       0.025       2.533          0.0537       73.8126             0.000           100.000          0.59         0.58       0.087          0.186        -0.00820004            0.60424805
