 Calculated Flow and Sedi at section of Ics=           8
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         88.26          801.02          2.10           0.593       0.157       0.034       1.525          0.0561       86.1567             0.000           100.000          0.25         0.32       0.055          0.274        -0.00286134            0.12512207
        1080           12.000         88.28          810.83          2.12           0.596       0.157       0.034       1.537          0.0565       86.1568             0.000           100.000          0.25         0.31       0.057          0.274        -0.00301631            0.72937006
        2160           24.000         88.31          826.30          2.15           0.599       0.157       0.035       1.548          0.0571       86.1571             0.000           100.000          0.25         0.28       0.061          0.274        -0.00335933            0.00915527
        3240           36.000         88.34          845.88          2.19           0.603       0.156       0.035       1.563          0.0579       86.1574             0.000           100.000          0.24         0.27       0.063          0.274        -0.00349686            1.22070301
        4320           48.000         88.39          869.38          2.23           0.607       0.156       0.035       1.579          0.0587       86.1578             0.000           100.000          0.25         0.28       0.061          0.274        -0.00329310            0.12817383
        5400           60.000         88.41          874.72          2.25           0.607       0.155       0.035       1.573          0.0588       86.1579             0.000           100.000          0.25         0.30       0.058          0.274        -0.00310948           -0.24719237
        6480           72.000         88.39          867.52          2.24           0.605       0.155       0.035       1.567          0.0586       86.1578             0.000           100.000          0.25         0.32       0.056          0.274        -0.00288915           -0.85754389
        7560           84.000         88.38          863.05          2.23           0.604       0.155       0.035       1.565          0.0584       86.1577             0.000           100.000          0.25         0.34       0.054          0.274        -0.00277899           -0.86364746
        8640           96.000         88.38          861.28          2.22           0.604       0.155       0.035       1.565          0.0583       86.1577             0.000           100.000          0.25         0.35       0.053          0.274        -0.00263768           -0.12817383
        9720          108.000         88.37          857.12          2.22           0.603       0.155       0.035       1.560          0.0582       86.1576             0.000           100.000          0.25         0.35       0.053          0.274        -0.00265118            0.85144037
       10800          120.000         88.36          851.61          2.21           0.602       0.156       0.035       1.557          0.0580       86.1575             0.000           100.000          0.25         0.34       0.054          0.274        -0.00281572           -0.12207031
       11880          132.000         88.35          847.88          2.20           0.602       0.156       0.035       1.556          0.0578       86.1575             0.000           100.000          0.25         0.32       0.055          0.274        -0.00298899           -0.49438474
       12960          144.000         88.35          844.86          2.19           0.601       0.156       0.035       1.554          0.0577       86.1574             0.000           100.000          0.25         0.31       0.056          0.274        -0.00313555           -0.61340326
       14040          156.000         88.33          836.31          2.18           0.599       0.156       0.035       1.546          0.0574       86.1573             0.000           100.000          0.25         0.30       0.058          0.274        -0.00310822           -0.61645502
       15120          168.000         88.31          824.44          2.15           0.597       0.156       0.035       1.538          0.0569       86.1571             0.000           100.000          0.25         0.29       0.059          0.274        -0.00316629           -0.24719237
       16200          180.000         88.28          808.89          2.12           0.594       0.156       0.034       1.525          0.0563       86.1568             0.000           100.000          0.25         0.29       0.058          0.274        -0.00307763           -0.24414061
       17280          192.000         88.25          790.22          2.09           0.590       0.156       0.034       1.511          0.0556       86.1565             0.000           100.000          0.25         0.31       0.056          0.274        -0.00286970           -0.00610352
       18360          204.000         88.25          799.52          2.10           0.594       0.157       0.034       1.530          0.0561       86.1566             0.000           100.000          0.25         0.34       0.054          0.274        -0.00270880            0.36010739
       19440          216.000         88.31          826.64          2.15           0.600       0.157       0.035       1.553          0.0572       86.1571             0.000           100.000          0.25         0.36       0.053          0.274        -0.00256716            1.34277332
       20520          228.000         88.35          848.00          2.19           0.603       0.156       0.035       1.564          0.0579       86.1574             0.000           100.000          0.25         0.38       0.052          0.274        -0.00232406            0.12512207
       21600          240.000         88.38          863.92          2.22           0.606       0.156       0.035       1.573          0.0585       86.1577             0.000           100.000          0.26         0.39       0.051          0.274        -0.00217304            0.48522946
       22680          252.000         88.39          864.23          2.23           0.604       0.155       0.035       1.565          0.0584       86.1578             0.000           100.000          0.25         0.39       0.051          0.274        -0.00221515            0.61035150
       23760          264.000         88.37          854.83          2.21           0.602       0.155       0.035       1.558          0.0581       86.1576             0.000           100.000          0.25         0.36       0.052          0.274        -0.00251171           -0.36315918
       24840          276.000         88.34          840.62          2.19           0.600       0.156       0.035       1.547          0.0575       86.1574             0.000           100.000          0.25         0.34       0.054          0.274        -0.00283887           -0.24414061
       25920          288.000         88.31          824.84          2.16           0.597       0.156       0.035       1.536          0.0569       86.1571             0.000           100.000          0.25         0.31       0.056          0.274        -0.00312397            0.48828122
       27000          300.000         88.28          810.78          2.13           0.594       0.156       0.034       1.527          0.0564       86.1569             0.000           100.000          0.25         0.28       0.059          0.274        -0.00319468            0.00000000
       28080          312.000         88.26          797.28          2.10           0.592       0.156       0.034       1.518          0.0559       86.1566             0.000           100.000          0.24         0.26       0.063          0.274        -0.00345254           -0.48828122
       29160          324.000         88.24          789.11          2.08           0.590       0.156       0.034       1.515          0.0556       86.1565             0.000           100.000          0.24         0.26       0.065          0.274        -0.00360463            0.12207031
       30240          336.000         88.23          784.69          2.08           0.590       0.156       0.034       1.512          0.0554       86.1564             0.000           100.000          0.24         0.27       0.062          0.274        -0.00330095           -0.25024414
       31320          348.000         88.21          774.45          2.06           0.587       0.156       0.034       1.503          0.0550       86.1563             0.000           100.000          0.24         0.28       0.060          0.274        -0.00306503           -0.36926267
       32400          360.000         88.19          761.23          2.03           0.584       0.156       0.034       1.492          0.0545       86.1561             0.000           100.000          0.25         0.30       0.058          0.274        -0.00291277           -0.48828122
       33480          372.000         88.17          753.11          2.02           0.582       0.156       0.033       1.487          0.0542       86.1560             0.000           100.000          0.25         0.30       0.057          0.274        -0.00288089           -0.16784666
       34560          384.000         88.17          748.55          2.01           0.581       0.156       0.033       1.484          0.0540       86.1557             0.000           100.000          0.25         0.29       0.058          0.274        -0.00294529           -0.61035150
       35640          396.000         88.19          766.50          2.04           0.587       0.157       0.034       1.508          0.0548       86.1561             0.000           100.000          0.25         0.27       0.061          0.274        -0.00327531            0.36621091
       36720          408.000         88.25          800.22          2.10           0.595       0.157       0.034       1.534          0.0561       86.1566             0.000           100.000          0.24         0.25       0.066          0.274        -0.00388772            0.97656244
       37800          420.000         88.27          806.53          2.12           0.594       0.156       0.034       1.528          0.0563       86.1568             0.000           100.000          0.24         0.23       0.071          0.274        -0.00416444           -0.24719237
       38880          432.000         88.25          794.75          2.10           0.591       0.156       0.034       1.517          0.0558       86.1566             0.000           100.000          0.24         0.22       0.075          0.274        -0.00463350           -0.12512207
       39960          444.000         88.22          776.97          2.07           0.587       0.156       0.034       1.502          0.0551       86.1563             0.000           100.000          0.23         0.21       0.080          0.274        -0.00480715            0.36926267
       41040          456.000         88.18          756.56          2.03           0.582       0.156       0.034       1.486          0.0543       86.1560             0.000           100.000          0.23         0.20       0.083          0.274        -0.00492125           -0.11901855
       42120          468.000         88.18          758.00          2.02           0.584       0.157       0.033       1.496          0.0545       86.1560             0.000           100.000          0.23         0.20       0.082          0.274        -0.00493723            0.97961420
       43200          480.000         88.21          775.11          2.05           0.588       0.157       0.034       1.511          0.0551       86.1563             0.000           100.000          0.24         0.22       0.075          0.274        -0.00471173            0.85144037
       44280          492.000         88.22          775.83          2.06           0.587       0.156       0.034       1.505          0.0551       86.1563             0.000           100.000          0.24         0.23       0.069          0.274        -0.00434477            0.11901855
       45360          504.000         88.20          765.30          2.04           0.585       0.156       0.034       1.496          0.0547       86.1562             0.000           100.000          0.24         0.25       0.064          0.274        -0.00399497           -0.85754389
       46440          516.000         88.22          778.72          2.06           0.590       0.157       0.034       1.516          0.0553       86.1563             0.000           100.000          0.25         0.26       0.060          0.274        -0.00387656            0.61035150
       47520          528.000         88.27          809.02          2.11           0.597       0.157       0.034       1.541          0.0565       86.1568             0.000           100.000          0.25         0.28       0.057          0.274        -0.00347772            1.22680652
       48600          540.000         88.29          816.55          2.14           0.596       0.156       0.034       1.536          0.0567       86.1569             0.000           100.000          0.24         0.28       0.055          0.274        -0.00330043            0.12512207
       49680          552.000         88.28          807.56          2.12           0.594       0.156       0.034       1.527          0.0563       86.1568             0.000           100.000          0.24         0.28       0.056          0.274        -0.00348087           -0.23803709
       50760          564.000         88.25          793.06          2.09           0.591       0.156       0.034       1.515          0.0557       86.1566             0.000           100.000          0.24         0.27       0.056          0.274        -0.00362818           -0.61645502
       51840          576.000         88.22          775.20          2.06           0.587       0.156       0.034       1.501          0.0550       86.1563             0.000           100.000          0.24         0.26       0.057          0.274        -0.00373350           -0.73547357
       52920          588.000         88.20          766.95          2.04           0.585       0.156       0.034       1.499          0.0548       86.1562             0.000           100.000          0.24         0.26       0.058          0.274        -0.00387040            0.11901855
       54000          600.000         88.20          764.50          2.04           0.585       0.156       0.034       1.497          0.0547       86.1561             0.000           100.000          0.24         0.25       0.060          0.274        -0.00418969            0.11901855
       55080          612.000         88.22          778.69          2.06           0.590       0.157       0.034       1.516          0.0553       86.1563             0.000           100.000          0.24         0.25       0.060          0.274        -0.00426301            1.22375488
       56160          624.000         88.26          804.14          2.11           0.596       0.157       0.034       1.536          0.0563       86.1567             0.000           100.000          0.24         0.25       0.060          0.274        -0.00425279            0.24719237
       57240          636.000         88.28          808.52          2.12           0.595       0.156       0.034       1.529          0.0563       86.1568             0.000           100.000          0.24         0.25       0.058          0.274        -0.00418103            0.24108885
       58320          648.000         88.26          797.22          2.10           0.592       0.156       0.034       1.519          0.0559       86.1566             0.000           100.000          0.24         0.26       0.057          0.274        -0.00412577           -0.24719237
       59400          660.000         88.22          778.84          2.07           0.587       0.156       0.034       1.503          0.0552       86.1564             0.000           100.000          0.24         0.26       0.056          0.274        -0.00400863           -0.86059564
       60480          672.000         88.18          755.80          2.03           0.582       0.156       0.034       1.484          0.0543       86.1560             0.000           100.000          0.24         0.26       0.054          0.274        -0.00399867           -0.60729980
       61560          684.000         88.16          745.30          2.00           0.580       0.156       0.033       1.481          0.0539       86.1556             0.000           100.000          0.24         0.27       0.052          0.274        -0.00390713            0.97656244
       62640          696.000         88.15          743.25          2.00           0.580       0.156       0.033       1.481          0.0538       86.1555             0.000           100.000          0.25         0.28       0.050          0.274        -0.00374169           -0.36621091
       63720          708.000         88.17          751.39          2.01           0.583       0.157       0.033       1.492          0.0542       86.1558             0.000           100.000          0.25         0.29       0.048          0.274        -0.00361078           -0.74157715
       64800          720.000         88.20          766.67          2.04           0.586       0.157       0.034       1.504          0.0548       86.1561             0.000           100.000          0.25         0.31       0.046          0.274        -0.00308240            0.73242182
       65880          732.000         88.19          760.72          2.03           0.583       0.156       0.034       1.491          0.0545       86.1561             0.000           100.000          0.25         0.30       0.045          0.274        -0.00318573           -0.36621091
       66960          744.000         88.15          740.09          2.00           0.578       0.156       0.033       1.472          0.0537       86.1555             0.000           100.000          0.24         0.29       0.047          0.274        -0.00345151           -1.10168457
