 Calculated Flow and Sedi at section of Ics=          14
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         85.74          801.20          1.69           0.624       0.192       0.030       1.806          0.0546       84.0555             0.000           100.000          0.33         0.38       0.075          0.257        -0.00172631           -0.28381345
        1080           12.000         85.75          806.64          1.69           0.625       0.193       0.030       1.812          0.0547       84.0631             0.000           100.000          0.33         0.37       0.075          0.257        -0.00182016            0.00000000
        2160           24.000         85.78          820.95          1.69           0.626       0.193       0.030       1.816          0.0548       84.0884             0.000           100.000          0.32         0.35       0.081          0.257        -0.00223456            0.57983392
        3240           36.000         85.81          838.08          1.68           0.626       0.194       0.030       1.816          0.0546       84.1321             0.000           100.000          0.32         0.33       0.087          0.257        -0.00259970            3.10668921
        4320           48.000         85.86          860.91          1.67           0.627       0.195       0.030       1.817          0.0545       84.1829             0.000           100.000          0.32         0.34       0.085          0.257        -0.00266087            0.78735352
        5400           60.000         85.89          874.33          1.70           0.625       0.193       0.031       1.805          0.0548       84.1875             0.000           100.000          0.32         0.35       0.080          0.257        -0.00231994            0.31127930
        6480           72.000         85.88          869.98          1.70           0.623       0.193       0.031       1.795          0.0546       84.1874             0.000           100.000          0.32         0.37       0.076          0.257        -0.00203719           -0.30212402
        7560           84.000         85.87          864.86          1.69           0.623       0.193       0.030       1.797          0.0544       84.1870             0.000           100.000          0.33         0.38       0.072          0.257        -0.00184169            0.98571777
        8640           96.000         85.87          862.19          1.68           0.623       0.194       0.030       1.798          0.0544       84.1849             0.000           100.000          0.33         0.40       0.070          0.257        -0.00167601           -0.79956049
        9720          108.000         85.86          859.38          1.68           0.623       0.194       0.030       1.797          0.0543       84.1840             0.000           100.000          0.34         0.40       0.068          0.257        -0.00159213            1.41601551
       10800          120.000         85.85          853.83          1.67           0.623       0.194       0.030       1.796          0.0542       84.1822             0.000           100.000          0.34         0.40       0.070          0.257        -0.00177547            0.60729980
       11880          132.000         85.84          849.16          1.66           0.623       0.194       0.030       1.797          0.0541       84.1805             0.000           100.000          0.33         0.38       0.072          0.257        -0.00200608           -0.62255859
       12960          144.000         85.84          846.22          1.66           0.623       0.195       0.030       1.798          0.0540       84.1795             0.000           100.000          0.33         0.37       0.075          0.257        -0.00224045           -0.01525879
       14040          156.000         85.83          840.00          1.67           0.623       0.194       0.030       1.796          0.0542       84.1551             0.000           100.000          0.33         0.36       0.077          0.257        -0.00227716            0.69274896
       15120          168.000         85.80          828.44          1.68           0.622       0.193       0.030       1.794          0.0544       84.1186             0.000           100.000          0.32         0.35       0.079          0.257        -0.00220681            0.16174315
       16200          180.000         85.78          814.91          1.69           0.622       0.192       0.030       1.793          0.0544       84.0872             0.000           100.000          0.32         0.35       0.080          0.257        -0.00213061           -1.33666992
       17280          192.000         85.74          797.03          1.69           0.621       0.192       0.030       1.792          0.0544       84.0546             0.000           100.000          0.32         0.36       0.077          0.257        -0.00182796           -0.29296872
       18360          204.000         85.73          793.95          1.69           0.624       0.192       0.031       1.810          0.0547       84.0390             0.000           100.000          0.33         0.38       0.074          0.257        -0.00158475            0.83007807
       19440          216.000         85.77          816.97          1.69           0.627       0.194       0.030       1.823          0.0549       84.0778             0.000           100.000          0.34         0.40       0.070          0.257        -0.00144172            1.03759754
       20520          228.000         85.82          841.05          1.68           0.627       0.194       0.030       1.818          0.0546       84.1384             0.000           100.000          0.34         0.42       0.066          0.257        -0.00130125            1.40991199
       21600          240.000         85.85          858.20          1.67           0.626       0.195       0.030       1.813          0.0544       84.1822             0.000           100.000          0.35         0.43       0.064          0.257        -0.00134081            0.76904291
       22680          252.000         85.87          865.41          1.68           0.624       0.194       0.030       1.803          0.0545       84.1870             0.000           100.000          0.35         0.44       0.063          0.257        -0.00111353            2.99987769
       23760          264.000         85.86          858.17          1.68           0.623       0.194       0.030       1.795          0.0543       84.1838             0.000           100.000          0.34         0.42       0.065          0.257        -0.00142945            0.62561029
       24840          276.000         85.84          845.64          1.66           0.622       0.194       0.030       1.791          0.0539       84.1799             0.000           100.000          0.34         0.40       0.069          0.257        -0.00184702           -0.31127930
       25920          288.000         85.81          830.50          1.68           0.622       0.193       0.030       1.790          0.0543       84.1272             0.000           100.000          0.33         0.38       0.074          0.257        -0.00197121           -0.75683594
       27000          300.000         85.78          815.73          1.69           0.622       0.192       0.030       1.793          0.0544       84.0888             0.000           100.000          0.32         0.35       0.079          0.257        -0.00212131            0.29907224
       28080          312.000         85.75          802.36          1.69           0.622       0.192       0.030       1.795          0.0544       84.0625             0.000           100.000          0.32         0.34       0.085          0.257        -0.00218724           -0.86975092
       29160          324.000         85.73          791.36          1.69           0.622       0.192       0.031       1.801          0.0545       84.0390             0.000           100.000          0.31         0.33       0.089          0.257        -0.00220579           -0.83923334
       30240          336.000         85.72          786.50          1.68           0.621       0.192       0.031       1.802          0.0545       84.0349             0.000           100.000          0.31         0.33       0.088          0.257        -0.00213435           -0.77209473
