 Calculated Flow and Sedi at section of Ics=          19
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         84.12          801.09          2.12           0.727       0.181       0.029       1.632          0.0582       82.0021             0.000           100.000          0.40         0.39       0.079          0.240        -0.00365192            1.24511719
        1080           12.000         84.13          803.77          2.13           0.728       0.182       0.029       1.636          0.0583       82.0022             0.000           100.000          0.40         0.39       0.079          0.240        -0.00366662            0.74462885
        2160           24.000         84.15          816.09          2.15           0.732       0.182       0.029       1.649          0.0589       82.0024             0.000           100.000          0.39         0.38       0.082          0.240        -0.00376842            0.98571777
        3240           36.000         84.18          831.86          2.18           0.736       0.182       0.029       1.664          0.0595       82.0027             0.000           100.000          0.38         0.36       0.088          0.240        -0.00389243            0.48828122
        4320           48.000         84.22          853.59          2.22           0.741       0.182       0.030       1.685          0.0604       82.0030             0.000           100.000          0.38         0.36       0.089          0.240        -0.00393036            0.49743649
        5400           60.000         84.26          871.95          2.25           0.746       0.182       0.030       1.697          0.0611       82.0033             0.000           100.000          0.39         0.37       0.085          0.240        -0.00395308           -0.20141600
        6480           72.000         84.26          872.06          2.25           0.745       0.182       0.030       1.694          0.0611       82.0033             0.000           100.000          0.39         0.38       0.081          0.240        -0.00385770           -0.50048828
        7560           84.000         84.25          866.19          2.24           0.743       0.182       0.030       1.688          0.0609       82.0033             0.000           100.000          0.40         0.40       0.078          0.240        -0.00372109           -0.10375976
        8640           96.000         84.24          863.03          2.24           0.742       0.182       0.030       1.686          0.0608       82.0032             0.000           100.000          0.40         0.41       0.075          0.240        -0.00361078            0.39672849
        9720          108.000         84.24          860.81          2.23           0.742       0.182       0.030       1.684          0.0607       82.0032             0.000           100.000          0.40         0.42       0.073          0.240        -0.00352638           -0.10375976
       10800          120.000         84.23          855.91          2.23           0.740       0.182       0.030       1.679          0.0605       82.0031             0.000           100.000          0.40         0.41       0.074          0.240        -0.00354762           -0.60119623
       11880          132.000         84.22          850.91          2.22           0.739       0.182       0.030       1.675          0.0603       82.0030             0.000           100.000          0.40         0.41       0.076          0.240        -0.00360538           -0.59509271
       12960          144.000         84.21          847.50          2.21           0.738       0.182       0.030       1.672          0.0601       82.0029             0.000           100.000          0.40         0.40       0.078          0.240        -0.00367467            0.01220703
