 Calculated Flow and Sedi at section of Ics=          39
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         75.65          801.05          1.83           0.581       0.154       0.028       1.223          0.0468       73.8186             0.000           100.000          0.30         0.51       0.093          0.189         0.00438606            0.72631836
        1080           12.000         75.65          801.36          1.83           0.581       0.154       0.028       1.223          0.0468       73.8186             0.000           100.000          0.30         0.51       0.093          0.189         0.00438474            0.57678223
        2160           24.000         75.65          804.22          1.83           0.582       0.154       0.028       1.224          0.0469       73.8187             0.000           100.000          0.30         0.51       0.093          0.189         0.00439097           -0.28381345
        3240           36.000         75.67          816.72          1.85           0.586       0.154       0.028       1.224          0.0471       73.8192             0.000           100.000          0.30         0.51       0.094          0.189         0.00440490           -0.00610352
        4320           48.000         75.69          832.81          1.87           0.590       0.154       0.028       1.224          0.0474       73.8197             0.000           100.000          0.30         0.50       0.097          0.189         0.00440865            0.28991696
        5400           60.000         75.72          853.77          1.90           0.596       0.154       0.028       1.224          0.0477       73.8205             0.000           100.000          0.30         0.49       0.100          0.189         0.00443981            0.57373047
        6480           72.000         75.74          869.73          1.92           0.601       0.155       0.028       1.222          0.0479       73.8209             0.000           100.000          0.30         0.50       0.099          0.189         0.00444132           -0.57373047
        7560           84.000         75.74          871.70          1.92           0.601       0.154       0.028       1.220          0.0479       73.8210             0.000           100.000          0.31         0.51       0.096          0.189         0.00442051            0.29296872
        8640           96.000         75.74          867.59          1.92           0.600       0.154       0.028       1.220          0.0479       73.8209             0.000           100.000          0.31         0.52       0.094          0.189         0.00442210           -0.14343262
        9720          108.000         75.73          864.09          1.91           0.599       0.154       0.028       1.220          0.0478       73.8209             0.000           100.000          0.31         0.53       0.092          0.189         0.00443897            0.00000000
       10800          120.000         75.73          861.69          1.91           0.598       0.154       0.028       1.220          0.0478       73.8208             0.000           100.000          0.31         0.54       0.091          0.189         0.00445018            0.58593744
       11880          132.000         75.72          857.14          1.90           0.597       0.154       0.028       1.220          0.0477       73.8208             0.000           100.000          0.31         0.54       0.090          0.189         0.00444984           -0.42114255
       12960          144.000         75.72          852.41          1.90           0.595       0.154       0.028       1.220          0.0476       73.8205             0.000           100.000          0.31         0.53       0.091          0.189         0.00444065            0.28381345
       14040          156.000         75.71          848.61          1.89           0.594       0.154       0.028       1.220          0.0476       73.8204             0.000           100.000          0.31         0.52       0.092          0.189         0.00443386            0.00305176
       15120          168.000         75.71          843.02          1.89           0.592       0.154       0.028       1.220          0.0475       73.8202             0.000           100.000          0.31         0.52       0.094          0.189         0.00442304           -0.12817383
       16200          180.000         75.69          832.25          1.87           0.589       0.154       0.028       1.220          0.0473       73.8198             0.000           100.000          0.30         0.51       0.095          0.189         0.00440186           -0.29602051
       17280          192.000         75.67          819.23          1.85           0.586       0.154       0.028       1.220          0.0471       73.8193             0.000           100.000          0.30         0.50       0.096          0.189         0.00437906            0.43029782
       18360          204.000         75.65          799.25          1.83           0.579       0.153       0.028       1.217          0.0467       73.8186             0.000           100.000          0.29         0.50       0.096          0.189         0.00436062           -0.85754389
       19440          216.000         75.65          799.08          1.83           0.580       0.153       0.028       1.222          0.0468       73.8186             0.000           100.000          0.30         0.50       0.094          0.189         0.00428899           -0.43945312
       20520          228.000         75.66          810.59          1.84           0.584       0.154       0.028       1.225          0.0470       73.8189             0.000           100.000          0.31         0.52       0.092          0.189         0.00439888            0.44250485
       21600          240.000         75.69          833.38          1.87           0.591       0.154       0.028       1.225          0.0474       73.8197             0.000           100.000          0.31         0.54       0.090          0.189         0.00447803            1.28784168
       22680          252.000         75.72          852.72          1.90           0.596       0.154       0.028       1.223          0.0477       73.8205             0.000           100.000          0.32         0.55       0.088          0.189         0.00450479            0.27770993
       23760          264.000         75.73          862.17          1.91           0.598       0.154       0.028       1.222          0.0478       73.8208             0.000           100.000          0.32         0.56       0.087          0.189         0.00451733            0.02441406
       24840          276.000         75.73          861.11          1.91           0.598       0.154       0.028       1.220          0.0478       73.8208             0.000           100.000          0.32         0.56       0.087          0.189         0.00449613           -0.65612787
       25920          288.000         75.71          849.78          1.89           0.594       0.154       0.028       1.219          0.0476       73.8204             0.000           100.000          0.32         0.55       0.088          0.189         0.00447053            0.42724606
       27000          300.000         75.70          835.39          1.88           0.590       0.154       0.028       1.219          0.0473       73.8199             0.000           100.000          0.31         0.53       0.091          0.189         0.00444392            0.00610352
       28080          312.000         75.68          820.50          1.86           0.586       0.154       0.028       1.220          0.0471       73.8194             0.000           100.000          0.30         0.51       0.094          0.189         0.00440134           -0.72937006
       29160          324.000         75.66          806.73          1.84           0.582       0.154       0.028       1.220          0.0469       73.8189             0.000           100.000          0.30         0.50       0.096          0.189         0.00434863           -0.27465817
       30240          336.000         75.64          791.02          1.83           0.574       0.152       0.029       1.222          0.0468       73.8185             0.000           100.000          0.29         0.48       0.098          0.189         0.00433066            0.43029782
       31320          348.000         75.64          786.23          1.83           0.571       0.151       0.029       1.222          0.0467       73.8185             0.000           100.000          0.28         0.47       0.099          0.189         0.00428514            0.28381345
