0,10000,9500,9000,8500,8000,7500,7000,6500,6000,5500,5000,4500,4000,3500,3000,2500,2000,1500,1000,500,0
24,47.41365814,-38.74362946,70.50357056,-47.7230835,19.90034866,-45.9133873,-0.063813329,-2.979399681,-34.34780121,52.8224678,-60.87685776,-2.6405406,-30.53941727,36.1275444,-40.89966202,26.99094772,-76.12937927,55.48163223,-53.11616516,7.11852169,-29.1932621
48,29.15411758,-17.3036747,42.2407608,-25.68805695,4.027037621,-37.47935104,-1.136852026,-4.351248741,-27.68071556,34.54666519,-39.82342148,-4.746009827,-17.79241943,13.72903824,-24.82146454,18.6289978,-48.9667778,34.88410568,-33.14397049,2.223449707,-22.18504906
72,17.00686646,-18.09609795,36.87570953,-17.63336754,-0.687601984,-29.76762199,-0.869839728,-4.570921421,-25.23645973,23.92033768,-28.22997093,-6.009971142,-19.27928734,10.95888901,-17.83994293,11.87043381,-37.56954575,25.1387043,-22.8267746,-1.683173776,-17.52767181
96,8.979067802,-11.35092258,25.25236702,-15.05206394,-0.727237821,-22.42063332,-3.852304459,-4.719401836,-20.69408226,15.58536148,-22.63120461,-5.679463387,-17.0260849,10.00867462,-15.58738518,6.961084843,-30.3662796,17.7412796,-15.09824371,-5.071509361,-14.18099594
120,1.763877392,-11.57246017,21.56712341,-13.70201206,-1.314472437,-19.26017761,-2.789255857,-4.408593655,-16.86437035,10.61137962,-18.50835228,-6.220523357,-14.59342003,5.93350029,-11.3100214,2.788081408,-25.08181,11.81076336,-12.22333336,-5.618503571,-11.78412437
144,-7.484107018,-22.16254616,36.35844803,-24.41775894,-3.697179794,-29.23394966,-8.111305237,-8.989993095,-24.97875023,11.59378815,-31.75176811,-14.56311131,-23.16858673,8.530474663,-18.92871094,0.977849007,-41.81040573,13.23906517,-17.31821442,-12.70453644,-21.65467644
168,-14.84057426,-23.36060524,31.46365166,-17.66302681,-5.078649998,-24.53907204,-8.005962372,-6.679680824,-22.98062515,5.641609192,-25.57746696,-16.03684235,-19.49136543,2.90975666,-14.2933197,-2.569531441,-33.77122879,6.516609192,-13.78422737,-14.34313297,-18.53606796
192,-18.45015526,-25.81462097,29.43743896,-14.54478836,-6.305217743,-19.37444878,-8.526453972,-7.390328884,-17.44550896,4.818870068,-24.43989563,-15.34405804,-17.6768837,2.672403097,-12.87546635,-5.825013161,-27.96987724,2.102253199,-11.27699089,-12.59728336,-16.43666267
216,-19.1628418,-27.69591522,24.59998703,-10.81735325,-5.590941906,-16.9264698,-7.824069977,-6.187311649,-15.8828249,4.564008236,-19.86284828,-16.53507423,-15.65557575,1.403325438,-11.63965225,-5.642957211,-25.12916183,-0.641312122,-7.976871967,-11.27289677,-14.14270401
240,-19.43038177,-26.34283066,19.7478714,-6.940371513,-5.311239243,-15.3702383,-7.801530361,-4.747374058,-14.56983948,4.326127529,-16.24359512,-15.98329258,-14.15621853,0.024023172,-9.183848381,-6.573708057,-22.62231827,-2.370310068,-5.183485508,-9.489188194,-12.12994385
264,-19.39032173,-24.92987442,15.51657677,-5.097374916,-3.475442171,-13.62140179,-7.830861568,-3.001977205,-13.49849701,3.988527775,-12.78767204,-17.45473862,-10.79005623,-1.21717298,-8.414978027,-6.479649544,-17.62297249,-3.933513403,-5.098545551,-8.989898682,-10.41497135
288,-18.88906288,-22.80101776,12.33132744,-3.60887146,-2.106055975,-12.81497478,-6.229081154,-4.302753925,-11.67199135,3.889679909,-10.71529484,-16.45437241,-10.61626244,-1.444231272,-7.545704842,-6.562379837,-12.64083099,-6.621236324,-3.024381638,-9.579846382,-8.985689163
312,-17.59346008,-22.51619148,10.37736702,-2.366827011,-1.349154234,-11.49270439,-6.381295681,-2.516971827,-10.6116991,2.743538857,-9.771589279,-15.80545139,-9.130671501,-1.860316873,-6.647983074,-6.664021492,-10.04000664,-8.398077011,-2.083698988,-8.171946526,-8.956152916
336,-16.80591393,-21.44021988,7.867911339,-1.37084794,-1.262514591,-10.21895885,-5.93584156,-3.093118668,-10.19948673,2.993193626,-8.077274323,-14.90555382,-8.426963806,-3.510558605,-6.016576767,-6.89549017,-9.776918411,-8.559394836,-1.661983967,-8.433223724,-7.635882854
360,-15.62627506,-21.1782608,6.516288757,-0.5475173,-1.246500015,-9.935233116,-4.761621952,-2.819546461,-9.622029305,1.658788204,-7.476314068,-14.15046215,-7.934431076,-3.099034786,-5.953151703,-7.019756794,-8.231438637,-9.918358803,-1.677522302,-8.347320557,-7.123363972
384,-14.81848812,-20.49816322,5.463947296,0.659461439,-1.614343762,-9.548502922,-4.180605888,-3.651900291,-9.125768661,1.544926286,-7.012438774,-13.25249386,-8.153126717,-3.520911932,-5.353805542,-6.857250214,-8.525363922,-7.966247082,-2.051512718,-7.704758644,-7.126188755
408,-14.30309772,-19.84542084,5.422503948,0.136163995,-0.837463319,-8.830321312,-4.612307549,-3.529957533,-9.363426208,1.079317927,-6.601529121,-12.14379597,-9.073640823,-3.077697515,-5.50175333,-6.602414131,-9.065796852,-7.515083313,-3.19395113,-7.053715229,-6.753353596
432,-13.71028709,-19.58638382,5.075393677,0.21465838,-0.754028201,-8.550709724,-5.571752071,-3.086778402,-7.76088953,-0.058510967,-6.247822762,-12.09474373,-8.201993942,-4.355279922,-5.255980968,-6.157509804,-8.963456154,-7.248292446,-3.936584949,-6.95044899,-6.656087399
456,-13.20830727,-18.63985825,4.017178535,0.030151874,-0.847224832,-8.184300423,-6.093414307,-2.538036585,-7.769433022,-0.163884848,-5.948897362,-10.47913837,-10.08228588,-3.685437441,-5.660740376,-5.479536533,-10.51348972,-5.693839073,-5.2412076,-6.818082809,-6.808145523
480,-12.82698345,-17.43583298,3.36647439,-0.364658833,-1.50218308,-7.96460247,-6.941756248,-3.279988766,-7.171637058,-0.130917683,-5.382218838,-9.399259567,-10.19321156,-3.538160801,-6.097662926,-4.439181805,-11.55275154,-4.392608166,-7.668234348,-6.251738071,-6.873706818
504,-11.93507481,-17.75895119,3.805992126,-0.810703039,-2.818162203,-7.727413654,-7.195987225,-4.275209427,-7.548658848,-1.32668674,-5.193216801,-8.280932426,-11.08307362,-4.614680767,-5.5946064,-4.239034653,-13.10990238,-3.280791521,-8.690368652,-5.628011703,-6.912714005
528,-11.03445816,-17.61694908,4.619546413,-1.153400421,-3.268061161,-7.782875538,-8.090795517,-5.274128914,-8.169592857,-2.757843733,-5.716536999,-6.642662048,-12.19390678,-5.080400944,-6.049105167,-3.046120167,-16.52828217,-2.441435337,-9.275882721,-6.313596725,-6.896789551
552,-10.35600185,-16.08953667,5.346993446,-1.449507236,-4.039454937,-8.66491127,-8.483212471,-7.232934952,-8.116675377,-3.394991398,-7.903279305,-4.478925705,-13.95226955,-5.268177032,-6.560044289,-2.918500185,-14.35387802,-3.784358263,-11.59221458,-7.285625935,-8.002433777
576,-8.814270973,-12.93114662,4.512473583,-1.409190297,-3.017781973,-11.02821922,-9.399302483,-7.100092411,-10.44055271,-4.897622108,-8.805563927,-4.226979256,-14.91490173,-5.445819378,-7.256857872,-2.29457593,-14.43993664,-4.713954449,-13.59111023,-8.025770187,-7.62147522
600,-8.249840736,-7.079900742,3.427820444,-0.979000866,-1.494368553,-12.3644371,-10.23043442,-8.613760948,-11.46350288,-6.046936512,-9.449455261,-5.065455437,-17.14868164,-5.252308846,-8.211322784,-0.709328055,-14.30466652,-5.082453728,-15.54946995,-8.275530815,-8.063364029
624,-6.231813431,-2.50673914,3.411923885,-0.401003897,0.327660829,-13.34661198,-12.05263615,-9.717746735,-13.37583923,-6.398450375,-8.962209702,-7.017093658,-18.04763031,-6.961278439,-8.861587524,0.484462857,-13.81070423,-5.638597488,-17.20539474,-8.217101097,-8.305173874
648,-1.905919313,1.251814008,1.891700387,0.444294363,0.985375762,-8.101560593,-5.818408489,-5.698889256,-7.987280369,-2.340330362,-5.575552464,-4.048216343,-9.41676712,-4.495173454,-4.904407024,0.602516234,-6.632976055,-4.042303085,-7.35051918,-4.943660259,-4.264091015
672,-1.153516889,3.901147366,2.450465441,1.244911194,1.619854093,-8.727151871,-6.351076603,-5.120773792,-9.818551064,-2.631986141,-5.442396164,-5.575069427,-9.645547867,-5.933744907,-5.469290733,0.574449778,-6.341375351,-4.168243885,-8.289595604,-4.797869682,-3.91691947
