0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.02431405,0.022107217,0.021388838,0.021117991,0.021829577,0.022409255,0.023104649,0.022740692,0.023462892,0.022945266,0.023214199,0.024252754,0.024325985,0.023850635,0.023747364,0.023652771,0.024311453,0.024141768,0.023659987,0.024246592,0.024279524
48,0.024709808,0.022600466,0.021670289,0.021235405,0.021918617,0.022804264,0.023493249,0.023035161,0.023723504,0.023260878,0.023414146,0.024498377,0.024633134,0.02422497,0.024221502,0.024230419,0.024989752,0.025001179,0.024590839,0.02517103,0.025335832
72,0.02505674,0.023377666,0.022301868,0.021509819,0.022136681,0.023043731,0.023738675,0.023299418,0.023983365,0.023547487,0.023562873,0.024619471,0.025012622,0.024692766,0.024516435,0.024518602,0.025264574,0.025341418,0.024945745,0.025515204,0.025798574
96,0.02541223,0.023907572,0.022717077,0.021950064,0.022510685,0.023305221,0.023973279,0.023581462,0.024206897,0.023794098,0.023768287,0.024775498,0.025239425,0.024990471,0.024775537,0.02475052,0.025459416,0.025584202,0.025193177,0.025745522,0.02612845
120,0.025780946,0.024627928,0.023326142,0.022416838,0.022909103,0.023634557,0.024273226,0.023896173,0.024478653,0.024107659,0.024092093,0.025035366,0.025508512,0.025305044,0.025066275,0.025020028,0.025691483,0.025833575,0.025441462,0.025970954,0.026426874
144,0.026168039,0.025411054,0.024048833,0.022996336,0.023409879,0.023985574,0.024587544,0.024283499,0.024779193,0.024444005,0.024459815,0.025348725,0.025825165,0.025647655,0.025420314,0.025369881,0.02602008,0.0261801,0.02577401,0.026263995,0.026758377
168,0.026541786,0.026181513,0.024790861,0.023561513,0.023909584,0.024442369,0.025040317,0.024783505,0.025232237,0.024897801,0.024889447,0.025738737,0.026211729,0.026030878,0.025799369,0.025779489,0.026424058,0.026574241,0.026149336,0.026602348,0.027117226
192,0.026879271,0.026926419,0.025556054,0.024126355,0.024414683,0.024916181,0.025493596,0.025276031,0.025712037,0.025386194,0.02538388,0.026247995,0.026691219,0.026501972,0.026266562,0.026255153,0.026889473,0.027031582,0.026578566,0.026958639,0.027490374
216,0.02716977,0.027624786,0.026318198,0.024689037,0.0248938,0.025380459,0.025960252,0.02576982,0.026194656,0.025872862,0.025836943,0.026731992,0.027207056,0.027003063,0.026767112,0.026766084,0.027384738,0.027557492,0.027083412,0.02737934,0.027911432
240,0.027433535,0.028210759,0.026991988,0.025254497,0.02535437,0.025833433,0.0264381,0.026249608,0.026665857,0.026351357,0.026258279,0.027195616,0.02772251,0.027494723,0.02723806,0.027256148,0.027908865,0.028105523,0.02759086,0.027831297,0.028363699
264,0.027670462,0.028740441,0.027616987,0.025790682,0.025794905,0.02626336,0.026890911,0.026711289,0.027123816,0.026809892,0.026647467,0.027645379,0.028227966,0.027968172,0.0277023,0.027731869,0.028361628,0.028599417,0.028102489,0.028263321,0.028791944
288,0.027894147,0.029219229,0.02818851,0.026299005,0.026194932,0.026673082,0.027330808,0.02713597,0.027541419,0.027237847,0.027047565,0.028101031,0.028723717,0.028426932,0.028143026,0.028187299,0.028748523,0.029005652,0.028557118,0.028683944,0.029233675
312,0.028081736,0.029648582,0.028715823,0.02676989,0.026564242,0.027033824,0.027708001,0.027522227,0.027955627,0.027658304,0.027433984,0.028523382,0.029178664,0.028870631,0.028576845,0.0286301,0.02916974,0.029439719,0.029007504,0.029090151,0.029639229
